fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-precuneus,0.6267361111111112,0.06251356778481196,0.5263157894736842,0.6847238406331733,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
2,01,rh-precuneus,0.5086805555555556,0.0,0.5,0.6952844738157248,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,24,24
3,01,rh-precuneus,0.4978298611111111,0.02083785592827065,0.5052631578947369,0.6942053871828597,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
4,01,rh-precuneus,0.6046006944444444,0.1668115312456598,0.5744680851063831,0.6834668753457315,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,21,19
5,01,rh-precuneus,0.509548611111111,-0.02083785592827065,0.4842105263157895,0.6964511402329508,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
6,01,rh-precuneus,0.54296875,0.04170288281141495,0.5106382978723404,0.6915367034232097,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
7,01,rh-precuneus,0.552951388888889,0.12510864843424485,0.5531914893617021,0.6909070465527418,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,22,20
8,01,rh-precuneus,0.611111111111111,0.125,0.5625,0.6763950301649068,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
9,01,rh-precuneus,0.5403645833333334,0.10418927964135326,0.5473684210526316,0.6910630791051228,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
10,01,rh-precuneus,0.5486111111111112,0.02083785592827065,0.5052631578947369,0.6893209270541357,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
11,01,rh-precuneus,0.4340277777777777,-0.10418927964135326,0.4421052631578947,0.734944733933093,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
12,01,rh-precuneus,0.4704861111111111,-0.06251356778481196,0.46315789473684216,0.6941427857785406,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
13,01,rh-precuneus,0.5230034722222222,0.10418927964135326,0.5473684210526316,0.6925990545695129,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
14,01,rh-precuneus,0.5902777777777778,0.14586499149789456,0.5684210526315789,0.6860607575243897,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
15,01,rh-precuneus,0.5594618055555555,0.08333333333333333,0.5416666666666666,0.6925951821400022,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
16,01,rh-precuneus,0.5034722222222222,0.04170288281141495,0.5106382978723404,0.6978371438495131,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
17,01,rh-precuneus,0.5668402777777778,0.06251356778481196,0.5263157894736842,0.6857037546801538,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
18,01,rh-precuneus,0.6276041666666666,0.18754070335443587,0.5894736842105263,0.6850369904804108,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,20,19
19,01,rh-precuneus,0.626736111111111,0.20833333333333334,0.6041666666666666,0.687388376078299,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,19,19
20,01,rh-precuneus,0.5520833333333333,0.08333333333333333,0.5416666666666666,0.6921171256906699,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
21,01,rh-precuneus,0.5507812499999999,0.041666666666666664,0.5208333333333334,0.6902103199929673,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,23,23
22,01,rh-precuneus,0.5538194444444445,0.14586499149789456,0.5684210526315789,0.6895396457330493,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
23,01,rh-precuneus,0.4596354166666667,-0.06251356778481196,0.46315789473684216,0.7036026889222585,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,26,25
24,01,rh-precuneus,0.5416666666666666,0.1254363015010636,0.5434782608695652,0.6916061203910303,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,25,23,19
25,01,rh-precuneus,0.5390625,0.02083785592827065,0.5052631578947369,0.6953042399887864,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
26,01,rh-precuneus,0.38498263888888884,-0.20833333333333334,0.3958333333333333,0.6951178321013352,None + Linear-SVM,glimpse,glimpse,False,Image,False,19,19,29,29
27,01,rh-precuneus,0.52734375,0.04170288281141495,0.5106382978723404,0.6925020753738881,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
28,01,rh-precuneus,0.5993923611111112,0.04170288281141495,0.5106382978723404,0.6814043509636262,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,24,22
29,01,rh-precuneus,0.4891493055555555,-0.02083785592827065,0.4842105263157895,0.700998714815312,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,25,24
30,01,rh-precuneus,0.5629340277777778,0.02083785592827065,0.5052631578947369,0.6881853889822729,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
31,01,rh-precuneus,0.5850694444444444,0.14586499149789456,0.5684210526315789,0.6869081114357748,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
32,01,rh-precuneus,0.5985243055555556,0.125,0.5625,0.680669801196005,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,21,21
33,01,rh-precuneus,0.5086805555555556,-0.04170288281141495,0.4680851063829787,0.6932578570777833,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,26,24
34,01,rh-precuneus,0.5789930555555556,0.14586499149789456,0.5684210526315789,0.6897890868490958,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,21,20
35,01,rh-precuneus,0.541232638888889,0.10418927964135326,0.5473684210526316,0.6915557423338209,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
36,01,rh-precuneus,0.4830729166666667,-0.10418927964135326,0.4421052631578947,0.7017325358379676,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
37,01,rh-precuneus,0.6961805555555555,0.35424355078060105,0.6736842105263158,0.6710749705903876,None + Linear-SVM,glimpse,glimpse,False,Image,False,33,32,16,15
