fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-superiorparietal,0.4561631944444445,-0.06251356778481196,0.46315789473684216,0.6938415126353603,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
2,01,rh-superiorparietal,0.4522569444444445,-0.08333333333333333,0.4583333333333333,0.6941673648455305,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
3,01,rh-superiorparietal,0.4518229166666667,-0.125,0.4375,0.6948625218689708,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
4,01,rh-superiorparietal,0.5221354166666666,-0.02083785592827065,0.4842105263157895,0.6922103936498948,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
5,01,rh-superiorparietal,0.6028645833333333,0.14586499149789456,0.5684210526315789,0.6886651624431576,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
6,01,rh-superiorparietal,0.607204861111111,0.16666666666666666,0.5833333333333334,0.6841331481282285,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,28,20,20
7,01,rh-superiorparietal,0.4470486111111111,-0.10418927964135326,0.4421052631578947,0.7005941852657499,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
8,01,rh-superiorparietal,0.502170138888889,0.14586499149789456,0.577319587628866,0.6941042024438634,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,28,20,21
9,01,rh-superiorparietal,0.4583333333333333,-0.12510864843424485,0.425531914893617,0.69354697644874,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
10,01,rh-superiorparietal,0.38845486111111116,-0.22921641521097716,0.37894736842105264,0.6993580664701469,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,19,18,30,29
11,01,rh-superiorparietal,0.43880208333333326,-0.10418927964135326,0.4421052631578947,0.7027147933119048,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
12,01,rh-superiorparietal,0.48090277777777773,0.0,0.5,0.6943576351978745,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
13,01,rh-superiorparietal,0.564236111111111,0.12510864843424485,0.5531914893617021,0.6909313633598061,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
14,01,rh-superiorparietal,0.5572916666666666,0.10418927964135326,0.5473684210526316,0.6909769704644116,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
15,01,rh-superiorparietal,0.49479166666666663,0.06251356778481196,0.5263157894736842,0.6973837276275626,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
16,01,rh-superiorparietal,0.45920138888888884,0.02083785592827065,0.5052631578947369,0.6994795964110324,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
17,01,rh-superiorparietal,0.5855034722222222,0.125,0.5625,0.6909236413630863,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
18,01,rh-superiorparietal,0.39322916666666663,-0.18754070335443587,0.39999999999999997,0.7081498829000726,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
19,01,rh-superiorparietal,0.45920138888888884,-0.02083785592827065,0.4842105263157895,0.6977842791298589,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
20,01,rh-superiorparietal,0.4518229166666667,0.02083785592827065,0.5052631578947369,0.7040933878831769,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
21,01,rh-superiorparietal,0.4027777777777778,-0.14586499149789456,0.42105263157894735,0.7098416389281436,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
22,01,rh-superiorparietal,0.4691840277777778,-0.18754070335443587,0.39999999999999997,0.6931514967773227,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
23,01,rh-superiorparietal,0.42925347222222227,-0.02083785592827065,0.4842105263157895,0.6990366770402329,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
24,01,rh-superiorparietal,0.5659722222222222,0.12510864843424485,0.5531914893617021,0.6899328379562375,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
25,01,rh-superiorparietal,0.41145833333333337,-0.06251356778481196,0.46315789473684216,0.702421281408023,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
26,01,rh-superiorparietal,0.41796875,-0.18754070335443587,0.4123711340206186,0.6958177602176564,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,19,20,28,29
27,01,rh-superiorparietal,0.43923611111111116,-0.08333333333333333,0.4583333333333333,0.7000789751712725,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
28,01,rh-superiorparietal,0.5347222222222222,0.02083785592827065,0.5052631578947369,0.6933112566363958,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
29,01,rh-superiorparietal,0.5078125,0.06251356778481196,0.5263157894736842,0.694810337831953,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
