fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,lh-lateraloccipital,0.25,-0.47140452079103173,0.0,0.81705991454557,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,0,4,1
2,sub-05,lh-lateraloccipital,0.5333333333333334,0.06666666666666667,0.5,0.7084342229287158,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,3,1
3,sub-05,lh-lateraloccipital,0.5,0.05773502691896257,0.5333333333333333,0.5368489610600664,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,6,1
4,sub-05,lh-lateraloccipital,0.3888888888888889,0.0,0.4444444444444444,0.7694586169938392,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,4,1
5,sub-05,lh-lateraloccipital,0.888888888888889,0.7071067811865476,0.8,0.847382483310235,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,1,0
6,sub-05,lh-lateraloccipital,0.45833333333333337,0.03857583749052298,0.5,0.6049884779296747,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,5,1
7,sub-05,lh-lateraloccipital,0.4583333333333333,0.03857583749052298,0.5,0.6036255034012409,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,3,5,1
8,sub-05,lh-lateraloccipital,0.48484848484848486,0.025949964805384102,0.5000000000000001,0.5372751086199051,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,7,1
9,sub-05,lh-lateraloccipital,0.16666666666666669,-0.6666666666666666,0.0,1.0320481167123752,PCA + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,2
10,sub-05,lh-lateraloccipital,0.5333333333333334,0.06666666666666667,0.5,0.7346131179772428,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,3,1
11,sub-05,lh-lateraloccipital,0.5,0.0,0.4444444444444444,0.6677845007785953,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,2,4,1
12,sub-05,lh-lateraloccipital,0.6296296296296297,0.09759000729485331,0.5714285714285714,0.5510623112819816,PCA + Linear-SVM,conscious,conscious,False,Image,False,2,4,5,1
