fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,lh-lateraloccipital,0.5,-0.375,0.0,0.6245494698435828,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,0,3,3
2,sub-05,lh-lateraloccipital,0.375,0.0,0.4615384615384615,0.7175103965168492,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,3,4
3,sub-05,lh-lateraloccipital,0.4318181818181818,0.044946657497549475,0.5714285714285713,0.7594089727345639,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,6,5,4
4,sub-05,lh-lateraloccipital,0.3125,-0.23904572186687872,0.22222222222222224,0.6665472765712103,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,3,4
5,sub-05,lh-lateraloccipital,0.5416666666666666,-0.03857583749052298,0.28571428571428575,0.622286636506592,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,2,3
6,sub-05,lh-lateraloccipital,0.3,-0.09759000729485333,0.3636363636363636,0.6990103616406305,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,4
7,sub-05,lh-lateraloccipital,0.5833333333333333,-0.14907119849998599,0.25,0.6182012646847542,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
8,sub-05,lh-lateraloccipital,0.4375,-0.23904572186687872,0.22222222222222224,0.6624648613603913,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,3,4
9,sub-05,lh-lateraloccipital,0.47500000000000003,-0.18446619684315546,0.22222222222222224,0.6827951178158378,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,4,3
10,sub-05,lh-lateraloccipital,0.175,-0.5367450401216932,0.16666666666666666,0.7111736104507498,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,4,6
11,sub-05,lh-lateraloccipital,0.41666666666666663,-0.03857583749052298,0.28571428571428575,0.6301930833249512,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,2,3
12,sub-05,lh-lateraloccipital,0.5,-0.25,0.0,0.5694341467899249,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,0,1,3
13,sub-05,lh-lateraloccipital,0.45000000000000007,-0.18446619684315546,0.22222222222222224,0.681695526101352,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,4,3
