fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,lh-rostralmiddlefrontal,0.4722222222222222,0.18446619684315546,0.5714285714285714,0.7223756689689783,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,5,1
2,sub-05,lh-rostralmiddlefrontal,0.6250000000000001,0.25,0.6,0.6872328949240574,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
3,sub-05,lh-rostralmiddlefrontal,0.5,-0.31622776601683794,0.0,0.6883713710893647,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,2,1
4,sub-05,lh-rostralmiddlefrontal,0.0,-0.6123724356957946,0.0,0.7229764704372843,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,3
5,sub-05,lh-rostralmiddlefrontal,0.3333333333333333,-0.16666666666666666,0.4,0.7154313939444887,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
6,sub-05,lh-rostralmiddlefrontal,0.03125,-0.816496580927726,0.0,0.7542543348292471,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,8,3
7,sub-05,lh-rostralmiddlefrontal,0.5,-0.1,0.4444444444444445,0.691702133070157,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
8,sub-05,lh-rostralmiddlefrontal,0.5,-0.16666666666666666,0.3333333333333333,0.6842652661221444,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
9,sub-05,lh-rostralmiddlefrontal,0.2857142857142857,-0.06900655593423542,0.5,0.7216643859922051,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,2
10,sub-05,lh-rostralmiddlefrontal,0.75,0.25,0.6,0.6779578710041588,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
11,sub-05,lh-rostralmiddlefrontal,0.8333333333333333,0.4166666666666667,0.6666666666666666,0.6573413157345884,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,1,1
12,sub-05,lh-rostralmiddlefrontal,0.75,0.09128709291752768,0.4,0.6750803485107724,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
13,sub-05,lh-rostralmiddlefrontal,0.5,-0.25,0.0,0.6945970516297356,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
14,sub-05,lh-rostralmiddlefrontal,0.3,-0.31622776601683794,0.25,0.7502983616841532,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
15,sub-05,lh-rostralmiddlefrontal,0.8,0.35,0.6666666666666665,0.639461324545508,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
16,sub-05,lh-rostralmiddlefrontal,0.30000000000000004,-0.31622776601683794,0.25,0.7054943589385413,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
17,sub-05,lh-rostralmiddlefrontal,0.75,0.5773502691896258,0.6666666666666666,0.6668126801657976,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,2,0
18,sub-05,lh-rostralmiddlefrontal,0.5,0.0,0.5454545454545454,0.6978822156256139,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,2
19,sub-05,lh-rostralmiddlefrontal,0.5625,0.0,0.5,0.6961307798903654,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,2,2
20,sub-05,lh-rostralmiddlefrontal,0.125,-0.5833333333333334,0.2,0.8222064921033899,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,5,3
21,sub-05,lh-rostralmiddlefrontal,0.5,0.0,0.0,0.685544930303937,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,2,0
22,sub-05,lh-rostralmiddlefrontal,0.625,0.0,0.4,0.6756314622215425,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,2
23,sub-05,lh-rostralmiddlefrontal,0.5,-0.3535533905932738,0.0,0.6977127876776573,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,3,1
24,sub-05,lh-rostralmiddlefrontal,0.625,0.0,0.3333333333333333,0.6816889810514415,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
25,sub-05,lh-rostralmiddlefrontal,0.4285714285714285,-0.06900655593423542,0.5,0.749677555503332,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,2
26,sub-05,lh-rostralmiddlefrontal,0.0,-0.6123724356957946,0.0,0.7011858229132211,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,3
27,sub-05,lh-rostralmiddlefrontal,0.75,0.408248290463863,0.7272727272727272,0.6687885139091926,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,1
28,sub-05,lh-rostralmiddlefrontal,0.3333333333333333,-0.16666666666666666,0.3333333333333333,0.7160928199222542,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
29,sub-05,lh-rostralmiddlefrontal,0.5,-0.16666666666666666,0.3333333333333333,0.6799219945577055,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
30,sub-05,lh-rostralmiddlefrontal,0.625,0.25,0.5,0.6852320276118555,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
31,sub-05,lh-rostralmiddlefrontal,0.5,0.0,0.36363636363636365,0.7049294104817977,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,6,1
32,sub-05,lh-rostralmiddlefrontal,0.5454545454545454,0.2618924633082486,0.6666666666666665,0.7067238120722161,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,5,1
33,sub-05,lh-rostralmiddlefrontal,0.75,-0.25,0.0,0.690995224213221,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
34,sub-05,lh-rostralmiddlefrontal,0.5,0.15811388300841897,0.5,0.7007212011251949,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
35,sub-05,lh-rostralmiddlefrontal,0.5227272727272727,0.2618924633082486,0.6666666666666665,0.7204509818999282,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,5,1
36,sub-05,lh-rostralmiddlefrontal,0.6666666666666666,0.2828894749305018,0.6666666666666667,0.6812080128112163,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,4,1
37,sub-05,lh-rostralmiddlefrontal,0.3571428571428571,-0.21428571428571427,0.36363636363636365,0.7237566672027672,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,5,2
