fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,rh-fusiform,0.6944444444444444,0.2828894749305018,0.6666666666666667,0.5714230243643321,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,4,1
2,sub-05,rh-fusiform,0.41666666666666663,-0.16666666666666666,0.4,0.7317428892048907,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
3,sub-05,rh-fusiform,0.875,0.6324555320336759,0.6666666666666666,0.6358687213818849,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,0
4,sub-05,rh-fusiform,0.5,-0.25,0.0,0.7465841247563821,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
5,sub-05,rh-fusiform,0.625,0.25,0.6,0.6359811180664121,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
6,sub-05,rh-fusiform,0.53125,0.23904572186687872,0.6153846153846154,0.6844860421536675,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,4,1
7,sub-05,rh-fusiform,0.75,0.35,0.6666666666666665,0.5994833390135318,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
8,sub-05,rh-fusiform,1.0,0.7302967433402214,0.8,0.5827853589538596,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,0
9,sub-05,rh-fusiform,0.5357142857142857,-0.06900655593423542,0.5,0.6992162462204635,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,2
10,sub-05,rh-fusiform,0.5416666666666666,-0.16666666666666666,0.4,0.6698242967663066,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
11,sub-05,rh-fusiform,0.25,-0.5477225575051661,0.0,0.8378623359600583,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,3,2
12,sub-05,rh-fusiform,0.75,0.47140452079103173,0.5,0.6386973529488432,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,0
13,sub-05,rh-fusiform,0.5,-0.25,0.0,0.737122923149174,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
14,sub-05,rh-fusiform,0.25,-0.5976143046671968,0.0,0.7195215190932651,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,5,2
15,sub-05,rh-fusiform,0.5,-0.1,0.4444444444444445,0.7787692043445149,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
16,sub-05,rh-fusiform,0.6,0.15811388300841897,0.5,0.6455234896705896,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
17,sub-05,rh-fusiform,0.5625,0.0,0.3333333333333333,0.6292210735347525,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
18,sub-05,rh-fusiform,0.4583333333333333,-0.16666666666666666,0.4,0.7309251962419698,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
19,sub-05,rh-fusiform,0.1875,-0.5773502691896258,0.0,0.9360503521254608,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,4,2
