fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,rh-precuneus,0.375,-0.14907119849998599,0.25,0.6296828104268847,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
2,sub-05,rh-precuneus,0.3333333333333333,-0.16666666666666666,0.3333333333333333,0.7071066006212011,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,4,4
3,sub-05,rh-precuneus,0.4886363636363636,-0.044946657497549475,0.5,0.7558769761907548,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,6,4
4,sub-05,rh-precuneus,0.5625,0.11952286093343936,0.4444444444444445,0.6464885966399375,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,2,3
5,sub-05,rh-precuneus,0.3333333333333333,-0.14907119849998599,0.25,0.6455932365454486,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
6,sub-05,rh-precuneus,0.475,-0.09759000729485333,0.3636363636363636,0.6685593857218249,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,4
7,sub-05,rh-precuneus,0.75,0.38575837490522974,0.5714285714285715,0.616966830457118,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,1,2
8,sub-05,rh-precuneus,0.625,-0.125,0.25,0.6427829654191552,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,3,3
9,sub-05,rh-precuneus,0.55,0.025,0.4000000000000001,0.6702156850460711,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
10,sub-05,rh-precuneus,0.42500000000000004,-0.21957751641341997,0.3333333333333333,0.6881714478831161,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,5
11,sub-05,rh-precuneus,0.5,-0.14907119849998599,0.25,0.6185524742087365,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
12,sub-05,rh-precuneus,0.0,-0.6614378277661476,0.0,0.5663821620343373,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,1,0,1,7
