fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,lh-precuneus,0.5277777777777778,0.08333333333333333,0.46153846153846156,0.7028853821161812,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,6,1
2,sub-05,lh-precuneus,0.33333333333333337,-0.16666666666666666,0.4,0.789001192256776,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
3,sub-05,lh-precuneus,0.375,-0.31622776601683794,0.0,0.7572502837481131,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,2,1
4,sub-05,lh-precuneus,0.5,-0.25,0.0,0.7034573893547816,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
5,sub-05,lh-precuneus,0.41666666666666663,-0.16666666666666666,0.4,0.7305258886110381,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
6,sub-05,lh-precuneus,0.4375,-0.25,0.3333333333333333,0.8138178036357164,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,6,2
7,sub-05,lh-precuneus,0.45,-0.1,0.4444444444444445,0.723658597996532,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
8,sub-05,lh-precuneus,0.41666666666666663,-0.16666666666666666,0.3333333333333333,0.7608102427495999,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
9,sub-05,lh-precuneus,0.4642857142857143,-0.06900655593423542,0.5,0.6978107074492944,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,2
10,sub-05,lh-precuneus,0.75,0.5833333333333334,0.8333333333333334,0.6372498502298979,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,1,1
11,sub-05,lh-precuneus,0.5,-0.16666666666666666,0.3333333333333333,0.7291361080972513,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
12,sub-05,lh-precuneus,0.5,-0.16666666666666666,0.3333333333333333,0.7043264273627443,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
13,sub-05,lh-precuneus,0.75,-0.25,0.0,0.6731053319873516,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
14,sub-05,lh-precuneus,0.5,0.15811388300841897,0.5,0.7569919403243405,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
