fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,lh-rostralmiddlefrontal,0.6666666666666667,0.2828894749305018,0.6666666666666667,0.7005637774100341,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,4,1
2,sub-05,lh-rostralmiddlefrontal,0.5416666666666667,0.0890870806374748,0.4444444444444444,0.6898458675127789,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,1
3,sub-05,lh-rostralmiddlefrontal,0.75,0.25,0.5,0.6430737206826963,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
4,sub-05,lh-rostralmiddlefrontal,0.5,-0.25,0.0,0.6827995193370764,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
5,sub-05,lh-rostralmiddlefrontal,0.5833333333333333,0.0,0.5454545454545454,0.6874893030222212,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,2
6,sub-05,lh-rostralmiddlefrontal,0.46875,-0.15811388300841897,0.2,0.7343323758803543,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,7,1
7,sub-05,lh-rostralmiddlefrontal,0.7,0.15811388300841897,0.5,0.679441917598285,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
8,sub-05,lh-rostralmiddlefrontal,0.6666666666666666,0.09128709291752768,0.4,0.6560365004343539,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
9,sub-05,lh-rostralmiddlefrontal,0.6428571428571428,0.03857583749052298,0.4,0.6787919632103793,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,5,1
10,sub-05,lh-rostralmiddlefrontal,0.7083333333333334,0.25,0.6,0.6619300324239938,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
11,sub-05,lh-rostralmiddlefrontal,0.6666666666666666,0.09128709291752768,0.4,0.6684198954604844,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
12,sub-05,lh-rostralmiddlefrontal,0.6666666666666666,0.09128709291752768,0.4,0.6564906376926637,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
13,sub-05,lh-rostralmiddlefrontal,1.0,0.0,0.0,0.6437823521933919,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,0
14,sub-05,lh-rostralmiddlefrontal,0.4,0.1,0.6,0.7341906570266388,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,2,2
15,sub-05,lh-rostralmiddlefrontal,0.9,0.6324555320336759,0.7499999999999999,0.6233530791641422,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,0
16,sub-05,lh-rostralmiddlefrontal,0.55,-0.05976143046671968,0.28571428571428575,0.6913249429595072,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,1
17,sub-05,lh-rostralmiddlefrontal,0.875,0.5773502691896258,0.6666666666666666,0.6477359142740199,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,2,0
18,sub-05,lh-rostralmiddlefrontal,0.75,0.25,0.6,0.6616217150237891,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
19,sub-05,lh-rostralmiddlefrontal,0.5625,0.0,0.3333333333333333,0.6856194094893321,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
20,sub-05,lh-rostralmiddlefrontal,0.20833333333333331,-0.16666666666666666,0.4,0.791320503218523,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
21,sub-05,lh-rostralmiddlefrontal,0.75,0.25,0.5,0.6653636773785948,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
22,sub-05,lh-rostralmiddlefrontal,0.75,0.25,0.5,0.6593956843672849,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
23,sub-05,lh-rostralmiddlefrontal,0.5,-0.3535533905932738,0.0,0.666311831244985,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,3,1
24,sub-05,lh-rostralmiddlefrontal,0.5625,0.0,0.3333333333333333,0.6856483376493598,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
25,sub-05,lh-rostralmiddlefrontal,0.35714285714285715,0.06900655593423542,0.6153846153846153,0.7509198213660541,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,3,2
26,sub-05,lh-rostralmiddlefrontal,1.0,0.0,0.0,0.6470989274090103,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,0
27,sub-05,lh-rostralmiddlefrontal,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.6997326305430935,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,2,2
28,sub-05,lh-rostralmiddlefrontal,0.3333333333333333,-0.16666666666666666,0.3333333333333333,0.7112408166926977,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
29,sub-05,lh-rostralmiddlefrontal,0.5833333333333333,-0.16666666666666666,0.3333333333333333,0.6913145029093858,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
30,sub-05,lh-rostralmiddlefrontal,0.75,0.25,0.5,0.6434094794519718,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
31,sub-05,lh-rostralmiddlefrontal,0.625,0.125,0.5,0.6718945039900729,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,5,1
32,sub-05,lh-rostralmiddlefrontal,0.6590909090909091,0.10660035817780521,0.5000000000000001,0.6861780327598324,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,7,1
33,sub-05,lh-rostralmiddlefrontal,1.0,0.0,0.0,0.6437002563319678,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,0
34,sub-05,lh-rostralmiddlefrontal,0.7,0.15811388300841897,0.5,0.6741297047852458,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
35,sub-05,lh-rostralmiddlefrontal,0.5227272727272727,-0.07537783614444091,0.28571428571428575,0.7204205954189092,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,9,1
36,sub-05,lh-rostralmiddlefrontal,0.6944444444444444,0.2828894749305018,0.6666666666666667,0.6776373649753336,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,4,1
37,sub-05,lh-rostralmiddlefrontal,0.5,0.21428571428571427,0.7142857142857143,0.7273466310691411,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,2,2
38,sub-05,lh-rostralmiddlefrontal,0.5,-0.25,0.0,0.653412388824033,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
39,sub-05,lh-rostralmiddlefrontal,0.55,-0.05976143046671968,0.28571428571428575,0.6959021813928431,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,1
40,sub-05,lh-rostralmiddlefrontal,0.25,-0.5,0.0,0.7202477194893119,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,2,2
41,sub-05,lh-rostralmiddlefrontal,0.6111111111111112,0.18446619684315546,0.5714285714285714,0.6897893754495692,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,5,1
42,sub-05,lh-rostralmiddlefrontal,0.4444444444444444,0.05143444998736397,0.6250000000000001,0.736789801315433,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,4,2
43,sub-05,lh-rostralmiddlefrontal,0.675,0.1414213562373095,0.5333333333333333,0.6953438577653959,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,6,1
44,sub-05,lh-rostralmiddlefrontal,0.45,-0.1,0.4444444444444445,0.7186795170992579,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
45,sub-05,lh-rostralmiddlefrontal,0.6666666666666666,0.09128709291752768,0.4,0.6654859492038492,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
46,sub-05,lh-rostralmiddlefrontal,0.53125,-0.15811388300841897,0.2,0.7111094642781093,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,7,1
47,sub-05,lh-rostralmiddlefrontal,0.7407407407407408,0.5773502691896257,0.8,0.6953906943226339,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,3,0
48,sub-05,lh-rostralmiddlefrontal,0.8333333333333334,0.6324555320336759,0.8,0.6627111078916234,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,0
49,sub-05,lh-rostralmiddlefrontal,1.0,0.6123724356957946,0.6666666666666666,0.5738268473218406,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,0
50,sub-05,lh-rostralmiddlefrontal,0.6666666666666667,-0.3333333333333333,0.0,0.5987816314732421,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,1
51,sub-05,lh-rostralmiddlefrontal,0.888888888888889,0.6324555320336759,0.8,0.6659913123300338,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,0
52,sub-05,lh-rostralmiddlefrontal,0.7916666666666667,0.375,0.5454545454545454,0.7209593991901336,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,5,0
53,sub-05,lh-rostralmiddlefrontal,0.9333333333333333,0.7745966692414834,0.888888888888889,0.6457537236956467,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,1,0
54,sub-05,lh-rostralmiddlefrontal,0.888888888888889,0.7071067811865476,0.8,0.5880583929794946,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,1,0
55,sub-05,lh-rostralmiddlefrontal,1.0,0.8017837257372732,0.923076923076923,0.6493217799663359,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,1,0
56,sub-05,lh-rostralmiddlefrontal,0.888888888888889,0.6324555320336759,0.8,0.6301653294083346,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,0
57,sub-05,lh-rostralmiddlefrontal,1.0,0.7071067811865476,0.8,0.6141001601440574,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,1,0
58,sub-05,lh-rostralmiddlefrontal,1.0,0.7071067811865476,0.8,0.5899031326543595,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,1,0
59,sub-05,lh-rostralmiddlefrontal,1.0,0.0,0.0,0.5466089728659226,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,0
60,sub-05,lh-rostralmiddlefrontal,0.8,0.6,0.7499999999999999,0.6956269762247952,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,0
61,sub-05,lh-rostralmiddlefrontal,1.0,0.7745966692414834,0.888888888888889,0.5758671622264395,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,1,0
62,sub-05,lh-rostralmiddlefrontal,0.8666666666666667,0.6,0.7499999999999999,0.6551056293824378,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,0
63,sub-05,lh-rostralmiddlefrontal,0.9166666666666667,0.75,0.8571428571428571,0.6044712095017394,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,1,0
64,sub-05,lh-rostralmiddlefrontal,0.9444444444444445,0.6324555320336759,0.8,0.6266818377345633,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,0
65,sub-05,lh-rostralmiddlefrontal,1.0,0.75,0.8571428571428571,0.627041299197944,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,1,0
66,sub-05,lh-rostralmiddlefrontal,0.7222222222222223,0.31622776601683794,0.7272727272727272,0.7424994100138933,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,2,1
67,sub-05,lh-rostralmiddlefrontal,0.8333333333333334,0.6123724356957946,0.6666666666666666,0.6102280785048851,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,0
