fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,lh-superiorparietal,0.5833333333333334,0.18446619684315546,0.5714285714285714,0.6961917401988719,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,5,1
2,sub-05,lh-superiorparietal,0.20833333333333331,-0.5833333333333334,0.2,0.734401438252425,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,5,3
3,sub-05,lh-superiorparietal,0.625,0.0,0.4,0.6559464385265773,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,2
4,sub-05,lh-superiorparietal,0.0,-0.6123724356957946,0.0,0.695266999806415,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,3
5,sub-05,lh-superiorparietal,0.8333333333333334,0.6666666666666666,0.8,0.6452824557023559,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,2,0
6,sub-05,lh-superiorparietal,0.46875,-0.11952286093343936,0.4615384615384615,0.718957744539647,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,5,2
7,sub-05,lh-superiorparietal,0.9,0.6324555320336759,0.7499999999999999,0.6604586402076995,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,0
8,sub-05,lh-superiorparietal,1.0,0.7302967433402214,0.8,0.6590475555159344,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,0
9,sub-05,lh-superiorparietal,0.5,-0.06900655593423542,0.5,0.7192483530840633,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,2
10,sub-05,lh-superiorparietal,0.8333333333333334,0.6666666666666666,0.8,0.6566617813096662,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,2,0
11,sub-05,lh-superiorparietal,0.5833333333333333,-0.16666666666666666,0.3333333333333333,0.6763537387123982,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
12,sub-05,lh-superiorparietal,0.5,-0.16666666666666666,0.3333333333333333,0.6865780316991028,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
13,sub-05,lh-superiorparietal,1.0,0.0,0.0,0.6491291549053414,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,0
14,sub-05,lh-superiorparietal,0.25,-0.31622776601683794,0.25,0.7094386247435058,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
15,sub-05,lh-superiorparietal,0.8,0.35,0.6666666666666665,0.679970731366854,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
16,sub-05,lh-superiorparietal,0.55,-0.1,0.4444444444444445,0.6762602047718339,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
17,sub-05,lh-superiorparietal,1.0,0.7745966692414834,0.8571428571428571,0.6329306059322839,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,1,0
18,sub-05,lh-superiorparietal,0.8333333333333334,0.6666666666666666,0.8,0.6648165519552229,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,2,0
19,sub-05,lh-superiorparietal,0.3125,-0.2581988897471611,0.28571428571428575,0.7190350455469623,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
20,sub-05,lh-superiorparietal,0.5416666666666666,0.0,0.5454545454545454,0.7175728048238368,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,2
21,sub-05,lh-superiorparietal,0.625,0.25,0.5,0.6755499690733714,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
22,sub-05,lh-superiorparietal,0.5,0.0,0.0,0.6986134057138313,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,2,0
23,sub-05,lh-superiorparietal,0.5,-0.16666666666666666,0.3333333333333333,0.687415984044088,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
24,sub-05,lh-superiorparietal,0.375,-0.2581988897471611,0.28571428571428575,0.6825313239907544,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
25,sub-05,lh-superiorparietal,0.5357142857142857,-0.06900655593423542,0.5,0.6967750559934546,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,2
26,sub-05,lh-superiorparietal,0.25,-0.4082482904638631,0.0,0.6721459985801409,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,2
27,sub-05,lh-superiorparietal,0.5416666666666667,0.0890870806374748,0.4444444444444444,0.688974804439052,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,1
28,sub-05,lh-superiorparietal,0.5,-0.16666666666666666,0.3333333333333333,0.6841038066304027,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
29,sub-05,lh-superiorparietal,0.75,0.47140452079103173,0.5,0.6732947827597876,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,0
30,sub-05,lh-superiorparietal,1.0,0.6324555320336759,0.6666666666666666,0.6563426357666311,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,0
31,sub-05,lh-superiorparietal,0.6875,0.5,0.6666666666666666,0.6798050009561977,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,4,0
32,sub-05,lh-superiorparietal,0.5909090909090909,-0.040291148201269014,0.5555555555555556,0.7039811036263846,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,6,2
33,sub-05,lh-superiorparietal,1.0,0.0,0.0,0.6669039425642131,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,0
34,sub-05,lh-superiorparietal,0.25,-0.31622776601683794,0.25,0.7460158817891569,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
35,sub-05,lh-superiorparietal,0.5909090909090909,0.1846372364689991,0.5882352941176471,0.696210798110253,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,6,1
36,sub-05,lh-superiorparietal,0.7222222222222222,0.5270462766947299,0.7142857142857143,0.6877315040292408,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,5,4,0
37,sub-05,lh-superiorparietal,0.6785714285714286,0.06900655593423542,0.6153846153846153,0.6878028735786621,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,3,2
38,sub-05,lh-superiorparietal,0.0,-0.6123724356957946,0.0,0.694846615617763,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,3
39,sub-05,lh-superiorparietal,0.55,-0.1,0.4444444444444445,0.6923633316663369,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
40,sub-05,lh-superiorparietal,0.0,-0.7071067811865476,0.0,0.7443004064547352,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,3
41,sub-05,lh-superiorparietal,0.3888888888888889,-0.15811388300841897,0.42857142857142855,0.7147744172191642,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,6,2
42,sub-05,lh-superiorparietal,0.5277777777777778,-0.05143444998736397,0.5333333333333333,0.7057162506952716,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,5,2
43,sub-05,lh-superiorparietal,0.6,0.22821773229381923,0.625,0.7043756500692561,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,5,1
44,sub-05,lh-superiorparietal,0.6,0.15811388300841897,0.5,0.6738799881140977,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
45,sub-05,lh-superiorparietal,0.08333333333333333,-0.75,0.0,0.7298440541020559,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,3,3
46,sub-05,lh-superiorparietal,0.40625,0.125,0.5,0.7364886935478113,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,5,1
47,sub-05,lh-superiorparietal,0.6296296296296297,0.09759000729485331,0.5714285714285714,0.6984013534857231,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,5,1
48,sub-05,lh-superiorparietal,0.5,0.0,0.4444444444444444,0.7274538836720359,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,1
49,sub-05,lh-superiorparietal,0.6666666666666667,0.16666666666666666,0.5,0.6396112169974177,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,1
50,sub-05,lh-superiorparietal,0.33333333333333337,-0.3333333333333333,0.0,0.6891328699906688,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,1
51,sub-05,lh-superiorparietal,0.7777777777777778,0.31622776601683794,0.7272727272727272,0.6594113782465656,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,2,1
52,sub-05,lh-superiorparietal,0.6666666666666667,0.14907119849998599,0.6153846153846154,0.7192623342191381,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,4,1
53,sub-05,lh-superiorparietal,0.9333333333333333,0.7745966692414834,0.888888888888889,0.6567742200635881,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,1,0
54,sub-05,lh-superiorparietal,0.888888888888889,0.7071067811865476,0.8,0.6526831826401956,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,1,0
55,sub-05,lh-superiorparietal,0.6190476190476191,0.0890870806374748,0.5454545454545454,0.7092327544715856,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,1
56,sub-05,lh-superiorparietal,0.8333333333333334,0.6324555320336759,0.8,0.6557512188283776,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,0
57,sub-05,lh-superiorparietal,0.6666666666666667,0.3333333333333333,0.6666666666666666,0.6743020485344812,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,1
58,sub-05,lh-superiorparietal,0.5555555555555556,0.0,0.4,0.6732055829510853,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,1
