fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-05,rh-inferiorparietal,0.7777777777777777,0.38575837490522974,0.75,0.58604838552981,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,3,1
2,sub-05,rh-inferiorparietal,0.6666666666666666,0.5345224838248488,0.6666666666666666,0.6666577503881784,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,0
3,sub-05,rh-inferiorparietal,1.0,0.6324555320336759,0.6666666666666666,0.4799522245499745,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,0
4,sub-05,rh-inferiorparietal,1.0,0.0,0.0,0.5042776120034292,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,0
5,sub-05,rh-inferiorparietal,0.7916666666666667,0.408248290463863,0.7272727272727272,0.5606292783284956,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,1
6,sub-05,rh-inferiorparietal,0.8125,0.5976143046671968,0.7692307692307693,0.5742692162003317,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,5,3,0
7,sub-05,rh-inferiorparietal,0.9,0.6324555320336759,0.7499999999999999,0.6014912302378359,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,0
8,sub-05,rh-inferiorparietal,0.5,-0.16666666666666666,0.3333333333333333,0.7072016136246942,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
9,sub-05,rh-inferiorparietal,0.8928571428571428,0.5714285714285714,0.7272727272727273,0.5392717792223699,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,3,0
10,sub-05,rh-inferiorparietal,0.6666666666666666,0.25,0.6,0.6712185279243792,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
11,sub-05,rh-inferiorparietal,0.41666666666666663,-0.16666666666666666,0.3333333333333333,0.7054445203847353,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
12,sub-05,rh-inferiorparietal,0.75,0.47140452079103173,0.5,0.5057242747921856,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,0
13,sub-05,rh-inferiorparietal,0.25,-0.4082482904638631,0.0,0.6561622970928395,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,2
14,sub-05,rh-inferiorparietal,0.65,0.15811388300841897,0.5,0.7219886041982663,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
15,sub-05,rh-inferiorparietal,0.8500000000000001,0.6324555320336759,0.7499999999999999,0.5121509668752919,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,0
16,sub-05,rh-inferiorparietal,1.0,0.8,0.888888888888889,0.43399249872421247,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,1,0
17,sub-05,rh-inferiorparietal,0.9375,0.7745966692414834,0.8571428571428571,0.5278129866769676,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,1,0
18,sub-05,rh-inferiorparietal,0.75,0.5345224838248488,0.6666666666666666,0.6051895836330609,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,0
19,sub-05,rh-inferiorparietal,0.875,0.5773502691896258,0.6666666666666666,0.557971176205777,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,2,0
20,sub-05,rh-inferiorparietal,0.8333333333333334,0.6666666666666666,0.8,0.5980319166471935,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,2,0
21,sub-05,rh-inferiorparietal,1.0,0.6324555320336759,0.6666666666666666,0.5665769166698019,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,1,0
