fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-parahippocampal,0.4316123188405797,-0.06431159420289854,0.45652173913043476,0.6943984359187786,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,25,25
2,01,lh-parahippocampal,0.6177536231884058,0.10597826086956522,0.5434782608695652,0.6852028051101464,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,21,21
3,01,lh-parahippocampal,0.536231884057971,0.08429641648726181,0.5274725274725275,0.6918389831612421,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,22,21
4,01,lh-parahippocampal,0.49501811594202894,-0.042562826537937436,0.47311827956989244,0.6942301428187091,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,24,25
5,01,lh-parahippocampal,0.44519927536231885,-0.08512565307587487,0.45161290322580644,0.6974439959796629,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,25,26
6,01,lh-parahippocampal,0.5194746376811594,0.06340579710144928,0.5217391304347826,0.694317595225889,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,22,22
7,01,lh-parahippocampal,0.4864130434782608,-0.0018177792471903247,0.47191011235955055,0.6956313420871157,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,21,25,22
8,01,lh-parahippocampal,0.4633152173913044,-0.06431159420289854,0.45652173913043476,0.6939015067671023,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,25,25
9,01,lh-parahippocampal,0.4769021739130435,-0.06431159420289854,0.45652173913043476,0.6950601958882758,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,25,25
10,01,lh-parahippocampal,0.483695652173913,-0.1068840579710145,0.43478260869565216,0.6949737515144843,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,20,26,26
11,01,lh-parahippocampal,0.47056159420289856,0.08429641648726181,0.5274725274725275,0.6949803028105016,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,22,21
12,01,lh-parahippocampal,0.5330615942028986,0.042562826537937436,0.5161290322580645,0.6904921079077062,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,22,23
13,01,lh-parahippocampal,0.4605978260869565,-0.0009064130805081916,0.4835164835164835,0.6952203672244921,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,22,24,23
14,01,lh-parahippocampal,0.5253623188405796,-0.0009064130805081916,0.4835164835164835,0.6940849376236274,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,22,24,23
15,01,lh-parahippocampal,0.45018115942028986,-0.1068840579710145,0.43478260869565216,0.6975896007700676,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,20,26,26
16,01,lh-parahippocampal,0.5149456521739131,-0.08429641648726181,0.46315789473684216,0.6925465975042955,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,22,24,27
17,01,lh-parahippocampal,0.5249094202898551,-0.043507827864393195,0.46153846153846156,0.6911968045980692,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,21,25,24
18,01,lh-parahippocampal,0.3985507246376812,-0.2346014492753623,0.36956521739130427,0.6999103686467855,None + Linear-SVM,glimpse,glimpse,False,Image,False,19,17,29,29
19,01,lh-parahippocampal,0.40126811594202894,-0.10597826086956522,0.44680851063829785,0.6960927411086857,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,21,25,27
20,01,lh-parahippocampal,0.49592391304347827,0.020833333333333332,0.5,0.6941510461089018,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,23,23
21,01,lh-parahippocampal,0.3695652173913044,-0.21281413268968716,0.3870967741935484,0.6965669465038702,None + Linear-SVM,glimpse,glimpse,False,Image,False,19,18,28,29
22,01,lh-parahippocampal,0.46784420289855067,-0.042562826537937436,0.47311827956989244,0.6970784225410076,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,24,25
23,01,lh-parahippocampal,0.49275362318840576,0.10597826086956522,0.5434782608695652,0.6943778414081044,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,21,21
24,01,lh-parahippocampal,0.45018115942028986,-0.021739130434782608,0.4782608695652174,0.6948987312394637,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,24,24
25,01,lh-parahippocampal,0.4125905797101449,-0.17025130615174974,0.4086021505376344,0.7055470069349002,None + Linear-SVM,glimpse,glimpse,False,Image,False,20,19,27,28
26,01,lh-parahippocampal,0.3994565217391305,-0.14945652173913043,0.41304347826086957,0.7001016417297555,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,19,27,27
27,01,lh-parahippocampal,0.42300724637681153,-0.1276884796138123,0.43010752688172044,0.6972652539772086,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,26,27
28,01,lh-parahippocampal,0.45471014492753625,-0.1276884796138123,0.43010752688172044,0.695405913701134,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,26,27
29,01,lh-parahippocampal,0.5991847826086957,0.10597826086956522,0.5434782608695652,0.690236588677298,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,21,21
30,01,lh-parahippocampal,0.3808876811594203,-0.1287106574321632,0.4175824175824176,0.7046919205542083,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,19,27,26
31,01,lh-parahippocampal,0.46875,-0.042562826537937436,0.47311827956989244,0.6956484396474087,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,24,25
32,01,lh-parahippocampal,0.5285326086956522,0.020833333333333332,0.5,0.6949878334151155,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,23,23
33,01,lh-parahippocampal,0.47282608695652173,-0.042562826537937436,0.47311827956989244,0.6953704331939139,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,24,25
34,01,lh-parahippocampal,0.5194746376811594,0.08512565307587487,0.5376344086021505,0.6930618924494696,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,21,22
