fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-superiorparietal,0.5190217391304348,0.08512565307587487,0.5376344086021505,0.7098383874473383,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,21,22
2,01,lh-superiorparietal,0.6177536231884059,0.14855072463768115,0.5652173913043478,0.6702257626084489,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,20,20
3,01,lh-superiorparietal,0.5706521739130435,0.04169500170337682,0.5054945054945055,0.6857736552554936,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,23,23,22
4,01,lh-superiorparietal,0.595108695652174,0.1911231884057971,0.5869565217391305,0.6857240534626748,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,19,19
5,01,lh-superiorparietal,0.6086956521739131,0.21210066083891685,0.5934065934065934,0.6803880701353574,None + Linear-SVM,glimpse,glimpse,False,Image,False,30,27,19,18
6,01,lh-superiorparietal,0.5932971014492753,0.14855072463768115,0.5652173913043478,0.6821256765425282,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,20,20
7,01,lh-superiorparietal,0.5371376811594203,-0.020833333333333332,0.48936170212765956,0.6878587652658227,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,23,23,25
8,01,lh-superiorparietal,0.5552536231884058,-0.021739130434782608,0.4782608695652174,0.6862410561649328,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,22,24,24
9,01,lh-superiorparietal,0.6259057971014492,0.12689783127114682,0.5494505494505495,0.6770020039671766,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,21,20
10,01,lh-superiorparietal,0.5797101449275363,0.10597826086956522,0.5434782608695652,0.6869359473981366,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,21,21
11,01,lh-superiorparietal,0.582427536231884,0.1911231884057971,0.5869565217391305,0.6843137173127746,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,19,19
12,01,lh-superiorparietal,0.47373188405797106,-0.1068840579710145,0.43478260869565216,0.7086067323548098,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,20,26,26
13,01,lh-superiorparietal,0.5529891304347827,0.12689783127114682,0.5494505494505495,0.6972174769393112,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,21,20
14,01,lh-superiorparietal,0.5457427536231885,0.10597826086956522,0.5434782608695652,0.6929048997050574,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,21,21
15,01,lh-superiorparietal,0.5122282608695652,0.021739130434782608,0.5106382978723404,0.6986328125619712,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,24,22,24
16,01,lh-superiorparietal,0.6259057971014493,0.21210066083891685,0.5934065934065934,0.6733263993738401,None + Linear-SVM,glimpse,glimpse,False,Image,False,30,27,19,18
17,01,lh-superiorparietal,0.5548007246376812,0.10597826086956522,0.5434782608695652,0.6876780184151972,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,21,21
18,01,lh-superiorparietal,0.6168478260869564,0.04169500170337682,0.5054945054945055,0.6793196683766968,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,23,23,22
