fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-superiorfrontal,0.5572232645403377,0.1482611624338968,0.6027397260273972,0.6920748173335892,None + Linear-SVM,conscious,conscious,False,Image,False,16,22,19,10
2,01,rh-superiorfrontal,0.5619136960600375,0.09701039023452508,0.605263157894737,0.6850520238904376,None + Linear-SVM,conscious,conscious,False,Image,False,14,23,18,12
3,01,rh-superiorfrontal,0.5909943714821763,0.08694327426679134,0.5753424657534246,0.6859033930317006,None + Linear-SVM,conscious,conscious,False,Image,False,15,21,20,11
4,01,rh-superiorfrontal,0.5093808630393997,-0.011886892126451493,0.5405405405405406,0.685940710271582,None + Linear-SVM,conscious,conscious,False,Image,False,13,20,21,13
5,01,rh-superiorfrontal,0.574108818011257,0.11063953440774082,0.5945945945945946,0.6870176953338034,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
6,01,rh-superiorfrontal,0.4662288930581614,-0.18244937364851918,0.4444444444444444,0.7104912259500109,None + Linear-SVM,conscious,conscious,False,Image,False,11,16,25,15
7,01,rh-superiorfrontal,0.6378986866791745,0.25693974519483614,0.6666666666666666,0.6709605868628006,None + Linear-SVM,conscious,conscious,False,Image,False,17,25,16,9
8,01,rh-superiorfrontal,0.45028142589118203,-0.09701039023452508,0.4931506849315069,0.6976078259351037,None + Linear-SVM,conscious,conscious,False,Image,False,12,18,23,14
9,01,rh-superiorfrontal,0.6397748592870546,0.1482611624338968,0.6027397260273972,0.6624506969117713,None + Linear-SVM,conscious,conscious,False,Image,False,16,22,19,10
10,01,rh-superiorfrontal,0.5403377110694184,0.11063953440774082,0.5945945945945946,0.6960577744681572,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
11,01,rh-superiorfrontal,0.5731707317073171,0.15832827840163055,0.6315789473684211,0.6839188558772542,None + Linear-SVM,conscious,conscious,False,Image,False,15,24,17,11
12,01,rh-superiorfrontal,0.5647279549718573,0.13441331866064382,0.6133333333333334,0.6831745193763924,None + Linear-SVM,conscious,conscious,False,Image,False,15,23,18,11
13,01,rh-superiorfrontal,0.5525328330206379,0.011886892126451493,0.56,0.6851279272203726,None + Linear-SVM,conscious,conscious,False,Image,False,13,21,20,13
14,01,rh-superiorfrontal,0.5215759849906191,0.08694327426679134,0.5753424657534246,0.6970562106452522,None + Linear-SVM,conscious,conscious,False,Image,False,15,21,20,11
15,01,rh-superiorfrontal,0.5637898686679174,0.19567653192773998,0.64,0.6919417490772671,None + Linear-SVM,conscious,conscious,False,Image,False,16,24,17,10
16,01,rh-superiorfrontal,0.6097560975609757,0.21964616656873603,0.6578947368421052,0.6854757550768191,None + Linear-SVM,conscious,conscious,False,Image,False,16,25,16,10
17,01,rh-superiorfrontal,0.5928705440900564,0.11063953440774082,0.5945945945945946,0.6850319073376403,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
18,01,rh-superiorfrontal,0.4024390243902439,-0.18244937364851918,0.4444444444444444,0.7054067954876404,None + Linear-SVM,conscious,conscious,False,Image,False,11,16,25,15
19,01,rh-superiorfrontal,0.46716697936210133,-0.13441331866064382,0.48648648648648646,0.6971059588713145,None + Linear-SVM,conscious,conscious,False,Image,False,11,18,23,15
20,01,rh-superiorfrontal,0.5834896810506567,-0.011886892126451493,0.5405405405405406,0.6746192718712917,None + Linear-SVM,conscious,conscious,False,Image,False,13,20,21,13
21,01,rh-superiorfrontal,0.5581613508442776,0.04937632114064466,0.5675675675675675,0.6982358897966091,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
22,01,rh-superiorfrontal,0.5121951219512195,0.04937632114064466,0.5675675675675675,0.7099219203749693,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
23,01,rh-superiorfrontal,0.578799249530957,0.11063953440774082,0.5945945945945946,0.6789194004061679,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
24,01,rh-superiorfrontal,0.5150093808630394,0.04937632114064466,0.5675675675675675,0.6933244519302387,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
25,01,rh-superiorfrontal,0.5947467166979362,0.0632613406117981,0.5555555555555556,0.7032471513850573,None + Linear-SVM,conscious,conscious,False,Image,False,15,20,21,11
26,01,rh-superiorfrontal,0.524390243902439,0.1482611624338968,0.6027397260273972,0.69048897674694,None + Linear-SVM,conscious,conscious,False,Image,False,16,22,19,10
27,01,rh-superiorfrontal,0.6060037523452158,0.11063953440774082,0.5945945945945946,0.6778680322282181,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
28,01,rh-superiorfrontal,0.5590994371482176,0.08694327426679134,0.5753424657534246,0.6932228603023564,None + Linear-SVM,conscious,conscious,False,Image,False,15,21,20,11
29,01,rh-superiorfrontal,0.6275797373358349,0.2809640547358415,0.6842105263157895,0.6681700572456031,None + Linear-SVM,conscious,conscious,False,Image,False,17,26,15,9
30,01,rh-superiorfrontal,0.547842401500938,0.08694327426679134,0.5753424657534246,0.6895859296200503,None + Linear-SVM,conscious,conscious,False,Image,False,15,21,20,11
31,01,rh-superiorfrontal,0.5750469043151969,0.02562538609968587,0.547945205479452,0.6826652133344621,None + Linear-SVM,conscious,conscious,False,Image,False,14,20,21,12
32,01,rh-superiorfrontal,0.4540337711069418,-0.12102169508343985,0.4722222222222222,0.688961928646321,None + Linear-SVM,conscious,conscious,False,Image,False,12,17,24,14
33,01,rh-superiorfrontal,0.4136960600375234,-0.15832827840163055,0.4657534246575343,0.7013945448791118,None + Linear-SVM,conscious,conscious,False,Image,False,11,17,24,15
34,01,rh-superiorfrontal,0.5422138836772983,0.04937632114064466,0.5675675675675675,0.6937311128469215,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
35,01,rh-superiorfrontal,0.6716697936210131,0.4649177192371579,0.7631578947368421,0.68231143161175,None + Linear-SVM,conscious,conscious,False,Image,False,20,29,12,6
36,01,rh-superiorfrontal,0.4577861163227017,-0.13441331866064382,0.48648648648648646,0.6922050569951845,None + Linear-SVM,conscious,conscious,False,Image,False,11,18,23,15
37,01,rh-superiorfrontal,0.4634146341463415,-0.10794846275973873,0.4571428571428572,0.6912170082714953,None + Linear-SVM,conscious,conscious,False,Image,False,13,16,25,13
38,01,rh-superiorfrontal,0.6181988742964352,0.13441331866064382,0.6133333333333334,0.672505631642259,None + Linear-SVM,conscious,conscious,False,Image,False,15,23,18,11
39,01,rh-superiorfrontal,0.6388367729831144,0.13441331866064382,0.6133333333333334,0.6660708717735979,None + Linear-SVM,conscious,conscious,False,Image,False,15,23,18,11
40,01,rh-superiorfrontal,0.39305816135084426,-0.07315010539354766,0.5135135135135135,0.7042712487696641,None + Linear-SVM,conscious,conscious,False,Image,False,12,19,22,14
41,01,rh-superiorfrontal,0.49624765478424016,0.11063953440774082,0.5945945945945946,0.6901166555607424,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
42,01,rh-superiorfrontal,0.622889305816135,0.18244937364851918,0.6493506493506495,0.6769460267184547,None + Linear-SVM,conscious,conscious,False,Image,False,15,25,16,11
43,01,rh-superiorfrontal,0.5459662288930581,0.13441331866064382,0.6133333333333334,0.6897565044077899,None + Linear-SVM,conscious,conscious,False,Image,False,15,23,18,11
44,01,rh-superiorfrontal,0.5356472795497186,-0.011886892126451493,0.5405405405405406,0.6971560580825789,None + Linear-SVM,conscious,conscious,False,Image,False,13,20,21,13
45,01,rh-superiorfrontal,0.5797373358348968,0.11063953440774082,0.5945945945945946,0.68792553247052,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
46,01,rh-superiorfrontal,0.5806754221388368,0.11063953440774082,0.5945945945945946,0.6812920199771385,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
47,01,rh-superiorfrontal,0.5825515947467168,0.171902747674837,0.6216216216216217,0.6797356514319262,None + Linear-SVM,conscious,conscious,False,Image,False,16,23,18,10
48,01,rh-superiorfrontal,0.572232645403377,0.171902747674837,0.6216216216216217,0.6918718558778674,None + Linear-SVM,conscious,conscious,False,Image,False,16,23,18,10
49,01,rh-superiorfrontal,0.4718574108818011,-0.035692502067419606,0.5205479452054794,0.6922050124195787,None + Linear-SVM,conscious,conscious,False,Image,False,13,19,22,13
50,01,rh-superiorfrontal,0.5553470919324579,0.23316596094193315,0.6486486486486487,0.6825506068028792,None + Linear-SVM,conscious,conscious,False,Image,False,17,24,17,9
51,01,rh-superiorfrontal,0.547842401500938,0.04937632114064466,0.5675675675675675,0.6828425830486676,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
52,01,rh-superiorfrontal,0.702626641651032,0.25693974519483614,0.6666666666666666,0.6591041378637298,None + Linear-SVM,conscious,conscious,False,Image,False,17,25,16,9
53,01,rh-superiorfrontal,0.50375234521576,0.11063953440774082,0.5945945945945946,0.6938807171723032,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
54,01,rh-superiorfrontal,0.5656660412757973,0.11063953440774082,0.5945945945945946,0.6688139811443665,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
55,01,rh-superiorfrontal,0.6163227016885554,0.21964616656873603,0.6578947368421052,0.6731595676066054,None + Linear-SVM,conscious,conscious,False,Image,False,16,25,16,10
56,01,rh-superiorfrontal,0.6332082551594748,0.19567653192773998,0.64,0.6725543007288387,None + Linear-SVM,conscious,conscious,False,Image,False,16,24,17,10
57,01,rh-superiorfrontal,0.49530956848030017,0.011886892126451493,0.56,0.705390602621924,None + Linear-SVM,conscious,conscious,False,Image,False,13,21,20,13
58,01,rh-superiorfrontal,0.6125703564727956,0.2944291742090293,0.6756756756756757,0.6701138448976977,None + Linear-SVM,conscious,conscious,False,Image,False,18,25,16,8
59,01,rh-superiorfrontal,0.41557223264540344,-0.1697651038272814,0.42857142857142855,0.70744701164184,None + Linear-SVM,conscious,conscious,False,Image,False,12,15,26,14
60,01,rh-superiorfrontal,0.5056285178236398,-0.011886892126451493,0.5405405405405406,0.6898989421214574,None + Linear-SVM,conscious,conscious,False,Image,False,13,20,21,13
61,01,rh-superiorfrontal,0.5562851782363978,0.04937632114064466,0.5675675675675675,0.6823530851905838,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
62,01,rh-superiorfrontal,0.5431519699812382,0.11063953440774082,0.5945945945945946,0.6905031436674148,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
63,01,rh-superiorfrontal,0.6697936210131332,0.2809640547358415,0.6842105263157895,0.6853687257416899,None + Linear-SVM,conscious,conscious,False,Image,False,17,26,15,9
64,01,rh-superiorfrontal,0.6360225140712946,0.19567653192773998,0.64,0.6667129991436496,None + Linear-SVM,conscious,conscious,False,Image,False,16,24,17,10
65,01,rh-superiorfrontal,0.601313320825516,0.08694327426679134,0.5753424657534246,0.6805403790822229,None + Linear-SVM,conscious,conscious,False,Image,False,15,21,20,11
66,01,rh-superiorfrontal,0.5309568480300187,0.07315010539354766,0.5866666666666668,0.7088044645716358,None + Linear-SVM,conscious,conscious,False,Image,False,14,22,19,12
67,01,rh-superiorfrontal,0.6050656660412758,0.13441331866064382,0.6133333333333334,0.6836754479692534,None + Linear-SVM,conscious,conscious,False,Image,False,15,23,18,11
68,01,rh-superiorfrontal,0.49718574108818014,0.04937632114064466,0.5675675675675675,0.7126002549890431,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
69,01,rh-superiorfrontal,0.4859287054409005,0.04937632114064466,0.5675675675675675,0.7022226405181771,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
70,01,rh-superiorfrontal,0.622889305816135,0.10112361660730856,0.5633802816901409,0.6783894851795127,None + Linear-SVM,conscious,conscious,False,Image,False,16,20,21,10
71,01,rh-superiorfrontal,0.6163227016885553,0.24387705221359848,0.6753246753246753,0.6733227583331736,None + Linear-SVM,conscious,conscious,False,Image,False,16,26,15,10
72,01,rh-superiorfrontal,0.5,-0.035692502067419606,0.5205479452054794,0.7117072801404952,None + Linear-SVM,conscious,conscious,False,Image,False,13,19,22,13
73,01,rh-superiorfrontal,0.5131332082551594,0.011886892126451493,0.56,0.6973648925110442,None + Linear-SVM,conscious,conscious,False,Image,False,13,21,20,13
74,01,rh-superiorfrontal,0.348030018761726,-0.24387705221359848,0.4166666666666667,0.6984347975381027,None + Linear-SVM,conscious,conscious,False,Image,False,10,15,26,16
75,01,rh-superiorfrontal,0.46904315196998125,-0.035692502067419606,0.5205479452054794,0.7021912029173734,None + Linear-SVM,conscious,conscious,False,Image,False,13,19,22,13
76,01,rh-superiorfrontal,0.4061913696060037,-0.07315010539354766,0.5135135135135135,0.6965097342518011,None + Linear-SVM,conscious,conscious,False,Image,False,12,19,22,14
77,01,rh-superiorfrontal,0.5590994371482176,0.19567653192773998,0.64,0.6752996827827141,None + Linear-SVM,conscious,conscious,False,Image,False,16,24,17,10
78,01,rh-superiorfrontal,0.551594746716698,0.11063953440774082,0.5945945945945946,0.7290659246577482,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
79,01,rh-superiorfrontal,0.5309568480300187,0.07315010539354766,0.5866666666666668,0.6824038543994151,None + Linear-SVM,conscious,conscious,False,Image,False,14,22,19,12
80,01,rh-superiorfrontal,0.5,0.059594016518360535,0.5974025974025975,0.6885488281536826,None + Linear-SVM,conscious,conscious,False,Image,False,13,23,18,13
81,01,rh-superiorfrontal,0.5403377110694184,-0.011886892126451493,0.5405405405405406,0.6877463914683339,None + Linear-SVM,conscious,conscious,False,Image,False,13,20,21,13
82,01,rh-superiorfrontal,0.4953095684803002,0.02562538609968587,0.547945205479452,0.6927994159370484,None + Linear-SVM,conscious,conscious,False,Image,False,14,20,21,12
83,01,rh-superiorfrontal,0.3968105065666041,-0.18244937364851918,0.4444444444444444,0.6980283924406584,None + Linear-SVM,conscious,conscious,False,Image,False,11,16,25,15
84,01,rh-superiorfrontal,0.5581613508442776,0.19567653192773998,0.64,0.692492749083343,None + Linear-SVM,conscious,conscious,False,Image,False,16,24,17,10
85,01,rh-superiorfrontal,0.5581613508442776,-0.035692502067419606,0.5205479452054794,0.6898771366175542,None + Linear-SVM,conscious,conscious,False,Image,False,13,19,22,13
86,01,rh-superiorfrontal,0.572232645403377,0.11063953440774082,0.5945945945945946,0.6879871033225556,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
87,01,rh-superiorfrontal,0.5309568480300189,0.11063953440774082,0.5945945945945946,0.6941954913149657,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
88,01,rh-superiorfrontal,0.4915572232645403,0.11063953440774082,0.5945945945945946,0.6948829809595305,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
89,01,rh-superiorfrontal,0.5337711069418386,-0.035692502067419606,0.5205479452054794,0.6915400493826477,None + Linear-SVM,conscious,conscious,False,Image,False,13,19,22,13
90,01,rh-superiorfrontal,0.4671669793621013,0.04937632114064466,0.5675675675675675,0.7086926852588532,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
91,01,rh-superiorfrontal,0.625703564727955,0.13441331866064382,0.6133333333333334,0.6689830461746721,None + Linear-SVM,conscious,conscious,False,Image,False,15,23,18,11
92,01,rh-superiorfrontal,0.5140712945590995,0.011886892126451493,0.56,0.6883118779791448,None + Linear-SVM,conscious,conscious,False,Image,False,13,21,20,13
93,01,rh-superiorfrontal,0.576923076923077,0.04937632114064466,0.5675675675675675,0.6852657907765588,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
94,01,rh-superiorfrontal,0.5056285178236397,0.02562538609968587,0.547945205479452,0.6909852179218235,None + Linear-SVM,conscious,conscious,False,Image,False,14,20,21,12
95,01,rh-superiorfrontal,0.4924953095684803,-0.20684376124222206,0.4225352112676056,0.6838236237875289,None + Linear-SVM,conscious,conscious,False,Image,False,11,15,26,15
96,01,rh-superiorfrontal,0.39305816135084426,-0.15832827840163055,0.4657534246575343,0.72214821931269,None + Linear-SVM,conscious,conscious,False,Image,False,11,17,24,15
97,01,rh-superiorfrontal,0.6463414634146342,0.19567653192773998,0.64,0.6719529361428737,None + Linear-SVM,conscious,conscious,False,Image,False,16,24,17,10
