fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-ventrolateralPFC,0.6688555347091931,0.2809640547358415,0.6842105263157895,0.6792418310124126,None + Linear-SVM,conscious,conscious,False,Image,False,17,26,15,9
2,01,rh-ventrolateralPFC,0.42120075046904315,-0.21964616656873603,0.4383561643835617,0.6923171765868518,None + Linear-SVM,conscious,conscious,False,Image,False,10,16,25,16
3,01,rh-ventrolateralPFC,0.42870544090056284,-0.20684376124222206,0.4225352112676056,0.6989708205354717,None + Linear-SVM,conscious,conscious,False,Image,False,11,15,26,15
4,01,rh-ventrolateralPFC,0.6378986866791745,0.171902747674837,0.6216216216216217,0.6743621764918005,None + Linear-SVM,conscious,conscious,False,Image,False,16,23,18,10
5,01,rh-ventrolateralPFC,0.5290806754221388,0.0018336620467187855,0.5277777777777778,0.691154580004124,None + Linear-SVM,conscious,conscious,False,Image,False,14,19,22,12
6,01,rh-ventrolateralPFC,0.6622889305816134,0.25693974519483614,0.6666666666666666,0.65202092370976,None + Linear-SVM,conscious,conscious,False,Image,False,17,25,16,9
7,01,rh-ventrolateralPFC,0.6622889305816134,0.25693974519483614,0.6666666666666666,0.6843066621251407,None + Linear-SVM,conscious,conscious,False,Image,False,17,25,16,9
8,01,rh-ventrolateralPFC,0.6322701688555346,0.25693974519483614,0.6666666666666666,0.6768860595716053,None + Linear-SVM,conscious,conscious,False,Image,False,17,25,16,9
9,01,rh-ventrolateralPFC,0.5647279549718575,0.11063953440774082,0.5945945945945946,0.6882555868551125,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
10,01,rh-ventrolateralPFC,0.5975609756097561,0.19567653192773998,0.64,0.6701585689258115,None + Linear-SVM,conscious,conscious,False,Image,False,16,24,17,10
11,01,rh-ventrolateralPFC,0.6153846153846154,0.13441331866064382,0.6133333333333334,0.6756723367311464,None + Linear-SVM,conscious,conscious,False,Image,False,15,23,18,11
12,01,rh-ventrolateralPFC,0.5928705440900564,0.13441331866064382,0.6133333333333334,0.6674455188598597,None + Linear-SVM,conscious,conscious,False,Image,False,15,23,18,11
13,01,rh-ventrolateralPFC,0.6332082551594747,0.19567653192773998,0.64,0.6667513591214996,None + Linear-SVM,conscious,conscious,False,Image,False,16,24,17,10
14,01,rh-ventrolateralPFC,0.649155722326454,0.2809640547358415,0.6842105263157895,0.6785111698310649,None + Linear-SVM,conscious,conscious,False,Image,False,17,26,15,9
15,01,rh-ventrolateralPFC,0.5206378986866792,0.11063953440774082,0.5945945945945946,0.7137322777735495,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
16,01,rh-ventrolateralPFC,0.5787992495309568,0.04937632114064466,0.5675675675675675,0.6809339680421691,None + Linear-SVM,conscious,conscious,False,Image,False,14,21,20,12
17,01,rh-ventrolateralPFC,0.648217636022514,0.09701039023452508,0.605263157894737,0.6668780131598563,None + Linear-SVM,conscious,conscious,False,Image,False,14,23,18,12
18,01,rh-ventrolateralPFC,0.6275797373358349,0.19567653192773998,0.64,0.6685989393143152,None + Linear-SVM,conscious,conscious,False,Image,False,16,24,17,10
19,01,rh-ventrolateralPFC,0.5478424015009381,-0.011886892126451493,0.5405405405405406,0.6883402752246447,None + Linear-SVM,conscious,conscious,False,Image,False,13,20,21,13
20,01,rh-ventrolateralPFC,0.4849906191369605,0.0018336620467187855,0.5277777777777778,0.7102988544368709,None + Linear-SVM,conscious,conscious,False,Image,False,14,19,22,12
21,01,rh-ventrolateralPFC,0.6144465290806753,0.25693974519483614,0.6666666666666666,0.6658771214178867,None + Linear-SVM,conscious,conscious,False,Image,False,17,25,16,9
22,01,rh-ventrolateralPFC,0.6285178236397748,0.11063953440774082,0.5945945945945946,0.680689707707457,None + Linear-SVM,conscious,conscious,False,Image,False,15,22,19,11
23,01,rh-ventrolateralPFC,0.5947467166979361,0.09701039023452508,0.605263157894737,0.6807739909602156,None + Linear-SVM,conscious,conscious,False,Image,False,14,23,18,12
