fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-06,lh-inferiorparietal,0.15625,-0.5976143046671968,0.0,0.6965285720295656,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,4,5
2,sub-06,lh-inferiorparietal,0.6124999999999999,0.125,0.5555555555555556,0.6918699887141229,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,5,3
3,sub-06,lh-inferiorparietal,0.484375,-0.1259881576697424,0.39999999999999997,0.6966544101734842,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
4,sub-06,lh-inferiorparietal,0.3392857142857143,-0.21821789023599236,0.30769230769230765,0.7132779612469611,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,5,4
5,sub-06,lh-inferiorparietal,0.78125,0.6324555320336759,0.6666666666666666,0.6643164555455512,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,8,2,2,0
6,sub-06,lh-inferiorparietal,0.1875,-0.5,0.25,0.7236746338656721,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,6,6
7,sub-06,lh-inferiorparietal,0.3214285714285714,-0.3392857142857143,0.2857142857142857,0.7084852658958756,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,5,5
8,sub-06,lh-inferiorparietal,0.41666666666666663,-0.14907119849998599,0.25,0.67239665192801,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,2,4
9,sub-06,lh-inferiorparietal,0.575,-0.09759000729485333,0.3636363636363636,0.6776052657880741,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,4
10,sub-06,lh-inferiorparietal,0.4375,-0.1,0.4444444444444445,0.7090530131088433,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,6,4
11,sub-06,lh-inferiorparietal,0.575,0.025,0.4000000000000001,0.6818231152666517,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
12,sub-06,lh-inferiorparietal,0.48214285714285715,-0.07142857142857142,0.42857142857142855,0.6938821468703321,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
13,sub-06,lh-inferiorparietal,0.40909090909090906,-0.2326210525996177,0.33333333333333326,0.7088718531221688,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,8,4
14,sub-06,lh-inferiorparietal,0.42857142857142855,-0.07142857142857142,0.42857142857142855,0.6972720640744198,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
