fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-06,lh-precuneus,0.3833333333333333,-0.09759000729485331,0.47058823529411764,0.6841230694297509,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,6,3
2,sub-06,lh-precuneus,0.24999999999999997,-0.408248290463863,0.22222222222222224,0.7544368086470501,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,4
3,sub-06,lh-precuneus,0.4666666666666667,-0.1,0.4000000000000001,0.7238425967409733,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,3
4,sub-06,lh-precuneus,0.3,-0.3578300267477955,0.3529411764705882,0.7064234602456352,None + Linear-SVM,conscious,conscious,False,Image,False,2,3,7,4
5,sub-06,lh-precuneus,0.3333333333333333,-0.4444444444444444,0.26666666666666666,0.6951223115982185,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,7,4
6,sub-06,lh-precuneus,0.4444444444444445,-0.1690308509457033,0.3636363636363636,0.7079965806704712,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,4,3
7,sub-06,lh-precuneus,0.2666666666666666,-0.4666666666666667,0.20000000000000004,0.7419830882844746,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,4,4
8,sub-06,lh-precuneus,0.40909090909090906,-0.22727272727272727,0.3529411764705882,0.6706995559633375,None + Linear-SVM,conscious,conscious,False,Image,False,3,3,8,3
9,sub-06,lh-precuneus,0.38095238095238093,-0.21957751641341997,0.3333333333333333,0.7081818533742612,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,5,3
10,sub-06,lh-precuneus,0.23809523809523805,-0.5367450401216932,0.16666666666666666,0.7286425484892521,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,6,4
11,sub-06,lh-precuneus,0.4666666666666667,-0.26666666666666666,0.3636363636363636,0.7217741408184135,None + Linear-SVM,conscious,conscious,False,Image,False,2,2,3,4
12,sub-06,lh-precuneus,0.375,-0.408248290463863,0.22222222222222224,0.756463487279641,None + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,4
13,sub-06,lh-precuneus,0.3333333333333333,-0.15811388300841897,0.28571428571428575,0.7718065251037829,None + Linear-SVM,conscious,conscious,False,Image,False,3,1,2,3
14,sub-06,lh-precuneus,0.5,-0.21957751641341997,0.3333333333333333,0.6911611039960224,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,5,3
15,sub-06,lh-precuneus,0.3888888888888889,-0.15811388300841897,0.28571428571428575,0.7746004458577017,None + Linear-SVM,conscious,conscious,False,Image,False,3,1,2,3
16,sub-06,lh-precuneus,0.3472222222222222,-0.16116459280507606,0.4210526315789474,0.6750476227543273,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,8,3
17,sub-06,lh-precuneus,0.3,-0.3133397807202561,0.26666666666666666,0.6863796365768559,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,8,3
18,sub-06,lh-precuneus,0.16666666666666663,-0.47140452079103173,0.0,0.8467748969034187,None + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,4
19,sub-06,lh-precuneus,0.5,-0.2182178902359924,0.0,0.7965559085773376,None + Linear-SVM,conscious,conscious,False,Image,False,5,0,2,1
20,sub-06,lh-precuneus,0.3717948717948718,-0.2692307692307692,0.3157894736842105,0.6579464628601512,None + Linear-SVM,conscious,conscious,False,Image,False,3,3,10,3
21,sub-06,lh-precuneus,0.4722222222222222,-0.16116459280507606,0.4210526315789474,0.6565157614469723,None + Linear-SVM,conscious,conscious,False,Image,False,3,4,8,3
22,sub-06,lh-precuneus,0.41666666666666663,-0.125,0.42857142857142855,0.6853504848948402,None + Linear-SVM,conscious,conscious,False,Image,False,3,3,5,3
23,sub-06,lh-precuneus,0.5,-0.07905694150420949,0.5,0.6471821030528313,None + Linear-SVM,conscious,conscious,False,Image,False,3,5,7,3
24,sub-06,lh-precuneus,0.16666666666666663,-0.47140452079103173,0.0,0.8438174057978445,None + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,4
25,sub-06,lh-precuneus,0.33333333333333337,-0.28867513459481287,0.2857142857142857,0.6906950408517297,None + Linear-SVM,conscious,conscious,False,Image,False,3,2,7,3
