fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-06,rh-inferiorparietal,0.0,-0.7745966692414834,0.0,0.8173275173638783,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,4,3
2,sub-06,rh-inferiorparietal,0.625,0.0,0.3333333333333333,0.6816940434230894,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
3,sub-06,rh-inferiorparietal,0.35,-0.1,0.4444444444444445,0.7234069329448755,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
4,sub-06,rh-inferiorparietal,0.25,-0.4082482904638631,0.0,0.7826448527063719,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,2
5,sub-06,rh-inferiorparietal,0.4,-0.1,0.4444444444444445,0.791589162761563,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
6,sub-06,rh-inferiorparietal,0.25,-0.2581988897471611,0.28571428571428575,0.7850116820358374,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
7,sub-06,rh-inferiorparietal,0.20833333333333331,-0.3563483225498992,0.2222222222222222,0.7487509723065014,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,5,2
8,sub-06,rh-inferiorparietal,0.1875,-0.2581988897471611,0.28571428571428575,0.7427048808022109,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
9,sub-06,rh-inferiorparietal,0.15000000000000002,-0.31622776601683794,0.25,0.7573480285091607,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
10,sub-06,rh-inferiorparietal,0.75,-0.25,0.0,0.7457148712083786,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
11,sub-06,rh-inferiorparietal,0.14285714285714285,-0.38575837490522974,0.2,0.7331799241104452,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,6,2
12,sub-06,rh-inferiorparietal,0.08333333333333333,-0.5833333333333334,0.2,0.8228271626490606,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,5,3
13,sub-06,rh-inferiorparietal,0.0,-0.75,0.0,0.7954387726172799,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,3,3
14,sub-06,rh-inferiorparietal,0.1875,-0.5,0.25,0.7267955523848094,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,3,3
15,sub-06,rh-inferiorparietal,0.4,-0.35,0.4000000000000001,0.7565041271159928,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,3,3
16,sub-06,rh-inferiorparietal,0.0,-0.7071067811865476,0.0,0.8387975814507738,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,3
17,sub-06,rh-inferiorparietal,0.0,-0.7745966692414834,0.0,0.8214639571138713,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,4,3
18,sub-06,rh-inferiorparietal,0.15000000000000002,-0.55,0.22222222222222224,0.7679973509105514,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,4,3
19,sub-06,rh-inferiorparietal,0.1,-0.55,0.22222222222222224,0.7666969422899761,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,4,3
20,sub-06,rh-inferiorparietal,0.0,-0.7071067811865476,0.0,0.8061471700659356,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,3
