fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-06,rh-inferiortemporal,0.5833333333333333,0.16265001215808886,0.588235294117647,0.653695550686338,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,5,5,2
2,sub-06,rh-inferiortemporal,0.625,0.16666666666666666,0.5,0.7301155528093745,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,2,2
3,sub-06,rh-inferiortemporal,0.3666666666666667,-0.1,0.4000000000000001,0.7488445341736155,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,2,3,3
4,sub-06,rh-inferiortemporal,0.5,0.0,0.5555555555555556,0.6692254731540612,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,5,5,3
5,sub-06,rh-inferiortemporal,0.31481481481481477,-0.4444444444444444,0.26666666666666666,0.7169643343925589,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,2,7,4
6,sub-06,rh-inferiortemporal,0.6666666666666667,0.1690308509457033,0.5454545454545454,0.6858811834532011,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,3,3,2
7,sub-06,rh-inferiortemporal,0.5666666666666667,0.06900655593423542,0.4444444444444445,0.7170205454897677,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,3,2
8,sub-06,rh-inferiortemporal,0.6363636363636364,0.3825184261187248,0.761904761904762,0.6443646765834111,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,8,3,2
9,sub-06,rh-inferiortemporal,0.7619047619047619,0.23809523809523808,0.6153846153846153,0.6508573657068647,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,3,2
10,sub-06,rh-inferiortemporal,0.5238095238095238,0.23809523809523808,0.6153846153846153,0.7098407053939153,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,3,2
11,sub-06,rh-inferiortemporal,0.7666666666666666,0.4485426135725303,0.6666666666666665,0.6802679472875565,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,3,2,1
12,sub-06,rh-inferiortemporal,0.5416666666666666,-0.0890870806374748,0.28571428571428575,0.7233647641644332,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,3,2
13,sub-06,rh-inferiortemporal,0.4444444444444445,-0.15811388300841897,0.28571428571428575,0.7807473742162508,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,1,2,3
14,sub-06,rh-inferiortemporal,0.6904761904761905,0.23809523809523808,0.6153846153846153,0.6255058345958326,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,3,2
15,sub-06,rh-inferiortemporal,0.6111111111111112,0.0,0.3333333333333333,0.7123553201454059,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,2,2
16,sub-06,rh-inferiortemporal,0.5416666666666666,0.07905694150420949,0.6363636363636365,0.662726692576669,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,7,5,3
17,sub-06,rh-inferiortemporal,0.5166666666666666,0.0,0.5555555555555556,0.6718966262527222,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,5,5,3
18,sub-06,rh-inferiortemporal,0.8333333333333334,-0.16666666666666666,0.0,0.8086174171401055,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,1,1
19,sub-06,rh-inferiortemporal,0.33333333333333337,-0.4472135954999579,0.0,0.8107424212292502,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,0,2,3
20,sub-06,rh-inferiortemporal,0.47435897435897434,0.1207011373963169,0.5714285714285714,0.673436827139707,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,6,7,2
21,sub-06,rh-inferiortemporal,0.45833333333333337,-0.07905694150420949,0.5,0.6669504919619745,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,5,7,3
22,sub-06,rh-inferiortemporal,0.5208333333333334,-0.125,0.42857142857142855,0.6828533444057737,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,3,5,3
23,sub-06,rh-inferiortemporal,0.6111111111111112,0.2357022603955158,0.6666666666666666,0.6701258977432648,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,7,5,2
24,sub-06,rh-inferiortemporal,0.6666666666666667,-0.2581988897471611,0.0,0.8295199220721555,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,0,1,2
25,sub-06,rh-inferiortemporal,0.6296296296296298,0.32732683535398854,0.7058823529411765,0.6492188768570591,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,6,3,2
26,sub-06,rh-inferiortemporal,0.4523809523809524,-0.07142857142857142,0.4615384615384615,0.7181848814313181,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,3,4,3
27,sub-06,rh-inferiortemporal,0.5,-0.0890870806374748,0.28571428571428575,0.7349161393650462,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,3,2
28,sub-06,rh-inferiortemporal,0.6388888888888888,0.3333333333333333,0.6666666666666666,0.6898705080848555,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,2,2
29,sub-06,rh-inferiortemporal,0.39285714285714285,-0.0657951694959769,0.5217391304347826,0.7072148407181598,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,6,8,3
30,sub-06,rh-inferiortemporal,0.6666666666666667,0.14907119849998599,0.4,0.7632127833818128,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,1,2
31,sub-06,rh-inferiortemporal,0.41666666666666674,0.0,0.5,0.7204195077679368,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,3,3,3
32,sub-06,rh-inferiortemporal,0.5,-0.2182178902359924,0.0,0.7727226700854354,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,0,2,1
33,sub-06,rh-inferiortemporal,0.5833333333333334,-0.0890870806374748,0.28571428571428575,0.7108768053841924,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,3,2
34,sub-06,rh-inferiortemporal,0.5138888888888888,-0.16116459280507606,0.4210526315789474,0.6961728906054316,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,4,8,3
35,sub-06,rh-inferiortemporal,0.6458333333333334,0.16666666666666666,0.5714285714285715,0.6574919985912866,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,4,2
36,sub-06,rh-inferiortemporal,0.0,-0.6454972243679028,0.0,0.836048739904882,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,5
37,sub-06,rh-inferiortemporal,0.6666666666666667,0.34426518632954817,0.6153846153846154,0.6468923247544006,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,5,4,4,1
38,sub-06,rh-inferiortemporal,0.6904761904761904,0.38095238095238093,0.7142857142857143,0.6564220956879233,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,5,2,2
39,sub-06,rh-inferiortemporal,0.5476190476190477,-0.05143444998736397,0.36363636363636365,0.6768150149344664,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,5,2
40,sub-06,rh-inferiortemporal,0.5555555555555556,0.0,0.3333333333333333,0.723369378861848,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,2,2
41,sub-06,rh-inferiortemporal,0.375,-0.25,0.25,0.7628083158746717,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,1,3,3
42,sub-06,rh-inferiortemporal,0.4393939393939394,-0.04351941398892446,0.5263157894736842,0.6822358195110881,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,5,6,3
43,sub-06,rh-inferiortemporal,0.6333333333333333,0.06900655593423542,0.4444444444444445,0.6815186992812056,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,2,3,2
44,sub-06,rh-inferiortemporal,0.4444444444444444,0.0,0.5,0.717516490227676,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,3,3,3
45,sub-06,rh-inferiortemporal,0.5303030303030303,-0.3038948705590345,0.14285714285714288,0.6848160909781909,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,1,10,2
46,sub-06,rh-inferiortemporal,0.5,0.16666666666666666,0.5714285714285715,0.6933796038393568,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,4,2
47,sub-06,rh-inferiortemporal,0.5555555555555556,0.1111111111111111,0.5333333333333333,0.6546233363871565,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,4,5,2
48,sub-06,rh-inferiortemporal,0.40476190476190477,-0.21957751641341997,0.3333333333333333,0.7091704171054746,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,3,2,5,3
49,sub-06,rh-inferiortemporal,0.8200000000000001,0.472455591261534,0.7777777777777777,0.6279161719834625,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,7,3,1
50,sub-06,rh-inferiortemporal,0.9,0.55,0.75,0.6541838216818119,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,3,1,1
51,sub-06,rh-inferiortemporal,0.32,-0.2,0.4000000000000001,0.7312154858412947,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,2,2,3,3
52,sub-06,rh-inferiortemporal,0.72,0.37796447300922725,0.7058823529411764,0.6245538130905802,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,4,6,4,1
