fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-06,rh-pericalcarine,0.40625,-0.125,0.25,0.6814590570376778,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,3,3
2,sub-06,rh-pericalcarine,0.6875,0.35,0.6666666666666665,0.6932630922207996,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,6,4,2
3,sub-06,rh-pericalcarine,0.5,-0.13483997249264842,0.3076923076923077,0.6927914074881888,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,6,3
4,sub-06,rh-pericalcarine,0.6964285714285714,0.32732683535398854,0.6153846153846153,0.6845459088754412,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,4,3,2
5,sub-06,rh-pericalcarine,0.75,0.25,0.5,0.6682266444460508,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,2,2
6,sub-06,rh-pericalcarine,0.546875,0.1259881576697424,0.5333333333333333,0.6921432574218577,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,4,3
7,sub-06,rh-pericalcarine,0.2857142857142857,-0.3392857142857143,0.2857142857142857,0.7044300716705774,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,5,5
8,sub-06,rh-pericalcarine,0.375,-0.38575837490522974,0.2,0.6741974121094539,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,2,6
9,sub-06,rh-pericalcarine,0.7,0.35,0.6,0.6731277191883266,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,2,2
10,sub-06,rh-pericalcarine,0.46249999999999997,0.1,0.6,0.7092117570897221,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,6,4,4
11,sub-06,rh-pericalcarine,0.325,-0.3,0.20000000000000004,0.6928670518155206,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,4,4
12,sub-06,rh-pericalcarine,0.5892857142857143,0.19642857142857142,0.5714285714285714,0.6926171335165677,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,3,3
13,sub-06,rh-pericalcarine,0.6477272727272727,0.20935894733965593,0.5555555555555556,0.6990827218710203,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,5,6,2
14,sub-06,rh-pericalcarine,0.375,-0.21821789023599236,0.30769230769230765,0.7003413570074954,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,5,4
15,sub-06,rh-pericalcarine,0.625,0.125,0.5555555555555556,0.6961720481793976,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,5,3
16,sub-06,rh-pericalcarine,0.3333333333333333,-0.38575837490522974,0.2,0.6715552570228284,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,2,6
17,sub-06,rh-pericalcarine,0.25,-0.47809144373375745,0.18181818181818182,0.6862575820187389,None + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,6
18,sub-06,rh-pericalcarine,0.3333333333333333,-0.16666666666666666,0.4,0.7308333372359361,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,8,4
19,sub-06,rh-pericalcarine,0.5568181818181819,0.1685499656158105,0.6,0.7045710457899582,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,5,3
20,sub-06,rh-pericalcarine,0.75,0.38575837490522974,0.5714285714285715,0.6619478024041914,None + Linear-SVM,unconscious,unconscious,False,Image,False,6,2,1,2
21,sub-06,rh-pericalcarine,0.525,0.025,0.4000000000000001,0.68252613226814,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
22,sub-06,rh-pericalcarine,0.6666666666666666,0.125,0.5,0.6791398495244849,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,3,3
23,sub-06,rh-pericalcarine,0.55,0.025,0.4000000000000001,0.678567319367179,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
24,sub-06,rh-pericalcarine,0.38636363636363635,-0.044946657497549475,0.5,0.7162569808340402,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,6,4
25,sub-06,rh-pericalcarine,0.625,0.11952286093343936,0.4444444444444445,0.6725481257170358,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,2,3
26,sub-06,rh-pericalcarine,0.5416666666666666,0.18055555555555555,0.5882352941176471,0.6963288442568258,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,4,3
27,sub-06,rh-pericalcarine,0.29166666666666663,-0.2916666666666667,0.35294117647058826,0.7187283518491527,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,6,5
28,sub-06,rh-pericalcarine,0.44999999999999996,0.125,0.5555555555555556,0.7098825542724282,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,5,3
29,sub-06,rh-pericalcarine,0.3333333333333333,-0.2608745973749754,0.2222222222222222,0.6756150485546488,None + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,2,5
30,sub-06,rh-pericalcarine,0.65,0.22360679774997896,0.631578947368421,0.6961123670418599,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,4,3
31,sub-06,rh-pericalcarine,0.4583333333333333,-0.05555555555555555,0.47058823529411764,0.7034807088352499,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,5,4
32,sub-06,rh-pericalcarine,0.4861111111111111,0.18055555555555555,0.5882352941176471,0.7061992948502793,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,4,3
33,sub-06,rh-pericalcarine,0.5113636363636364,0.07954545454545454,0.5263157894736842,0.7093628756788386,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,6,3
34,sub-06,rh-pericalcarine,0.575,0.21957751641341997,0.5454545454545454,0.6815630381612692,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,2,3
35,sub-06,rh-pericalcarine,0.39285714285714285,0.05455447255899809,0.4615384615384615,0.7067252762189126,None + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,4,3
36,sub-06,rh-pericalcarine,0.4326923076923077,-0.03739787960033829,0.5217391304347826,0.7148839468872998,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,6,7,4
37,sub-06,rh-pericalcarine,0.46875,-0.1259881576697424,0.39999999999999997,0.6960537389335615,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
38,sub-06,rh-pericalcarine,0.3571428571428571,-0.21821789023599236,0.30769230769230765,0.7045428977615242,None + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,5,4
