fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-06,rh-precuneus,0.5,0.3779644730092272,0.4,0.7445526804073794,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,0
2,sub-06,rh-precuneus,0.6875,0.2581988897471611,0.5714285714285715,0.639447137829502,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,2,1
3,sub-06,rh-precuneus,0.8,0.35,0.6666666666666665,0.6113085100703008,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
4,sub-06,rh-precuneus,0.75,-0.25,0.0,0.5978809104990729,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
5,sub-06,rh-precuneus,0.85,0.55,0.8000000000000002,0.6161581069604155,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,1,1
6,sub-06,rh-precuneus,0.8125,0.5,0.75,0.6560403556601959,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,1,1
7,sub-06,rh-precuneus,0.8333333333333333,0.408248290463863,0.7272727272727272,0.6190337978464091,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,1
8,sub-06,rh-precuneus,0.75,0.2581988897471611,0.5714285714285715,0.6560664028269142,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,2,1
9,sub-06,rh-precuneus,0.8,0.6324555320336759,0.7499999999999999,0.6228650483351799,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,0
10,sub-06,rh-precuneus,0.5,-0.25,0.0,0.6498502154959465,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
11,sub-06,rh-precuneus,0.6071428571428571,0.3105295017040594,0.6666666666666666,0.6856877888815193,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,3,1
12,sub-06,rh-precuneus,0.7083333333333333,0.25,0.6,0.6778604128686501,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
13,sub-06,rh-precuneus,0.5833333333333334,0.09128709291752768,0.4,0.6496658942174189,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
14,sub-06,rh-precuneus,0.375,-0.2581988897471611,0.28571428571428575,0.7284089710427445,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
15,sub-06,rh-precuneus,0.8,0.6324555320336759,0.7499999999999999,0.6137592996754307,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,0
16,sub-06,rh-precuneus,0.5,0.0,0.0,0.6353056559711696,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,2,0
17,sub-06,rh-precuneus,0.625,0.2581988897471611,0.5714285714285715,0.6871381698453805,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,2,1
18,sub-06,rh-precuneus,0.7,0.15811388300841897,0.5,0.678125239825176,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
19,sub-06,rh-precuneus,0.6,0.15811388300841897,0.5,0.6976083278519423,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
20,sub-06,rh-precuneus,0.625,0.25,0.5,0.6479682782517039,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
21,sub-06,rh-precuneus,0.625,0.0,0.3333333333333333,0.6822771751976505,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
22,sub-06,rh-precuneus,0.75,-0.25,0.0,0.5884095421466503,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,1,1
23,sub-06,rh-precuneus,0.8333333333333334,0.408248290463863,0.7272727272727272,0.641800298417019,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,1
24,sub-06,rh-precuneus,0.4,0.15811388300841897,0.5,0.7309771355027024,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
25,sub-06,rh-precuneus,0.625,0.0,0.4,0.6395054817480094,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,2
26,sub-06,rh-precuneus,0.85,0.35,0.6666666666666665,0.6084182682062105,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
