fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-06,rh-ventrolateralPFC,0.8333333333333334,0.6180700462007377,0.8421052631578948,0.635146660079347,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,8,2,1
2,sub-06,rh-ventrolateralPFC,0.5416666666666667,0.0,0.4444444444444445,0.6966437736374551,PCA + Linear-SVM,conscious,conscious,False,Image,False,3,2,2,3
3,sub-06,rh-ventrolateralPFC,0.8,0.4485426135725303,0.6666666666666665,0.6486359618117155,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,3,2,1
4,sub-06,rh-ventrolateralPFC,0.8500000000000001,0.5163977794943222,0.7777777777777777,0.6070115976889411,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,7,3,1
5,sub-06,rh-ventrolateralPFC,0.7222222222222222,0.3888888888888889,0.6666666666666667,0.6204796628651282,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,5,4,1
6,sub-06,rh-ventrolateralPFC,0.7777777777777778,0.50709255283711,0.7272727272727272,0.6535787243629356,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,4,2,1
7,sub-06,rh-ventrolateralPFC,0.9666666666666667,0.8280786712108251,0.888888888888889,0.6121546554904913,PCA + Linear-SVM,conscious,conscious,False,Image,False,6,4,1,0
8,sub-06,rh-ventrolateralPFC,0.7575757575757577,0.4497006112188861,0.7368421052631579,0.6037566198017785,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,7,4,1
9,sub-06,rh-ventrolateralPFC,0.9047619047619048,0.5476190476190477,0.7692307692307692,0.6154137426794108,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,5,2,1
10,sub-06,rh-ventrolateralPFC,0.8571428571428571,0.5476190476190477,0.7692307692307692,0.6322966560450989,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,5,2,1
11,sub-06,rh-ventrolateralPFC,0.6666666666666667,0.26666666666666666,0.6,0.678849033694164,PCA + Linear-SVM,conscious,conscious,False,Image,False,4,3,2,2
12,sub-06,rh-ventrolateralPFC,0.9583333333333334,0.8017837257372732,0.8571428571428571,0.6448299772552378,PCA + Linear-SVM,conscious,conscious,False,Image,False,6,3,1,0
13,sub-06,rh-ventrolateralPFC,0.888888888888889,0.5,0.6666666666666666,0.6615075952687755,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,2,1,1
14,sub-06,rh-ventrolateralPFC,0.8333333333333334,0.5476190476190477,0.7692307692307692,0.6340671665754509,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,5,2,1
15,sub-06,rh-ventrolateralPFC,0.6666666666666667,0.1889822365046136,0.4,0.689635787247519,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,1,2,1
16,sub-06,rh-ventrolateralPFC,0.8055555555555557,0.5533985905294664,0.8181818181818182,0.6070192523780606,PCA + Linear-SVM,conscious,conscious,False,Image,False,5,9,3,1
