fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-rostralmiddlefrontal,0.5013297872340425,-0.05274822695035461,0.46808510638297873,0.6930718094620115,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
2,01,lh-rostralmiddlefrontal,0.487145390070922,-0.05326236412913074,0.45652173913043476,0.7106594512817422,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,21,26,24
3,01,lh-rostralmiddlefrontal,0.49689716312056736,-0.07405765694934249,0.45161290322580644,0.7003331315445313,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,26,25
4,01,lh-rostralmiddlefrontal,0.5456560283687943,0.07358156028368794,0.5319148936170213,0.6900301170741662,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,22,22
5,01,lh-rostralmiddlefrontal,0.4955673758865249,-0.011096325860235571,0.47826086956521735,0.6929335086858377,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,22,25,23
6,01,lh-rostralmiddlefrontal,0.5044326241134751,-0.05274822695035461,0.46808510638297873,0.6954768143546681,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
7,01,lh-rostralmiddlefrontal,0.49601063829787234,0.052328164790553376,0.5161290322580645,0.6964893387416451,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
8,01,lh-rostralmiddlefrontal,0.44902482269503546,-0.09485815602836879,0.44680851063829785,0.7019466475445754,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
9,01,lh-rostralmiddlefrontal,0.5195035460992908,0.052328164790553376,0.5161290322580645,0.702054409130967,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
10,01,lh-rostralmiddlefrontal,0.4822695035460993,-0.031471631205673756,0.4842105263157895,0.7082058646901627,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,23,24,25
11,01,lh-rostralmiddlefrontal,0.5341312056737588,0.010199557543921422,0.4946236559139785,0.6952278787980887,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
12,01,lh-rostralmiddlefrontal,0.47118794326241137,-0.05274822695035461,0.46808510638297873,0.6953493388706665,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
13,01,lh-rostralmiddlefrontal,0.36923758865248224,-0.17907801418439717,0.40425531914893614,0.6993047407435629,None + Linear-SVM,glimpse,glimpse,False,Image,False,20,19,28,28
14,01,lh-rostralmiddlefrontal,0.5062056737588653,0.010199557543921422,0.4946236559139785,0.6978008602076999,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
15,01,lh-rostralmiddlefrontal,0.5505319148936171,0.052328164790553376,0.5161290322580645,0.6910372320091153,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
16,01,lh-rostralmiddlefrontal,0.4113475177304965,-0.13696808510638298,0.42553191489361697,0.6970809606900686,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,27,27
17,01,lh-rostralmiddlefrontal,0.4853723404255319,0.052328164790553376,0.5161290322580645,0.6992068886386971,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
18,01,lh-rostralmiddlefrontal,0.4769503546099291,-0.05274822695035461,0.46808510638297873,0.6941295144593905,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
19,01,lh-rostralmiddlefrontal,0.4445921985815603,-0.07405765694934249,0.45161290322580644,0.7041151550978241,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,26,25
20,01,lh-rostralmiddlefrontal,0.6471631205673759,0.22118794326241134,0.6105263157894737,0.6879580152906775,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,18,19
21,01,lh-rostralmiddlefrontal,0.43617021276595747,-0.1583148714426064,0.4086021505376344,0.6949064854622544,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,19,28,27
22,01,lh-rostralmiddlefrontal,0.49645390070921985,0.052328164790553376,0.5161290322580645,0.6936270211055909,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
23,01,lh-rostralmiddlefrontal,0.45257092198581556,-0.010638297872340425,0.48936170212765956,0.7055478888628636,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
24,01,lh-rostralmiddlefrontal,0.40602836879432624,-0.13696808510638298,0.42553191489361697,0.7034115265092815,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,27,27
25,01,lh-rostralmiddlefrontal,0.5757978723404256,0.11569148936170212,0.5531914893617021,0.684445242365453,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,21,21
26,01,lh-rostralmiddlefrontal,0.38652482269503546,-0.13696808510638298,0.42553191489361697,0.6959331815623584,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,27,27
27,01,lh-rostralmiddlefrontal,0.5155141843971631,-0.010638297872340425,0.48936170212765956,0.6940763180420673,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
28,01,lh-rostralmiddlefrontal,0.5957446808510638,0.17871398653044923,0.5806451612903226,0.6850959632149587,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,20,19
29,01,lh-rostralmiddlefrontal,0.551418439716312,0.052328164790553376,0.5161290322580645,0.6913566340849253,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
30,01,lh-rostralmiddlefrontal,0.4605496453900709,-0.13696808510638298,0.42553191489361697,0.6982083619731188,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,27,27
31,01,lh-rostralmiddlefrontal,0.5221631205673759,-0.07405765694934249,0.45161290322580644,0.692837688939766,None + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,26,25
32,01,lh-rostralmiddlefrontal,0.47074468085106386,-0.010638297872340425,0.48936170212765956,0.6963672415128603,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
33,01,lh-rostralmiddlefrontal,0.5851063829787234,0.17871398653044923,0.5806451612903226,0.6838977983791819,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,20,19
34,01,lh-rostralmiddlefrontal,0.5048758865248226,-0.09445677203718533,0.4583333333333333,0.6923361136083728,None + Linear-SVM,glimpse,glimpse,False,Image,False,21,22,25,27
