fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-superiorparietal,0.6227836879432624,0.09485815602836879,0.5473684210526316,0.6746403157855845,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,22,21
2,01,lh-superiorparietal,0.6250000000000001,0.17871398653044923,0.5979381443298969,0.678399048117068,None + Linear-SVM,conscious,conscious,False,Image,False,27,29,19,20
3,01,lh-superiorparietal,0.5314716312056738,-0.010199557543921422,0.48936170212765956,0.6902749025657043,None + Linear-SVM,conscious,conscious,False,Image,False,24,23,25,23
4,01,lh-superiorparietal,0.5757978723404256,0.13696808510638298,0.5684210526315789,0.6840464619766004,None + Linear-SVM,conscious,conscious,False,Image,False,27,27,21,20
5,01,lh-superiorparietal,0.7127659574468085,0.3475177304964539,0.6736842105263158,0.6525472614068485,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,16,15
6,01,lh-superiorparietal,0.5611702127659575,0.09485815602836879,0.5473684210526316,0.6889811906871719,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,22,21
7,01,lh-superiorparietal,0.5598404255319149,0.05274822695035461,0.5263157894736842,0.6838599479991936,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,23,22
8,01,lh-superiorparietal,0.5895390070921986,0.11618626419597444,0.5531914893617021,0.6804748043620074,None + Linear-SVM,conscious,conscious,False,Image,False,27,26,22,20
9,01,lh-superiorparietal,0.5190602836879433,0.07405765694934249,0.5319148936170214,0.695988532793658,None + Linear-SVM,conscious,conscious,False,Image,False,26,25,23,21
10,01,lh-superiorparietal,0.6542553191489361,0.22192651720471143,0.6021505376344085,0.6752002546992,None + Linear-SVM,conscious,conscious,False,Image,False,30,28,20,17
11,01,lh-superiorparietal,0.6281028368794327,0.1583148714426064,0.5744680851063831,0.6866601480942517,None + Linear-SVM,conscious,conscious,False,Image,False,28,27,21,19
12,01,lh-superiorparietal,0.6520390070921986,0.17907801418439717,0.5894736842105263,0.6630559122466647,None + Linear-SVM,conscious,conscious,False,Image,False,28,28,20,19
13,01,lh-superiorparietal,0.5301418439716312,0.010638297872340425,0.5052631578947369,0.6886723819707626,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,24,23
14,01,lh-superiorparietal,0.5252659574468085,0.09485815602836879,0.5473684210526316,0.6906943392257745,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,22,21
15,01,lh-superiorparietal,0.6861702127659574,0.24257208593587032,0.6170212765957447,0.665410333783034,None + Linear-SVM,conscious,conscious,False,Image,False,30,29,19,17
16,01,lh-superiorparietal,0.6103723404255319,0.09542840239802591,0.5376344086021506,0.6819524529522439,None + Linear-SVM,conscious,conscious,False,Image,False,27,25,23,20
17,01,lh-superiorparietal,0.5992907801418439,0.13696808510638298,0.5684210526315789,0.6798264041867218,None + Linear-SVM,conscious,conscious,False,Image,False,27,27,21,20
18,01,lh-superiorparietal,0.5802304964539007,0.11569148936170212,0.5625,0.682747067865522,None + Linear-SVM,conscious,conscious,False,Image,False,26,27,21,21
19,01,lh-superiorparietal,0.5926418439716312,0.15780141843971632,0.5833333333333334,0.6819584376313209,None + Linear-SVM,conscious,conscious,False,Image,False,27,28,20,20
20,01,lh-superiorparietal,0.5842198581560284,0.010638297872340425,0.5052631578947369,0.6774595337060796,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,24,23
21,01,lh-superiorparietal,0.600177304964539,0.09485815602836879,0.5473684210526316,0.6760660957130962,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,22,21
22,01,lh-superiorparietal,0.5022163120567376,0.05274822695035461,0.5263157894736842,0.7000331763147023,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,23,22
23,01,lh-superiorparietal,0.6108156028368794,0.11569148936170212,0.5625,0.6748083118660301,None + Linear-SVM,conscious,conscious,False,Image,False,26,27,21,21
24,01,lh-superiorparietal,0.4991134751773049,0.010638297872340425,0.5052631578947369,0.6996930872107969,None + Linear-SVM,conscious,conscious,False,Image,False,24,24,24,23
25,01,lh-superiorparietal,0.649822695035461,0.1583148714426064,0.5744680851063831,0.6639670901124647,None + Linear-SVM,conscious,conscious,False,Image,False,28,27,21,19
26,01,lh-superiorparietal,0.5487588652482269,0.05274822695035461,0.5263157894736842,0.6885342811749283,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,23,22
27,01,lh-superiorparietal,0.5780141843971631,0.13696808510638298,0.5684210526315789,0.6881717289170677,None + Linear-SVM,conscious,conscious,False,Image,False,27,27,21,20
