fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-inferiortemporal,0.5798611111111112,0.020874143036171647,0.4946236559139785,0.6896920902301872,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,23,25,22
2,01,rh-inferiortemporal,0.40625000000000006,-0.16666666666666666,0.4166666666666667,0.704006234779374,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,20,28,28
3,01,rh-inferiortemporal,0.5481770833333333,0.12510864843424485,0.5531914893617021,0.6909764998441857,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
4,01,rh-inferiortemporal,0.5013020833333334,0.02083785592827065,0.5052631578947369,0.6941561298864247,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
5,01,rh-inferiortemporal,0.5316840277777778,0.0834057656228299,0.5319148936170214,0.6929086292340946,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
6,01,rh-inferiortemporal,0.4548611111111111,-0.10418927964135326,0.4421052631578947,0.6965472714273112,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
7,01,rh-inferiortemporal,0.48090277777777773,-0.06251356778481196,0.46315789473684216,0.7045496478549423,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
8,01,rh-inferiortemporal,0.5243055555555556,0.02083785592827065,0.5154639175257733,0.6905343421571538,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,25,23,24
9,01,rh-inferiortemporal,0.37847222222222227,-0.18754070335443587,0.39999999999999997,0.6979749553902805,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
10,01,rh-inferiortemporal,0.4487847222222222,-0.10418927964135326,0.4421052631578947,0.6946713034596345,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
11,01,rh-inferiortemporal,0.39973958333333326,-0.0834057656228299,0.44680851063829785,0.6959907073548454,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
12,01,rh-inferiortemporal,0.5394965277777778,0.14586499149789456,0.5684210526315789,0.692530447313847,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
13,01,rh-inferiortemporal,0.615017361111111,0.14611900125320154,0.5858585858585857,0.6906695712807672,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,29,19,22
14,01,rh-inferiortemporal,0.5538194444444444,0.06251356778481196,0.5263157894736842,0.6918262781755363,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
15,01,rh-inferiortemporal,0.4752604166666667,0.0,0.48936170212765956,0.6941211670383174,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
16,01,rh-inferiortemporal,0.4131944444444445,-0.06251356778481196,0.46315789473684216,0.7153539547681983,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
17,01,rh-inferiortemporal,0.548611111111111,0.125,0.5625,0.6913938402364265,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
18,01,rh-inferiortemporal,0.4696180555555556,-0.10418927964135326,0.45360824742268036,0.6937993750759248,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,22,26,27
19,01,rh-inferiortemporal,0.44791666666666663,-0.08333333333333333,0.4583333333333333,0.6949249544988249,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
20,01,rh-inferiortemporal,0.43402777777777773,-0.125,0.4375,0.6968461484305081,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
21,01,rh-inferiortemporal,0.5711805555555556,0.10418927964135326,0.5473684210526316,0.6914366283480039,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
22,01,rh-inferiortemporal,0.4709201388888889,-0.04170288281141495,0.4680851063829787,0.6937363932377698,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
23,01,rh-inferiortemporal,0.44791666666666663,-0.12510864843424485,0.425531914893617,0.6979550425230636,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
24,01,rh-inferiortemporal,0.4626736111111111,-0.08333333333333333,0.4583333333333333,0.6981503042898852,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
25,01,rh-inferiortemporal,0.521267361111111,-0.04170288281141495,0.4680851063829787,0.6927119890959071,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
26,01,rh-inferiortemporal,0.46657986111111105,-0.02083785592827065,0.4842105263157895,0.6981920860154114,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
27,01,rh-inferiortemporal,0.4518229166666667,-0.06251356778481196,0.46315789473684216,0.6938590098787883,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
28,01,rh-inferiortemporal,0.4869791666666667,-0.04170288281141495,0.4680851063829787,0.6931437456355116,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
29,01,rh-inferiortemporal,0.6176215277777777,0.22921641521097716,0.6105263157894737,0.6868596019866965,None + Linear-SVM,unconscious,unconscious,False,Image,False,30,29,19,18
30,01,rh-inferiortemporal,0.5425347222222222,0.06251356778481196,0.5263157894736842,0.6919847123068807,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
31,01,rh-inferiortemporal,0.4813368055555555,0.02083785592827065,0.5052631578947369,0.6950383317450424,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
32,01,rh-inferiortemporal,0.5720486111111112,0.020874143036171647,0.4946236559139785,0.6896309573801916,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,23,25,22
33,01,rh-inferiortemporal,0.49001736111111116,-0.02083785592827065,0.4842105263157895,0.7014102033808559,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
34,01,rh-inferiortemporal,0.4848090277777778,-0.0834057656228299,0.44680851063829785,0.6946830395615778,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
35,01,rh-inferiortemporal,0.5403645833333333,0.10437071518085823,0.5376344086021506,0.691806903606111,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,25,23,20
36,01,rh-inferiortemporal,0.5199652777777778,0.06251356778481196,0.5263157894736842,0.6919770433003299,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
37,01,rh-inferiortemporal,0.4761284722222222,-0.06251356778481196,0.46315789473684216,0.7019059137694414,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
38,01,rh-inferiortemporal,0.4427083333333333,-0.10418927964135326,0.45360824742268036,0.6968129812604916,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,22,26,27
39,01,rh-inferiortemporal,0.47222222222222227,-0.125,0.4375,0.6946740372386085,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
40,01,rh-inferiortemporal,0.5842013888888888,0.16666666666666666,0.5833333333333334,0.6904779787202591,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,28,20,20
41,01,rh-inferiortemporal,0.5590277777777778,0.06251356778481196,0.5263157894736842,0.6906615861276095,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
42,01,rh-inferiortemporal,0.46874999999999994,-0.14586499149789456,0.43298969072164945,0.6999728385711039,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,21,27,28
43,01,rh-inferiortemporal,0.4774305555555555,-0.04170288281141495,0.4680851063829787,0.6945483089767004,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
44,01,rh-inferiortemporal,0.548611111111111,0.02083785592827065,0.5052631578947369,0.6890117285560127,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
45,01,rh-inferiortemporal,0.5243055555555555,0.04170288281141495,0.5306122448979592,0.6942641346182766,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,26,22,24
46,01,rh-inferiortemporal,0.53125,0.08333333333333333,0.5416666666666666,0.6917407491889959,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
47,01,rh-inferiortemporal,0.5108506944444444,0.02083785592827065,0.5052631578947369,0.692709141598084,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
48,01,rh-inferiortemporal,0.5069444444444444,0.12510864843424485,0.5531914893617021,0.6943297783897969,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
49,01,rh-inferiortemporal,0.46484375,-0.10437071518085823,0.4301075268817204,0.694775527960883,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,20,28,25
50,01,rh-inferiortemporal,0.5360243055555555,0.08333333333333333,0.5416666666666666,0.6910596080418051,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
51,01,rh-inferiortemporal,0.5203993055555556,0.10418927964135326,0.5473684210526316,0.6922299313310926,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
52,01,rh-inferiortemporal,0.5421006944444444,0.02083785592827065,0.5052631578947369,0.6883574372489072,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
53,01,rh-inferiortemporal,0.6328125,0.22921641521097716,0.6185567010309279,0.6897332145171492,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,30,18,19
54,01,rh-inferiortemporal,0.4058159722222222,-0.18754070335443587,0.39999999999999997,0.6958651931256737,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
55,01,rh-inferiortemporal,0.45920138888888884,-0.10418927964135326,0.4421052631578947,0.6998879320488957,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
56,01,rh-inferiortemporal,0.5620659722222222,0.02083785592827065,0.5052631578947369,0.6902165750925507,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
57,01,rh-inferiortemporal,0.5538194444444444,0.041666666666666664,0.5208333333333334,0.6896189625830639,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
58,01,rh-inferiortemporal,0.5043402777777779,-0.02083785592827065,0.4842105263157895,0.6936354072722164,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
59,01,rh-inferiortemporal,0.4657118055555555,-0.0834057656228299,0.44680851063829785,0.6939089518789805,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
60,01,rh-inferiortemporal,0.5946180555555556,0.10418927964135326,0.5473684210526316,0.6897399067413384,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
61,01,rh-inferiortemporal,0.5664062499999999,0.020874143036171647,0.4946236559139785,0.6896487834364807,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,23,25,22
62,01,rh-inferiortemporal,0.47916666666666663,-0.02083785592827065,0.4842105263157895,0.6958105399060882,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
63,01,rh-inferiortemporal,0.5368923611111112,0.04170288281141495,0.5106382978723404,0.6907470136986352,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
64,01,rh-inferiortemporal,0.5295138888888888,-0.04170288281141495,0.4680851063829787,0.6907216507680847,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
65,01,rh-inferiortemporal,0.5212673611111112,0.125,0.5625,0.6923428184667593,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
66,01,rh-inferiortemporal,0.44140624999999994,0.02083785592827065,0.5052631578947369,0.6980009340046068,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
67,01,rh-inferiortemporal,0.5173611111111112,-0.041666666666666664,0.4791666666666667,0.6930845825515363,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
68,01,rh-inferiortemporal,0.4587673611111111,-0.02083785592827065,0.4842105263157895,0.7010149323767555,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
69,01,rh-inferiortemporal,0.5438368055555555,0.06251356778481196,0.5263157894736842,0.6902325988123539,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
70,01,rh-inferiortemporal,0.5078125,0.04170288281141495,0.5106382978723404,0.6923912219043528,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
71,01,rh-inferiortemporal,0.3936631944444444,-0.20833333333333334,0.3958333333333333,0.7024460847177002,None + Linear-SVM,unconscious,unconscious,False,Image,False,19,19,29,29
72,01,rh-inferiortemporal,0.4752604166666667,-0.041666666666666664,0.4791666666666667,0.6937411408451505,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
73,01,rh-inferiortemporal,0.4388020833333333,-0.10418927964135326,0.4421052631578947,0.6942789231582648,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
74,01,rh-inferiortemporal,0.4809027777777778,-0.02083785592827065,0.4842105263157895,0.6946312710493597,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
75,01,rh-inferiortemporal,0.46267361111111105,-0.14586499149789456,0.42105263157894735,0.6948123270430556,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
76,01,rh-inferiortemporal,0.6163194444444443,0.20833333333333334,0.6041666666666666,0.684760622534274,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,29,19,19
77,01,rh-inferiortemporal,0.46484374999999994,-0.14611900125320154,0.40860215053763443,0.7019077417200467,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,19,29,26
78,01,rh-inferiortemporal,0.5043402777777777,-0.02083785592827065,0.4842105263157895,0.6923385609906907,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
79,01,rh-inferiortemporal,0.44140625,-0.10418927964135326,0.45360824742268036,0.6951125746190154,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,22,26,27
80,01,rh-inferiortemporal,0.4583333333333333,-0.06251356778481196,0.46315789473684216,0.696455550123312,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
81,01,rh-inferiortemporal,0.588107638888889,0.1668115312456598,0.5744680851063831,0.6921705097515073,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
82,01,rh-inferiortemporal,0.5095486111111112,-0.06251356778481196,0.46315789473684216,0.6926759976412816,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
83,01,rh-inferiortemporal,0.5438368055555556,0.06251356778481196,0.5263157894736842,0.6919214677503668,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
84,01,rh-inferiortemporal,0.43359375,-0.0834057656228299,0.44680851063829785,0.6958916764507036,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
85,01,rh-inferiortemporal,0.4822048611111111,-0.10418927964135326,0.45360824742268036,0.6952577660385533,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,22,26,27
86,01,rh-inferiortemporal,0.4874131944444444,-0.020874143036171647,0.4731182795698925,0.6941595235293825,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,22,26,23
87,01,rh-inferiortemporal,0.5355902777777778,0.06251356778481196,0.5263157894736842,0.6917444537552321,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
88,01,rh-inferiortemporal,0.4262152777777778,-0.18754070335443587,0.4123711340206186,0.6943962372218397,None + Linear-SVM,unconscious,unconscious,False,Image,False,19,20,28,29
89,01,rh-inferiortemporal,0.5716145833333333,0.1668115312456598,0.5744680851063831,0.6880629072829402,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
90,01,rh-inferiortemporal,0.4110243055555556,-0.18754070335443587,0.39999999999999997,0.7073034406038943,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
91,01,rh-inferiortemporal,0.4279513888888889,-0.10418927964135326,0.4421052631578947,0.7000734553251379,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
92,01,rh-inferiortemporal,0.502170138888889,-0.041666666666666664,0.4791666666666667,0.6951106280372564,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
93,01,rh-inferiortemporal,0.5581597222222222,0.06251356778481196,0.5263157894736842,0.6898091101853877,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
94,01,rh-inferiortemporal,0.5269097222222222,0.0,0.5,0.6926480915751322,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
95,01,rh-inferiortemporal,0.5299479166666666,0.020874143036171647,0.4946236559139785,0.6923298034583912,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,23,25,22
96,01,rh-inferiortemporal,0.3910590277777778,-0.1668115312456598,0.4042553191489362,0.704475353020593,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,19,29,27
97,01,rh-inferiortemporal,0.4934895833333333,-0.02083785592827065,0.4842105263157895,0.6940180733061654,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
98,01,rh-inferiortemporal,0.4887152777777778,0.0,0.48936170212765956,0.694955170828524,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
99,01,rh-inferiortemporal,0.4813368055555555,-0.06251356778481196,0.46315789473684216,0.7015619657831653,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
100,01,rh-inferiortemporal,0.45095486111111116,0.02083785592827065,0.5052631578947369,0.6974806472501994,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
101,01,rh-inferiortemporal,0.5143229166666667,0.06251356778481196,0.5263157894736842,0.6926113046164705,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
