fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-rostralmiddlefrontal,0.4952256944444444,0.02083785592827065,0.5052631578947369,0.7018899254489992,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
2,01,rh-rostralmiddlefrontal,0.5950520833333333,0.10418927964135326,0.5473684210526316,0.6838417469605597,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
3,01,rh-rostralmiddlefrontal,0.6302083333333334,0.12510864843424485,0.5531914893617021,0.6853547231145743,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
4,01,rh-rostralmiddlefrontal,0.6775173611111112,0.31256783892405976,0.6526315789473683,0.6841313606255938,None + Linear-SVM,unconscious,unconscious,False,Image,False,32,31,17,16
5,01,rh-rostralmiddlefrontal,0.51953125,-0.06251356778481196,0.46315789473684216,0.691662413237426,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
6,01,rh-rostralmiddlefrontal,0.5269097222222222,-0.02083785592827065,0.4842105263157895,0.6925113473907238,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
7,01,rh-rostralmiddlefrontal,0.5073784722222222,-0.02083785592827065,0.4842105263157895,0.6985478373661271,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
8,01,rh-rostralmiddlefrontal,0.5703124999999999,0.14586499149789456,0.5684210526315789,0.6897438705676304,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
9,01,rh-rostralmiddlefrontal,0.5342881944444444,0.10418927964135326,0.5473684210526316,0.7046237695087315,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
10,01,rh-rostralmiddlefrontal,0.4809027777777778,0.041666666666666664,0.5208333333333334,0.6963212555207381,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
11,01,rh-rostralmiddlefrontal,0.5325520833333333,0.02083785592827065,0.5052631578947369,0.6909391483115476,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
12,01,rh-rostralmiddlefrontal,0.5160590277777777,0.02083785592827065,0.5052631578947369,0.694896246969317,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
13,01,rh-rostralmiddlefrontal,0.49652777777777773,-0.06251356778481196,0.46315789473684216,0.6947262662719335,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
14,01,rh-rostralmiddlefrontal,0.6453993055555555,0.2502172968684897,0.6170212765957447,0.6853433514225514,None + Linear-SVM,unconscious,unconscious,False,Image,False,31,29,19,17
15,01,rh-rostralmiddlefrontal,0.5286458333333333,-0.041666666666666664,0.4791666666666667,0.6908784628983974,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
16,01,rh-rostralmiddlefrontal,0.6453993055555555,0.2708921270675185,0.631578947368421,0.6875078461025224,None + Linear-SVM,unconscious,unconscious,False,Image,False,31,30,18,17
17,01,rh-rostralmiddlefrontal,0.6271701388888888,0.10418927964135326,0.5473684210526316,0.6840638294022968,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
18,01,rh-rostralmiddlefrontal,0.5,0.0,0.48936170212765956,0.6969940936631001,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
19,01,rh-rostralmiddlefrontal,0.5308159722222222,0.12510864843424485,0.5531914893617021,0.6929840828563512,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
20,01,rh-rostralmiddlefrontal,0.6280381944444444,0.14586499149789456,0.5684210526315789,0.6841343003685686,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
21,01,rh-rostralmiddlefrontal,0.6102430555555555,0.14586499149789456,0.5684210526315789,0.6810561914894918,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
22,01,rh-rostralmiddlefrontal,0.46875,-0.10418927964135326,0.4421052631578947,0.7032277711954329,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
23,01,rh-rostralmiddlefrontal,0.5299479166666667,0.04170288281141495,0.5106382978723404,0.6912531742519255,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
24,01,rh-rostralmiddlefrontal,0.5993923611111112,0.10418927964135326,0.5473684210526316,0.6837372630721713,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
25,01,rh-rostralmiddlefrontal,0.5577256944444444,0.10418927964135326,0.5567010309278351,0.6861385651994144,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,27,21,22
26,01,rh-rostralmiddlefrontal,0.42708333333333337,-0.10418927964135326,0.4421052631578947,0.7044264968423297,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
27,01,rh-rostralmiddlefrontal,0.6046006944444444,0.18754070335443587,0.5894736842105263,0.6891696382833271,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
28,01,rh-rostralmiddlefrontal,0.45486111111111105,0.0,0.5,0.701272186187583,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
29,01,rh-rostralmiddlefrontal,0.5533854166666666,-0.04170288281141495,0.4680851063829787,0.6866704892537486,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
30,01,rh-rostralmiddlefrontal,0.4444444444444445,-0.02083785592827065,0.4842105263157895,0.7146364401273061,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
31,01,rh-rostralmiddlefrontal,0.6571180555555556,0.16666666666666666,0.5833333333333334,0.6904861833245746,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,28,20,20
32,01,rh-rostralmiddlefrontal,0.6349826388888888,0.16666666666666666,0.5833333333333334,0.6763538893741102,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,28,20,20
33,01,rh-rostralmiddlefrontal,0.5833333333333334,0.14586499149789456,0.5684210526315789,0.6857119294532698,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
34,01,rh-rostralmiddlefrontal,0.5907118055555556,0.10418927964135326,0.5473684210526316,0.6887842322102294,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
35,01,rh-rostralmiddlefrontal,0.48307291666666663,-0.02083785592827065,0.4948453608247423,0.6975869730880492,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,24,24,25
36,01,rh-rostralmiddlefrontal,0.5859375,0.18754070335443587,0.5894736842105263,0.6829869115352635,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
37,01,rh-rostralmiddlefrontal,0.5277777777777778,0.0,0.48936170212765956,0.6918019045764955,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
38,01,rh-rostralmiddlefrontal,0.5768229166666666,0.10437071518085823,0.5376344086021506,0.6909925165846901,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,25,23,20
39,01,rh-rostralmiddlefrontal,0.5177951388888888,-0.06251356778481196,0.46315789473684216,0.6925448128030619,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
40,01,rh-rostralmiddlefrontal,0.5190972222222222,0.041666666666666664,0.5208333333333334,0.694046377832381,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
41,01,rh-rostralmiddlefrontal,0.5902777777777777,0.16666666666666666,0.5833333333333334,0.6828044713482265,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,28,20,20
42,01,rh-rostralmiddlefrontal,0.5512152777777778,0.14586499149789456,0.5684210526315789,0.6905835877127405,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
43,01,rh-rostralmiddlefrontal,0.5833333333333333,0.10418927964135326,0.5473684210526316,0.6852015025448464,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
44,01,rh-rostralmiddlefrontal,0.5546875,0.08333333333333333,0.5416666666666666,0.6918059460455451,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
45,01,rh-rostralmiddlefrontal,0.5659722222222222,0.20851441405707477,0.5957446808510638,0.6916564072923208,None + Linear-SVM,unconscious,unconscious,False,Image,False,30,28,20,18
46,01,rh-rostralmiddlefrontal,0.5572916666666666,0.14586499149789456,0.5684210526315789,0.6878396868625968,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
47,01,rh-rostralmiddlefrontal,0.5538194444444444,0.10418927964135326,0.5473684210526316,0.6907660899906732,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
48,01,rh-rostralmiddlefrontal,0.5321180555555556,0.08333333333333333,0.5416666666666666,0.6910159781634845,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
49,01,rh-rostralmiddlefrontal,0.5842013888888888,0.12510864843424485,0.5531914893617021,0.6889665043261353,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
50,01,rh-rostralmiddlefrontal,0.5967881944444443,0.1668115312456598,0.5744680851063831,0.6821098462420214,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
51,01,rh-rostralmiddlefrontal,0.5716145833333333,0.06251356778481196,0.5263157894736842,0.6872511276014794,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
52,01,rh-rostralmiddlefrontal,0.484375,0.0,0.48936170212765956,0.6994196857911573,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
53,01,rh-rostralmiddlefrontal,0.5568576388888888,0.10418927964135326,0.5473684210526316,0.6904849057454708,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
54,01,rh-rostralmiddlefrontal,0.6527777777777778,0.2708921270675185,0.631578947368421,0.689521644476172,None + Linear-SVM,unconscious,unconscious,False,Image,False,31,30,18,17
55,01,rh-rostralmiddlefrontal,0.53125,0.0,0.48936170212765956,0.6887167268117024,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
56,01,rh-rostralmiddlefrontal,0.5047743055555556,0.02083785592827065,0.5052631578947369,0.6915304179500229,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
57,01,rh-rostralmiddlefrontal,0.5711805555555556,0.18754070335443587,0.5894736842105263,0.6877843728269725,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
58,01,rh-rostralmiddlefrontal,0.5629340277777778,0.1668115312456598,0.5744680851063831,0.6877341334979695,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
59,01,rh-rostralmiddlefrontal,0.57421875,0.18754070335443587,0.5894736842105263,0.6907674292645164,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
60,01,rh-rostralmiddlefrontal,0.5303819444444444,0.10418927964135326,0.5473684210526316,0.692027490150425,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
61,01,rh-rostralmiddlefrontal,0.6332465277777778,0.22921641521097716,0.6105263157894737,0.6871008663424792,None + Linear-SVM,unconscious,unconscious,False,Image,False,30,29,19,18
62,01,rh-rostralmiddlefrontal,0.6167534722222222,0.10418927964135326,0.5473684210526316,0.6868437200418036,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
63,01,rh-rostralmiddlefrontal,0.5355902777777778,0.10418927964135326,0.5473684210526316,0.6922811198557165,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
64,01,rh-rostralmiddlefrontal,0.599826388888889,0.18754070335443587,0.5894736842105263,0.6879202030225023,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
65,01,rh-rostralmiddlefrontal,0.5403645833333333,0.02083785592827065,0.5052631578947369,0.6910380472296627,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
66,01,rh-rostralmiddlefrontal,0.55078125,0.08333333333333333,0.5416666666666666,0.6896642544141297,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
67,01,rh-rostralmiddlefrontal,0.5868055555555555,0.06251356778481196,0.5263157894736842,0.6837234612382878,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
68,01,rh-rostralmiddlefrontal,0.62109375,0.12510864843424485,0.5531914893617021,0.6834942049506935,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
69,01,rh-rostralmiddlefrontal,0.5533854166666666,0.125,0.5625,0.6913340970228085,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
70,01,rh-rostralmiddlefrontal,0.5638020833333334,0.08333333333333333,0.5416666666666666,0.6902696474821762,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
71,01,rh-rostralmiddlefrontal,0.6861979166666665,0.31256783892405976,0.6526315789473683,0.6810824300197528,None + Linear-SVM,unconscious,unconscious,False,Image,False,32,31,17,16
72,01,rh-rostralmiddlefrontal,0.6588541666666667,0.22921641521097716,0.6105263157894737,0.686409239514291,None + Linear-SVM,unconscious,unconscious,False,Image,False,30,29,19,18
73,01,rh-rostralmiddlefrontal,0.6011284722222222,0.06251356778481196,0.5263157894736842,0.6899165497550404,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
74,01,rh-rostralmiddlefrontal,0.4796006944444444,-0.08333333333333333,0.4583333333333333,0.6953239907555542,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
75,01,rh-rostralmiddlefrontal,0.5225694444444444,0.06251356778481196,0.5263157894736842,0.7019466617605529,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
76,01,rh-rostralmiddlefrontal,0.6024305555555555,0.22921641521097716,0.6105263157894737,0.6844224787617468,None + Linear-SVM,unconscious,unconscious,False,Image,False,30,29,19,18
