fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-07,lh-inferiortemporal,0.8,0.5477225575051661,0.7499999999999999,0.5500096042913681,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,3,2,0
2,sub-07,lh-inferiortemporal,0.5,0.0,0.0,0.7075448901657057,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
3,sub-07,lh-inferiortemporal,0.0,-0.5,0.0,0.8212169571743084,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
4,sub-07,lh-inferiortemporal,0.75,0.5773502691896258,0.6666666666666666,0.6693007274319831,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,0
5,sub-07,lh-inferiortemporal,0.875,0.5,0.6666666666666666,0.5300891750256745,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,0
6,sub-07,lh-inferiortemporal,1.0,0.7071067811865476,0.8571428571428571,0.5651315723713063,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,3,1,0
7,sub-07,lh-inferiortemporal,0.8333333333333333,0.6666666666666666,0.8,0.598853809997115,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,2,1,0
8,sub-07,lh-inferiortemporal,0.7142857142857142,0.47809144373375745,0.7272727272727273,0.5107043962169624,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,4,3,0
9,sub-07,lh-inferiortemporal,0.7,0.31622776601683794,0.5714285714285715,0.4753840829026971,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,4,6,0
10,sub-07,lh-inferiortemporal,1.0,0.0,0.0,0.6709842634779286,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
11,sub-07,lh-inferiortemporal,0.8333333333333333,0.6666666666666666,0.8,0.568988188446668,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,2,1,0
12,sub-07,lh-inferiortemporal,1.0,0.0,0.0,0.6511516206703657,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
13,sub-07,lh-inferiortemporal,0.5,0.0,0.0,0.6919867213019594,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
14,sub-07,lh-inferiortemporal,0.875,0.5,0.6666666666666666,0.5454513422342863,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,2,2,0
15,sub-07,lh-inferiortemporal,0.75,0.5,0.7692307692307693,0.5458523330665692,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,5,3,0
16,sub-07,lh-inferiortemporal,0.6363636363636364,0.23354968324845687,0.42857142857142855,0.5402683295321713,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,3,8,0
17,sub-07,lh-inferiortemporal,1.0,0.0,0.0,0.6271168849216636,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
18,sub-07,lh-inferiortemporal,0.5,-0.16666666666666666,0.4,0.6682784932847734,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,1,2,1
19,sub-07,lh-inferiortemporal,0.65,0.31622776601683794,0.5714285714285715,0.5242450064803671,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,4,6,0
20,sub-07,lh-inferiortemporal,0.8333333333333334,0.5773502691896258,0.8,0.5516254288179256,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,4,2,0
