fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-07,lh-precuneus,0.5138888888888888,0.18055555555555555,0.5882352941176471,0.6992580594191197,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,5,3,4
2,sub-07,lh-precuneus,0.4444444444444445,0.09759000729485331,0.4615384615384615,0.7063634806683976,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,4,3
3,sub-07,lh-precuneus,0.3333333333333333,-0.08206099398622181,0.4210526315789474,0.7140635771225563,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,7,4
4,sub-07,lh-precuneus,0.20987654320987656,-0.4472135954999579,0.23529411764705882,0.7453979465978492,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,7,6
5,sub-07,lh-precuneus,0.3194444444444445,-0.07042952122737638,0.39999999999999997,0.7381005996245168,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,5,4
6,sub-07,lh-precuneus,0.30864197530864196,0.0,0.47058823529411764,0.7404468596311415,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,5,4
7,sub-07,lh-precuneus,0.34722222222222227,-0.07042952122737638,0.39999999999999997,0.7520407084076931,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,5,4
8,sub-07,lh-precuneus,0.3888888888888889,-0.18446619684315546,0.22222222222222224,0.7258513064184773,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,3,4
9,sub-07,lh-precuneus,0.1111111111111111,-0.6172133998483676,0.0,0.7532328352857748,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,4,6
10,sub-07,lh-precuneus,0.28888888888888886,-0.4472135954999579,0.16666666666666666,0.7383128656313572,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,6
11,sub-07,lh-precuneus,0.3555555555555555,-0.15555555555555556,0.4210526315789474,0.715748594315186,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,6,5
12,sub-07,lh-precuneus,0.44444444444444453,-0.04303314829119352,0.3636363636363636,0.7194899003666979,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,4
13,sub-07,lh-precuneus,0.3555555555555555,-0.04303314829119352,0.3636363636363636,0.7230708246039509,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,4
14,sub-07,lh-precuneus,0.34444444444444444,-0.044946657497549475,0.4444444444444445,0.7205200057482152,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,6,4
15,sub-07,lh-precuneus,0.4343434343434343,0.10050378152592121,0.5714285714285713,0.7236587903672731,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,6,5,4
16,sub-07,lh-precuneus,0.4,-0.14907119849998599,0.3333333333333333,0.7160480918505449,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,5
17,sub-07,lh-precuneus,0.6666666666666667,0.0,0.3636363636363636,0.687431773750354,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,4,3
18,sub-07,lh-precuneus,0.37037037037037035,0.05455447255899809,0.4615384615384615,0.7190547914617559,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,4
19,sub-07,lh-precuneus,0.4444444444444445,0.05455447255899809,0.4615384615384615,0.7163549246004742,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,4
20,sub-07,lh-precuneus,0.26666666666666666,-0.044946657497549475,0.4444444444444445,0.7348625289030434,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,6,4
21,sub-07,lh-precuneus,0.5833333333333333,0.05143444998736397,0.4,0.7146484999270879,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,4
22,sub-07,lh-precuneus,0.5396825396825398,0.1259881576697424,0.5333333333333333,0.7035304816667977,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,4
23,sub-07,lh-precuneus,0.125,-0.6527777777777778,0.125,0.78338772273356,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,7,7
24,sub-07,lh-precuneus,0.3174603174603175,-0.16265001215808886,0.30769230769230765,0.7375772622772581,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,5,4
25,sub-07,lh-precuneus,0.30000000000000004,-0.15555555555555556,0.4210526315789474,0.7308493957350651,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,6,5
26,sub-07,lh-precuneus,0.25,-0.2828894749305018,0.2,0.7453428470532708,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,5
27,sub-07,lh-precuneus,0.3888888888888889,0.05555555555555555,0.5263157894736842,0.7090059610045379,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,5,5,4
28,sub-07,lh-precuneus,0.18518518518518517,-0.28867513459481287,0.1818181818181818,0.7763053415173825,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,5,4
29,sub-07,lh-precuneus,0.4444444444444444,-0.14907119849998599,0.0,0.7414886581905473,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,8,0,2,1
30,sub-07,lh-precuneus,0.18518518518518517,-0.408248290463863,0.0,0.7537677672542838,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,3,4
31,sub-07,lh-precuneus,0.18181818181818182,-0.502518907629606,0.28571428571428564,0.7607147798849855,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,8,7
32,sub-07,lh-precuneus,0.2916666666666667,-0.18055555555555555,0.375,0.7454528366494549,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,5,5
33,sub-07,lh-precuneus,0.2888888888888889,-0.24444444444444444,0.20000000000000004,0.751385130057521,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,4,4
34,sub-07,lh-precuneus,0.7555555555555556,0.25819888974716115,0.5454545454545454,0.6814131505471599,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,3
35,sub-07,lh-precuneus,0.1777777777777778,-0.4472135954999579,0.16666666666666666,0.7532331513209158,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,4,6
36,sub-07,lh-precuneus,0.4166666666666667,0.05143444998736397,0.4,0.7344266875171633,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,4
37,sub-07,lh-precuneus,0.462962962962963,0.21821789023599236,0.5714285714285715,0.7131092512571249,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,2,4
38,sub-07,lh-precuneus,0.1388888888888889,-0.6388888888888888,0.15384615384615383,0.7435118590538766,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,3,8
39,sub-07,lh-precuneus,0.37037037037037035,-0.09759000729485331,0.25,0.735903181972185,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,4
40,sub-07,lh-precuneus,0.4444444444444445,-0.015873015873015872,0.42857142857142855,0.711435890486957,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,4,4
41,sub-07,lh-precuneus,0.2222222222222222,-0.22360679774997896,0.35294117647058826,0.7590593583683406,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,6,5
42,sub-07,lh-precuneus,0.4444444444444445,0.0,0.28571428571428575,0.730982588936364,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,2,3
43,sub-07,lh-precuneus,0.4320987654320988,0.0,0.47058823529411764,0.7080420408525824,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,5,4
44,sub-07,lh-precuneus,0.3611111111111111,-0.18446619684315546,0.22222222222222224,0.7537019571144449,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,3,4
45,sub-07,lh-precuneus,0.33333333333333337,-0.28867513459481287,0.0,0.7371309074592574,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,0,2,3
46,sub-07,lh-precuneus,0.5555555555555556,0.06666666666666667,0.4000000000000001,0.7033713228907136,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,3,3
47,sub-07,lh-precuneus,0.25,-0.2828894749305018,0.2,0.7436125664522101,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,5
48,sub-07,lh-precuneus,0.6031746031746031,0.1259881576697424,0.5333333333333333,0.6998051047610332,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,4
49,sub-07,lh-precuneus,0.625,0.23904572186687872,0.6153846153846154,0.6819977008591787,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,4,1
50,sub-07,lh-precuneus,0.5714285714285714,0.17857142857142858,0.5454545454545454,0.6903504994306746,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,4,1
51,sub-07,lh-precuneus,0.4772727272727273,-0.040291148201269014,0.5555555555555556,0.7048942252028272,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,6,2
52,sub-07,lh-precuneus,0.25,-0.15811388300841897,0.42857142857142855,0.7403020079735705,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,6,2
53,sub-07,lh-precuneus,0.375,-0.11952286093343936,0.4615384615384615,0.7291817033596538,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,5,2
54,sub-07,lh-precuneus,0.4444444444444444,-0.05143444998736397,0.5333333333333333,0.7231789855519998,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,5,2
55,sub-07,lh-precuneus,0.375,-0.25,0.3333333333333333,0.7319724691950268,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,6,2
56,sub-07,lh-precuneus,0.5625,0.2581988897471611,0.5714285714285715,0.6887433230671121,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,2,1
57,sub-07,lh-precuneus,0.375,-0.2581988897471611,0.28571428571428575,0.7084659312602216,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
58,sub-07,lh-precuneus,0.4,-0.31622776601683794,0.25,0.7022988547984214,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
59,sub-07,lh-precuneus,0.5,0.1414213562373095,0.5333333333333333,0.7029634837080276,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,6,1
60,sub-07,lh-precuneus,0.55,0.15811388300841897,0.5,0.687508998332851,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
61,sub-07,lh-precuneus,0.6,0.35,0.6666666666666665,0.6863834878676861,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,2,1
62,sub-07,lh-precuneus,0.47500000000000003,0.1414213562373095,0.5333333333333333,0.7115644356859574,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,6,1
63,sub-07,lh-precuneus,0.5909090909090909,0.1846372364689991,0.5882352941176471,0.7136964548658079,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,6,1
64,sub-07,lh-precuneus,0.55,-0.1,0.4444444444444445,0.6855876474516385,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
65,sub-07,lh-precuneus,0.875,0.5345224838248488,0.6666666666666666,0.6433952249512009,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,0
66,sub-07,lh-precuneus,0.5416666666666666,0.25,0.6,0.6873572647549973,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
67,sub-07,lh-precuneus,0.6666666666666667,0.25,0.6,0.6818464188282899,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
68,sub-07,lh-precuneus,0.6,0.31622776601683794,0.7058823529411764,0.6967446586217545,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,6,4,1
69,sub-07,lh-precuneus,0.5625,0.0,0.5,0.6726912743528837,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,2,2
70,sub-07,lh-precuneus,0.6785714285714285,0.3105295017040594,0.6666666666666666,0.6711140035257375,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,3,1
71,sub-07,lh-precuneus,0.25,-0.408248290463863,0.18181818181818182,0.7674166219969173,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,7,2
72,sub-07,lh-precuneus,0.6071428571428571,0.17857142857142858,0.5454545454545454,0.6944605224467545,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,4,1
73,sub-07,lh-precuneus,0.325,-0.3,0.28571428571428575,0.7181063470456467,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,8,2
74,sub-07,lh-precuneus,0.5,0.0,0.3333333333333333,0.6970593666124554,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
75,sub-07,lh-precuneus,0.575,0.22821773229381923,0.625,0.6959421556695683,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,5,1
76,sub-07,lh-precuneus,0.41666666666666663,-0.16666666666666666,0.4,0.7296299590723724,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,2
