fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-07,lh-precuneus,0.12499999999999997,-0.6666666666666666,0.0,0.7827408892735631,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,4,4
2,sub-07,lh-precuneus,0.38888888888888884,-0.16666666666666666,0.4,0.7290457550854287,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,6,3
3,sub-07,lh-precuneus,0.3055555555555556,-0.3535533905932738,0.2,0.7569621115195143,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,5,3
4,sub-07,lh-precuneus,0.42857142857142855,-0.21957751641341997,0.3333333333333333,0.7600303388687952,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,5,3
5,sub-07,lh-precuneus,0.2,-0.4666666666666667,0.20000000000000004,0.7830438657324851,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,4,4
6,sub-07,lh-precuneus,0.33333333333333337,-0.25,0.25,0.7471934772180672,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
7,sub-07,lh-precuneus,0.38888888888888884,-0.1690308509457033,0.3636363636363636,0.724688242139138,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,3
8,sub-07,lh-precuneus,0.42857142857142855,-0.05143444998736397,0.36363636363636365,0.7161604382905224,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,5,2
9,sub-07,lh-precuneus,0.20833333333333334,-0.5833333333333334,0.2,0.7727617754302112,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,1,1,3,5
10,sub-07,lh-precuneus,0.24999999999999997,-0.5918640302493726,0.13333333333333333,0.7429767896500966,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,9,4
11,sub-07,lh-precuneus,0.125,-0.5345224838248488,0.0,0.768893329984709,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,4,3
12,sub-07,lh-precuneus,0.19444444444444445,-0.4029114820126901,0.3157894736842105,0.7946143594343579,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,3,9,4
13,sub-07,lh-precuneus,0.6969696969696969,0.2030905986149808,0.631578947368421,0.6768493337153783,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,6,5,2
14,sub-07,lh-precuneus,0.29166666666666663,-0.408248290463863,0.22222222222222224,0.7671967444751402,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,4
15,sub-07,lh-precuneus,0.19444444444444442,-0.50709255283711,0.1818181818181818,0.7501834416397918,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,5,4
16,sub-07,lh-precuneus,0.13333333333333333,-0.4666666666666667,0.20000000000000004,0.7350410498502419,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,4,4
17,sub-07,lh-precuneus,0.33333333333333337,-0.3535533905932738,0.0,0.719894943770088,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,1,3
18,sub-07,lh-precuneus,0.4,-0.2,0.37499999999999994,0.8272170113145422,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,7,3
19,sub-07,lh-precuneus,0.5454545454545455,0.030303030303030304,0.4705882352941177,0.733512099668399,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,7,2
20,sub-07,lh-precuneus,0.25,-0.25,0.25,0.7253126329516303,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
21,sub-07,lh-precuneus,0.33333333333333337,-0.3333333333333333,0.0,0.6792108045779112,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,0,2,2
22,sub-07,lh-precuneus,0.5416666666666667,0.0,0.4444444444444445,0.6861677888719796,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,2,3
23,sub-07,lh-precuneus,0.5,-0.0890870806374748,0.28571428571428575,0.6906907195241214,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,3,2
24,sub-07,lh-precuneus,0.5166666666666667,-0.09759000729485331,0.47058823529411764,0.7227528202898201,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,6,3
25,sub-07,lh-precuneus,0.25,-0.25,0.25,0.7472275090537017,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
26,sub-07,lh-precuneus,0.10416666666666664,-0.7302967433402214,0.0,0.8095609189073525,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,8,4
27,sub-07,lh-precuneus,0.38888888888888884,-0.3333333333333333,0.3333333333333333,0.7166353211318568,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,4,4
28,sub-07,lh-precuneus,0.3333333333333333,-0.16666666666666666,0.4,0.753349715403535,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,6,3
29,sub-07,lh-precuneus,0.33333333333333337,-0.3535533905932738,0.0,0.6805078880280783,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,1,3
30,sub-07,lh-precuneus,0.3928571428571429,-0.2058790548922549,0.38095238095238093,0.7731519760770029,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,4,10,3
31,sub-07,lh-precuneus,0.3333333333333333,-0.25,0.25,0.731465952148939,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
