fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-07,lh-rostralmiddlefrontal,0.0,-0.6454972243679028,0.0,0.7052225620094051,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,5,1
2,sub-07,lh-rostralmiddlefrontal,0.0,-0.5,0.0,0.8945038960821644,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
3,sub-07,lh-rostralmiddlefrontal,0.0,-0.5,0.0,0.8954864421320651,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
4,sub-07,lh-rostralmiddlefrontal,0.5,0.0,0.0,0.7626458242184998,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
5,sub-07,lh-rostralmiddlefrontal,0.0,-0.6324555320336759,0.0,0.6481621743144474,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,4,1
6,sub-07,lh-rostralmiddlefrontal,0.0,-0.6324555320336759,0.0,0.7080595745628112,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,4,1
7,sub-07,lh-rostralmiddlefrontal,0.5,-0.16666666666666666,0.4,0.6807158450515345,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,1,2,1
8,sub-07,lh-rostralmiddlefrontal,0.07142857142857142,-0.35714285714285715,0.22222222222222224,0.607197783031731,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,1,6,1
9,sub-07,lh-rostralmiddlefrontal,0.05,-0.4,0.16666666666666669,0.5782110724472682,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,1,9,1
10,sub-07,lh-rostralmiddlefrontal,0.0,-0.5,0.0,0.8812104086546735,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
11,sub-07,lh-rostralmiddlefrontal,0.16666666666666666,-0.6123724356957946,0.0,0.7596315166894569,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,1
12,sub-07,lh-rostralmiddlefrontal,0.0,-0.5,0.0,0.8786494735266185,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
13,sub-07,lh-rostralmiddlefrontal,0.0,-0.5773502691896258,0.0,0.7875894827618635,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,2,1
14,sub-07,lh-rostralmiddlefrontal,0.0,-0.6324555320336759,0.0,0.6612515048350045,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,4,1
15,sub-07,lh-rostralmiddlefrontal,0.4375,-0.10206207261596577,0.5,0.5696430453008776,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,3,5,1
16,sub-07,lh-rostralmiddlefrontal,0.18181818181818182,-0.27247463045653303,0.28571428571428575,0.5657454772212851,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,2,9,1
17,sub-07,lh-rostralmiddlefrontal,0.0,-0.5,0.0,0.9018054757498306,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,1,1
18,sub-07,lh-rostralmiddlefrontal,1.0,0.6666666666666666,0.8,0.6700532165583166,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,2,1,0
19,sub-07,lh-rostralmiddlefrontal,0.35,-0.15811388300841897,0.4285714285714285,0.5589165166600768,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,3,7,1
20,sub-07,lh-rostralmiddlefrontal,0.0,-0.6546536707079772,0.0,0.6267467055582588,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,6,1
21,sub-07,lh-rostralmiddlefrontal,0.0,-0.6546536707079772,0.0,0.6317329285582326,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,6,1
22,sub-07,lh-rostralmiddlefrontal,0.0,-0.6123724356957946,0.0,0.7664599075462328,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,0,3,1
