fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-07,lh-ventrolateralPFC,0.7,0.5477225575051661,0.7499999999999999,0.6034657477477727,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,3,2,0
2,sub-07,lh-ventrolateralPFC,1.0,0.0,0.0,0.7101967349810709,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
3,sub-07,lh-ventrolateralPFC,0.5,0.0,0.0,0.7730872887565279,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
4,sub-07,lh-ventrolateralPFC,0.5,0.0,0.0,0.7036433320176991,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
5,sub-07,lh-ventrolateralPFC,0.5,0.31622776601683794,0.4,0.6363905395070338,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,1,3,0
6,sub-07,lh-ventrolateralPFC,0.375,-0.25,0.3333333333333333,0.6830098371928792,Mutual + Linear-SVM,conscious,conscious,False,Image,False,1,1,3,1
7,sub-07,lh-ventrolateralPFC,0.6666666666666666,0.4082482904638631,0.5,0.6108044014464845,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,1,2,0
8,sub-07,lh-ventrolateralPFC,0.7857142857142857,0.5976143046671968,0.8333333333333333,0.5523350308353919,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,5,2,0
9,sub-07,lh-ventrolateralPFC,0.95,0.6324555320336759,0.888888888888889,0.4920675222312949,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,8,2,0
10,sub-07,lh-ventrolateralPFC,1.0,0.0,0.0,0.7294102654360769,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
11,sub-07,lh-ventrolateralPFC,1.0,0.6666666666666666,0.8,0.5822282453723802,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,2,1,0
12,sub-07,lh-ventrolateralPFC,1.0,0.0,0.0,0.7412901709499709,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
13,sub-07,lh-ventrolateralPFC,0.5,0.0,0.0,0.7263036484686791,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,2,0
14,sub-07,lh-ventrolateralPFC,1.0,0.7071067811865476,0.8571428571428571,0.5745736086790678,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,3,1,0
15,sub-07,lh-ventrolateralPFC,0.75,0.5,0.7692307692307693,0.5583609057365357,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,5,3,0
16,sub-07,lh-ventrolateralPFC,0.8636363636363636,0.5393598899705937,0.8421052631578948,0.5169685197548062,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,8,3,0
17,sub-07,lh-ventrolateralPFC,1.0,0.0,0.0,0.7276679459339702,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,0,1,0
18,sub-07,lh-ventrolateralPFC,1.0,0.6666666666666666,0.8,0.5917128252195706,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,2,1,0
19,sub-07,lh-ventrolateralPFC,0.8,0.5291502622129182,0.8235294117647058,0.5474711098048237,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,7,3,0
20,sub-07,lh-ventrolateralPFC,0.75,0.5773502691896258,0.8,0.5714161644356672,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,4,2,0
21,sub-07,lh-ventrolateralPFC,0.5833333333333333,0.4472135954999579,0.6666666666666666,0.6062763778330595,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,3,3,0
22,sub-07,lh-ventrolateralPFC,0.8333333333333333,0.6666666666666666,0.8,0.62553249295132,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,2,1,0
23,sub-07,lh-ventrolateralPFC,1.0,0.7071067811865476,0.8571428571428571,0.6085936470131564,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,3,1,0
24,sub-07,lh-ventrolateralPFC,0.75,0.5773502691896258,0.6666666666666666,0.6746074078234457,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,0
25,sub-07,lh-ventrolateralPFC,1.0,0.5773502691896258,0.6666666666666666,0.626976936770404,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,1,1,0
26,sub-07,lh-ventrolateralPFC,0.8461538461538461,0.4803844614152614,0.8181818181818181,0.5015186486294472,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,9,4,0
27,sub-07,lh-ventrolateralPFC,1.0,0.6666666666666666,0.8,0.6108370057124127,Mutual + Linear-SVM,conscious,conscious,False,Image,False,2,2,1,0
