fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-07,rh-inferiortemporal,0.125,-0.6666666666666666,0.0,0.7260167298184966,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,4,4
2,sub-07,rh-inferiortemporal,0.25925925925925924,-0.28867513459481287,0.2857142857142857,0.7555964633571404,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,7,3
3,sub-07,rh-inferiortemporal,0.5277777777777778,0.19245008972987526,0.4444444444444444,0.7027966809769044,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,4,1
4,sub-07,rh-inferiortemporal,0.14285714285714285,-0.5367450401216932,0.16666666666666666,0.7513711592919654,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,6,4
5,sub-07,rh-inferiortemporal,0.43333333333333335,-0.1,0.4000000000000001,0.6962697011201052,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,3
6,sub-07,rh-inferiortemporal,0.20833333333333331,-0.6666666666666666,0.0,0.6991357507481335,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,4,4
7,sub-07,rh-inferiortemporal,0.2222222222222222,-0.3535533905932738,0.2,0.7317350954594334,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,5,3
8,sub-07,rh-inferiortemporal,0.38095238095238093,-0.05143444998736397,0.36363636363636365,0.7163931176780152,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,5,2
9,sub-07,rh-inferiortemporal,0.375,-0.408248290463863,0.22222222222222224,0.6940472245528513,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,4
10,sub-07,rh-inferiortemporal,0.33333333333333337,-0.2,0.37499999999999994,0.7556229420663252,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,7,3
11,sub-07,rh-inferiortemporal,0.08333333333333331,-0.6666666666666666,0.0,0.7158806843441565,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,4,4
