fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-07,rh-lateraloccipital,0.763888888888889,0.408491223118783,0.6666666666666666,0.6416007647518283,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,5,3,2
2,sub-07,rh-lateraloccipital,0.7301587301587301,0.3578300267477955,0.6153846153846153,0.6532000651731628,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,4,3,2
3,sub-07,rh-lateraloccipital,0.6262626262626263,0.30151134457776363,0.6666666666666666,0.6752125584418284,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,7,4,3
4,sub-07,rh-lateraloccipital,0.33333333333333337,-0.11396057645963795,0.375,0.7453314268665548,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,6,4
5,sub-07,rh-lateraloccipital,0.625,0.1690308509457033,0.5333333333333333,0.6719029773381439,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,4,3
6,sub-07,rh-lateraloccipital,0.7654320987654322,0.34188172937891387,0.6250000000000001,0.6538836802383549,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,5,4,2
7,sub-07,rh-lateraloccipital,0.7638888888888888,0.29012942659282975,0.5714285714285715,0.6486359025677053,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,4,4,2
8,sub-07,rh-lateraloccipital,0.7222222222222223,0.15811388300841897,0.4444444444444445,0.6552953787615444,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
9,sub-07,rh-lateraloccipital,0.7222222222222222,0.2777777777777778,0.5,0.6521011103320405,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,2,2,2
10,sub-07,rh-lateraloccipital,0.6222222222222222,0.18856180831641267,0.4444444444444445,0.6652131585070259,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,2,3,2
11,sub-07,rh-lateraloccipital,0.7000000000000001,0.3820465887291705,0.6666666666666665,0.6617021788659615,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,6,4,2
12,sub-07,rh-lateraloccipital,0.7777777777777778,0.37777777777777777,0.6,0.6554772541043319,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,3,2,2
13,sub-07,rh-lateraloccipital,0.46666666666666673,-0.14907119849998599,0.3333333333333333,0.6984798388364201,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,5
14,sub-07,rh-lateraloccipital,0.5888888888888889,0.06900655593423542,0.47058823529411764,0.6917550945306159,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,6,3
15,sub-07,rh-lateraloccipital,0.6262626262626263,0.21212121212121213,0.6,0.6790877244729521,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,6,5,3
16,sub-07,rh-lateraloccipital,0.6222222222222222,0.25819888974716115,0.5454545454545454,0.6805822496920355,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,3
17,sub-07,rh-lateraloccipital,0.7222222222222222,0.32732683535398854,0.6153846153846153,0.6545293385014465,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,2,3
18,sub-07,rh-lateraloccipital,0.5,-0.05455447255899809,0.42857142857142855,0.6874745811058003,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,5
19,sub-07,rh-lateraloccipital,0.12962962962962965,-0.49099025303098287,0.15384615384615383,0.7813139165162892,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,5,6
20,sub-07,rh-lateraloccipital,0.5444444444444444,0.05555555555555555,0.5263157894736842,0.6930057477929887,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,5,5,4
21,sub-07,rh-lateraloccipital,0.5555555555555556,0.15811388300841897,0.4444444444444445,0.683217713429264,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
22,sub-07,rh-lateraloccipital,0.5714285714285714,-0.015873015873015872,0.42857142857142855,0.691430366774469,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,4,4
23,sub-07,rh-lateraloccipital,0.6388888888888888,0.1690308509457033,0.5333333333333333,0.6708687912960677,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,4,3
24,sub-07,rh-lateraloccipital,0.6031746031746033,0.23809523809523808,0.5714285714285714,0.6848687777518528,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,3,3
25,sub-07,rh-lateraloccipital,0.7222222222222222,0.4777777777777778,0.7368421052631577,0.6530152025141739,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,7,3,2
26,sub-07,rh-lateraloccipital,0.6666666666666666,0.15811388300841897,0.4444444444444445,0.6613696342212931,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
27,sub-07,rh-lateraloccipital,0.6888888888888889,0.26666666666666666,0.631578947368421,0.6571542806850523,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,6,4,3
28,sub-07,rh-lateraloccipital,0.38888888888888884,-0.1111111111111111,0.3333333333333333,0.7177263275406197,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,4,4
29,sub-07,rh-lateraloccipital,0.6111111111111112,-0.1336306209562122,0.22222222222222224,0.6733918194617224,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,6
30,sub-07,rh-lateraloccipital,0.5555555555555556,0.0,0.28571428571428575,0.6770649812937118,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,2,3
31,sub-07,rh-lateraloccipital,0.595959595959596,0.30151134457776363,0.6666666666666666,0.6810178361517375,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,7,4,3
32,sub-07,rh-lateraloccipital,0.7083333333333334,0.1690308509457033,0.5333333333333333,0.6636616451572815,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,4,3
33,sub-07,rh-lateraloccipital,0.48888888888888893,-0.04303314829119352,0.3636363636363636,0.6860539555650815,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,4
34,sub-07,rh-lateraloccipital,0.6444444444444445,0.25819888974716115,0.5454545454545454,0.6691903045794451,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,3
35,sub-07,rh-lateraloccipital,0.6666666666666667,0.25819888974716115,0.5454545454545454,0.6677403186509606,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,2,3
36,sub-07,rh-lateraloccipital,0.4444444444444444,-0.18446619684315546,0.22222222222222224,0.6900344745793009,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,3,4
37,sub-07,rh-lateraloccipital,0.7407407407407408,0.32732683535398854,0.6153846153846153,0.6511352160508451,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,2,3
38,sub-07,rh-lateraloccipital,0.7222222222222222,0.15811388300841897,0.4444444444444445,0.667372958870756,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,2,3
39,sub-07,rh-lateraloccipital,0.4814814814814815,0.0,0.28571428571428575,0.6840878742727817,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,2,3
40,sub-07,rh-lateraloccipital,0.6349206349206349,0.23809523809523808,0.5714285714285714,0.6721833818337415,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,3,3
41,sub-07,rh-lateraloccipital,0.4938271604938272,-0.11396057645963795,0.375,0.6994707911437088,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,6,4
42,sub-07,rh-lateraloccipital,0.8518518518518519,0.408248290463863,0.5714285714285715,0.6492881569684162,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,2,1,2
43,sub-07,rh-lateraloccipital,0.5925925925925926,0.11396057645963795,0.5,0.6788375006012273,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,4,5,3
44,sub-07,rh-lateraloccipital,0.8888888888888888,0.5006939628599933,0.6666666666666665,0.6448975352027154,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,3,1,2
45,sub-07,rh-lateraloccipital,0.5,-0.3563483225498992,0.0,0.6791464269469526,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,2,4
46,sub-07,rh-lateraloccipital,0.5333333333333334,0.06666666666666667,0.4000000000000001,0.6851321805764189,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,3,3
47,sub-07,rh-lateraloccipital,0.3888888888888889,-0.2828894749305018,0.2,0.6955480976675543,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,5
48,sub-07,rh-lateraloccipital,0.5079365079365079,-0.1259881576697424,0.39999999999999997,0.6782365532976846,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,4,5
49,sub-07,rh-lateraloccipital,0.625,0.5,0.6666666666666666,0.6675853238585079,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,4,0
50,sub-07,rh-lateraloccipital,0.3214285714285714,-0.38575837490522974,0.2,0.6893903042428309,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,6,2
51,sub-07,rh-lateraloccipital,0.45454545454545453,-0.12309149097933272,0.4705882352941177,0.7072610178413851,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,7,2
52,sub-07,rh-lateraloccipital,0.1111111111111111,-0.5006939628599933,0.2857142857142857,0.7837998588979906,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,7,3
53,sub-07,rh-lateraloccipital,0.40625,-0.11952286093343936,0.4615384615384615,0.6974349094027317,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,5,2
54,sub-07,rh-lateraloccipital,0.5277777777777778,0.18446619684315546,0.5714285714285714,0.6915875160861609,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,5,1
55,sub-07,rh-lateraloccipital,0.59375,0.23904572186687872,0.6153846153846154,0.6784418756884989,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,4,1
56,sub-07,rh-lateraloccipital,0.5,-0.2581988897471611,0.28571428571428575,0.6841203375340388,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
57,sub-07,rh-lateraloccipital,0.375,-0.2581988897471611,0.28571428571428575,0.6851159203765198,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
58,sub-07,rh-lateraloccipital,0.5,0.15811388300841897,0.5,0.688381437018008,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
59,sub-07,rh-lateraloccipital,0.55,0.22821773229381923,0.625,0.6925332194448798,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,5,5,1
60,sub-07,rh-lateraloccipital,0.55,0.15811388300841897,0.5,0.6862065415101306,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
61,sub-07,rh-lateraloccipital,0.2,-0.55,0.22222222222222224,0.7541814322064956,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,4,3
62,sub-07,rh-lateraloccipital,0.32499999999999996,-0.18856180831641267,0.4,0.7284776675415577,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,7,2
