fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,sub-07,rh-superiorfrontal,0.33333333333333337,-0.25,0.25,0.6964459539296233,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
2,sub-07,rh-superiorfrontal,0.2777777777777778,-0.32732683535398854,0.375,0.7643580466049802,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,3,6,4
3,sub-07,rh-superiorfrontal,0.27777777777777785,-0.5773502691896257,0.0,0.7139275466157509,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,6,3
4,sub-07,rh-superiorfrontal,0.19047619047619047,-0.38095238095238093,0.30769230769230765,0.7304238507197695,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,5,4
5,sub-07,rh-superiorfrontal,0.43333333333333335,-0.1,0.4000000000000001,0.6934668181003343,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,3,3
6,sub-07,rh-superiorfrontal,0.375,-0.25,0.25,0.7126218944611677,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
7,sub-07,rh-superiorfrontal,0.2222222222222222,-0.50709255283711,0.1818181818181818,0.7378872819283565,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,5,4
8,sub-07,rh-superiorfrontal,0.380952380952381,-0.38575837490522974,0.18181818181818182,0.7080138423610021,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,6,3
9,sub-07,rh-superiorfrontal,0.4166666666666667,-0.25,0.25,0.684002493780372,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
10,sub-07,rh-superiorfrontal,0.35000000000000003,-0.3133397807202561,0.26666666666666666,0.7271300517536803,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,8,3
11,sub-07,rh-superiorfrontal,0.41666666666666663,-0.25,0.25,0.7155253188943496,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
12,sub-07,rh-superiorfrontal,0.15277777777777776,-0.5,0.2222222222222222,0.7759203319542245,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,10,4
13,sub-07,rh-superiorfrontal,0.4090909090909091,-0.22727272727272727,0.3529411764705882,0.7324034078016419,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,8,3
14,sub-07,rh-superiorfrontal,0.25,-0.408248290463863,0.22222222222222224,0.732314679138057,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,4
15,sub-07,rh-superiorfrontal,0.16666666666666666,-0.50709255283711,0.1818181818181818,0.7393751955308163,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,5,4
16,sub-07,rh-superiorfrontal,0.5666666666666667,0.06900655593423542,0.4444444444444445,0.689592834019276,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,2
17,sub-07,rh-superiorfrontal,0.16666666666666663,-0.47140452079103173,0.0,0.6853943546183185,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,1,4
18,sub-07,rh-superiorfrontal,0.3666666666666667,-0.2,0.37499999999999994,0.7278909467419772,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,7,3
19,sub-07,rh-superiorfrontal,0.33333333333333337,-0.46088240084927024,0.13333333333333333,0.7483820583664835,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,10,3
20,sub-07,rh-superiorfrontal,0.375,-0.25,0.25,0.6907663341006165,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
21,sub-07,rh-superiorfrontal,0.25,-0.5773502691896258,0.0,0.6745454947831109,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,2,4
22,sub-07,rh-superiorfrontal,0.3333333333333333,-0.408248290463863,0.22222222222222224,0.71955763091867,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,4
23,sub-07,rh-superiorfrontal,0.16666666666666666,-0.6666666666666666,0.0,0.7318602781957364,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,4,4
24,sub-07,rh-superiorfrontal,0.23333333333333334,-0.2581988897471611,0.4444444444444445,0.7568696734564851,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,4,6,4
25,sub-07,rh-superiorfrontal,0.25,-0.408248290463863,0.22222222222222224,0.6994235339518784,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,3,4
26,sub-07,rh-superiorfrontal,0.3541666666666667,-0.41079191812887456,0.16666666666666666,0.7325326757031599,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,7,3
27,sub-07,rh-superiorfrontal,0.19444444444444445,-0.3333333333333333,0.3333333333333333,0.7375957996859012,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,4,4
28,sub-07,rh-superiorfrontal,0.3703703703703704,-0.28867513459481287,0.2857142857142857,0.7271304734503615,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,7,3
29,sub-07,rh-superiorfrontal,0.33333333333333337,-0.3535533905932738,0.0,0.6799149370155443,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,1,3
30,sub-07,rh-superiorfrontal,0.32142857142857145,-0.37796447300922725,0.21052631578947364,0.7583702572045643,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,12,3
31,sub-07,rh-superiorfrontal,0.375,-0.25,0.25,0.6946023793802087,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
32,sub-07,rh-superiorfrontal,0.25925925925925924,-0.28867513459481287,0.2857142857142857,0.7496390620638214,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,7,3
33,sub-07,rh-superiorfrontal,0.33333333333333337,-0.41079191812887456,0.16666666666666666,0.731891318307292,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,7,3
34,sub-07,rh-superiorfrontal,0.38095238095238093,-0.21957751641341997,0.3333333333333333,0.7150562451315451,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,5,3
35,sub-07,rh-superiorfrontal,0.25,-0.5773502691896258,0.0,0.681525294453736,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,2,4
36,sub-07,rh-superiorfrontal,0.34848484848484856,-0.22727272727272727,0.3529411764705882,0.7414368599050778,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,8,3
37,sub-07,rh-superiorfrontal,0.375,-0.25,0.25,0.714650330557336,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,3,3
38,sub-07,rh-superiorfrontal,0.4666666666666667,0.06900655593423542,0.4444444444444445,0.6905751366550963,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,3,2
39,sub-07,rh-superiorfrontal,0.33333333333333337,-0.5345224838248488,0.0,0.6885717098059578,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,4,3
40,sub-07,rh-superiorfrontal,0.4666666666666667,-0.3105295017040594,0.22222222222222224,0.691191349670033,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,4,3
41,sub-07,rh-superiorfrontal,0.4375,-0.125,0.42857142857142855,0.7186014808456683,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,5,3
