fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh-inferiorparietal,0.44661458333333337,-0.10418927964135326,0.4421052631578947,0.695774272783218,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
2,01,lh-inferiorparietal,0.5416666666666666,0.14586499149789456,0.5684210526315789,0.6926647385985024,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
3,01,lh-inferiorparietal,0.5434027777777778,-0.02083785592827065,0.4842105263157895,0.6902158314188537,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
4,01,lh-inferiorparietal,0.47482638888888884,0.02083785592827065,0.5052631578947369,0.6946757988560942,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
5,01,lh-inferiorparietal,0.41536458333333337,-0.14586499149789456,0.42105263157894735,0.7090646711698865,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
6,01,lh-inferiorparietal,0.44791666666666663,-0.02083785592827065,0.4842105263157895,0.6947831707749712,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
7,01,lh-inferiorparietal,0.5021701388888888,-0.02083785592827065,0.4842105263157895,0.6936293682745406,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
8,01,lh-inferiorparietal,0.5481770833333334,0.125,0.5625,0.6910570006440961,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
9,01,lh-inferiorparietal,0.5008680555555556,-0.02083785592827065,0.4842105263157895,0.6933263878744427,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
10,01,lh-inferiorparietal,0.49826388888888884,-0.08333333333333333,0.4583333333333333,0.6935153073221777,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
11,01,lh-inferiorparietal,0.44921875,-0.02083785592827065,0.4842105263157895,0.6951634015336219,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
12,01,lh-inferiorparietal,0.44574652777777773,-0.16666666666666666,0.4166666666666667,0.695222762354421,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,20,28,28
13,01,lh-inferiorparietal,0.4926215277777778,-0.10418927964135326,0.4421052631578947,0.6930741336434473,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
14,01,lh-inferiorparietal,0.5703125,0.14586499149789456,0.5684210526315789,0.690086562825753,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
15,01,lh-inferiorparietal,0.4270833333333333,-0.12510864843424485,0.425531914893617,0.7153954382165305,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
16,01,lh-inferiorparietal,0.5147569444444444,0.1668115312456598,0.5744680851063831,0.6978215556585278,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
17,01,lh-inferiorparietal,0.49088541666666663,-0.06251356778481196,0.46315789473684216,0.6932528839585176,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
18,01,lh-inferiorparietal,0.4809027777777778,-0.04170288281141495,0.4680851063829787,0.6988902299802238,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
19,01,lh-inferiorparietal,0.5052083333333334,0.06251356778481196,0.5263157894736842,0.6945482316262604,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
20,01,lh-inferiorparietal,0.45442708333333337,-0.02083785592827065,0.4842105263157895,0.6972400613518551,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
21,01,lh-inferiorparietal,0.5321180555555556,0.10418927964135326,0.5473684210526316,0.6932706721946316,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
22,01,lh-inferiorparietal,0.6028645833333334,0.14586499149789456,0.5684210526315789,0.6876229116982099,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
23,01,lh-inferiorparietal,0.4835069444444445,0.02083785592827065,0.5052631578947369,0.6941925741254571,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
24,01,lh-inferiorparietal,0.5004340277777778,-0.04170288281141495,0.4897959183673469,0.6932335982384261,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,24,24,26
25,01,lh-inferiorparietal,0.59375,0.1668115312456598,0.5744680851063831,0.6906401925447326,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
26,01,lh-inferiorparietal,0.5034722222222222,0.041666666666666664,0.5208333333333334,0.6926870261106233,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
27,01,lh-inferiorparietal,0.4991319444444445,0.02083785592827065,0.5052631578947369,0.6935393367158773,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
28,01,lh-inferiorparietal,0.43098958333333337,-0.02083785592827065,0.4842105263157895,0.7027406722118584,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
29,01,lh-inferiorparietal,0.4839409722222222,-0.02083785592827065,0.4842105263157895,0.6977312533569298,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
30,01,lh-inferiorparietal,0.4427083333333333,-0.12510864843424485,0.425531914893617,0.698814145051586,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
31,01,lh-inferiorparietal,0.5260416666666666,0.125,0.5625,0.6964937273910556,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
32,01,lh-inferiorparietal,0.5073784722222222,0.0,0.48936170212765956,0.693059900096345,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
33,01,lh-inferiorparietal,0.41796875,-0.10418927964135326,0.4421052631578947,0.6954897183271104,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
34,01,lh-inferiorparietal,0.4943576388888889,-0.04170288281141495,0.4680851063829787,0.6937433793311668,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
35,01,lh-inferiorparietal,0.5225694444444444,0.02083785592827065,0.5052631578947369,0.6935513511016936,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
36,01,lh-inferiorparietal,0.4201388888888889,-0.16666666666666666,0.4166666666666667,0.69734959035013,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,20,28,28
37,01,lh-inferiorparietal,0.5625,0.08333333333333333,0.5416666666666666,0.6924335998277416,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
38,01,lh-inferiorparietal,0.5499131944444444,0.06251356778481196,0.5263157894736842,0.6887384284371679,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
39,01,lh-inferiorparietal,0.46310763888888884,0.02083785592827065,0.5052631578947369,0.6961024068650389,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
40,01,lh-inferiorparietal,0.3962673611111111,-0.20851441405707477,0.3829787234042554,0.719375685735853,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,18,30,28
41,01,lh-inferiorparietal,0.5403645833333334,0.06251356778481196,0.5263157894736842,0.691721521629511,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
42,01,lh-inferiorparietal,0.51171875,-0.02083785592827065,0.4842105263157895,0.6927626669225703,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
43,01,lh-inferiorparietal,0.5776909722222222,0.10418927964135326,0.5473684210526316,0.6912116568745131,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
44,01,lh-inferiorparietal,0.4184027777777778,-0.06251356778481196,0.46315789473684216,0.6971200177147504,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
45,01,lh-inferiorparietal,0.48133680555555564,0.0,0.48936170212765956,0.6951818375927635,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
46,01,lh-inferiorparietal,0.4756944444444444,-0.10418927964135326,0.4421052631578947,0.6941587249752473,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
47,01,lh-inferiorparietal,0.5438368055555555,0.10418927964135326,0.5473684210526316,0.6915499281154474,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
48,01,lh-inferiorparietal,0.4348958333333333,-0.06251356778481196,0.46315789473684216,0.699273379550986,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
49,01,lh-inferiorparietal,0.5234375,0.02083785592827065,0.5052631578947369,0.691839640389491,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
50,01,lh-inferiorparietal,0.4240451388888889,-0.06251356778481196,0.46315789473684216,0.7052793675639428,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
51,01,lh-inferiorparietal,0.579861111111111,0.0834057656228299,0.5319148936170214,0.6910358358213964,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
52,01,lh-inferiorparietal,0.4366319444444444,-0.18754070335443587,0.39999999999999997,0.6964011387327464,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
53,01,lh-inferiorparietal,0.53125,0.04170288281141495,0.5106382978723404,0.6924710020880509,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
54,01,lh-inferiorparietal,0.5512152777777778,0.125,0.5625,0.6914047217547998,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
55,01,lh-inferiorparietal,0.5681423611111112,0.1668115312456598,0.5744680851063831,0.6886546900579219,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
56,01,lh-inferiorparietal,0.48220486111111116,0.06251356778481196,0.5263157894736842,0.6989382961339192,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
57,01,lh-inferiorparietal,0.5134548611111112,0.10418927964135326,0.5473684210526316,0.6949087268856594,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
58,01,lh-inferiorparietal,0.4830729166666667,0.02083785592827065,0.5052631578947369,0.694791797121658,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
59,01,lh-inferiorparietal,0.6245659722222222,0.12510864843424485,0.5531914893617021,0.6848696881603141,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
60,01,lh-inferiorparietal,0.5985243055555556,0.10418927964135326,0.5473684210526316,0.6876948246976555,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
61,01,lh-inferiorparietal,0.44010416666666663,-0.06251356778481196,0.46315789473684216,0.6981715421131441,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
62,01,lh-inferiorparietal,0.5685763888888888,0.14586499149789456,0.5684210526315789,0.6915168075686262,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
63,01,lh-inferiorparietal,0.6714409722222222,0.25,0.625,0.6877753580738961,None + Linear-SVM,unconscious,unconscious,False,Image,False,30,30,18,18
64,01,lh-inferiorparietal,0.4014756944444444,-0.06251356778481196,0.46315789473684216,0.6982476116392204,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
65,01,lh-inferiorparietal,0.49088541666666674,-0.0834057656228299,0.44680851063829785,0.6934319193312669,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
66,01,lh-inferiorparietal,0.4114583333333333,-0.10418927964135326,0.4421052631578947,0.6978298099598302,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
67,01,lh-inferiorparietal,0.592013888888889,0.18754070335443587,0.5894736842105263,0.6896761716958251,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
68,01,lh-inferiorparietal,0.4748263888888889,0.0,0.5,0.6956842527346486,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
69,01,lh-inferiorparietal,0.58203125,0.14586499149789456,0.5684210526315789,0.691252742592423,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
70,01,lh-inferiorparietal,0.4813368055555556,-0.041666666666666664,0.4791666666666667,0.6977846637413174,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
71,01,lh-inferiorparietal,0.5464409722222222,0.02083785592827065,0.5052631578947369,0.6895646160951259,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
72,01,lh-inferiorparietal,0.4778645833333333,-0.06251356778481196,0.46315789473684216,0.7013153369563735,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
73,01,lh-inferiorparietal,0.5078125,0.02083785592827065,0.5052631578947369,0.692606090544729,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
74,01,lh-inferiorparietal,0.4544270833333333,-0.12510864843424485,0.425531914893617,0.696625667017788,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
75,01,lh-inferiorparietal,0.5008680555555556,0.06251356778481196,0.5263157894736842,0.6944140868367276,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
76,01,lh-inferiorparietal,0.4605034722222222,-0.06251356778481196,0.46315789473684216,0.7006522897497893,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
77,01,lh-inferiorparietal,0.4197048611111111,-0.12510864843424485,0.425531914893617,0.7000686486904876,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
78,01,lh-inferiorparietal,0.3980034722222222,-0.10418927964135326,0.4421052631578947,0.6978490624777235,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
79,01,lh-inferiorparietal,0.5490451388888888,0.18754070335443587,0.5894736842105263,0.6923489061207425,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
80,01,lh-inferiorparietal,0.43489583333333326,-0.04170288281141495,0.4897959183673469,0.7021812551635741,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,24,24,26
81,01,lh-inferiorparietal,0.5464409722222221,0.06251356778481196,0.5263157894736842,0.69225887979009,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
