fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-lingual,0.5243055555555556,0.0834057656228299,0.5319148936170214,0.6920114233676773,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
2,01,rh-lingual,0.5225694444444444,0.02083785592827065,0.5154639175257733,0.6926670526855072,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,25,23,24
3,01,rh-lingual,0.5703125,0.18754070335443587,0.5979381443298969,0.690485332959693,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,29,19,20
4,01,rh-lingual,0.548611111111111,0.10418927964135326,0.5473684210526316,0.6920188227645189,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
5,01,rh-lingual,0.5034722222222222,0.02083785592827065,0.5052631578947369,0.6942140039829802,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
6,01,rh-lingual,0.4930555555555555,0.0,0.48936170212765956,0.6952620178376213,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
7,01,rh-lingual,0.4205729166666667,-0.125,0.4375,0.6999733913409286,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
8,01,rh-lingual,0.515625,-0.04170288281141495,0.4680851063829787,0.6925599272910921,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
9,01,rh-lingual,0.5494791666666666,0.0834057656228299,0.5319148936170214,0.6916151577789487,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
10,01,rh-lingual,0.5004340277777778,-0.02083785592827065,0.4842105263157895,0.697277915274209,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
11,01,rh-lingual,0.5442708333333334,-0.02083785592827065,0.4842105263157895,0.6902151011344166,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
12,01,rh-lingual,0.4010416666666667,-0.125,0.4375,0.7012214020102553,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
13,01,rh-lingual,0.5117187500000001,0.06251356778481196,0.5263157894736842,0.6943065012174822,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
14,01,rh-lingual,0.4722222222222223,-0.10418927964135326,0.4421052631578947,0.6964031259036331,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
15,01,rh-lingual,0.5672743055555555,0.06251356778481196,0.5263157894736842,0.6877129438947597,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
16,01,rh-lingual,0.5381944444444444,0.06251356778481196,0.5263157894736842,0.6924865599123319,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
17,01,rh-lingual,0.45095486111111105,-0.06251356778481196,0.46315789473684216,0.6986311291605724,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
18,01,rh-lingual,0.47309027777777773,-0.02083785592827065,0.4842105263157895,0.6955292381543874,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
19,01,rh-lingual,0.4900173611111111,-0.0834057656228299,0.44680851063829785,0.6932654750852559,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
20,01,rh-lingual,0.5177951388888888,0.041666666666666664,0.5208333333333334,0.6929553804958108,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
21,01,rh-lingual,0.4353298611111111,-0.06251356778481196,0.46315789473684216,0.6974703774686776,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
22,01,rh-lingual,0.6475694444444444,0.18754070335443587,0.5894736842105263,0.6850162605989013,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
23,01,rh-lingual,0.5607638888888888,0.12510864843424485,0.5531914893617021,0.6911978162170271,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,26,22,20
24,01,rh-lingual,0.4748263888888889,-0.06251356778481196,0.46315789473684216,0.6940982733238803,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
25,01,rh-lingual,0.5208333333333333,-0.02083785592827065,0.4948453608247423,0.6943017035951492,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,24,24,25
26,01,rh-lingual,0.4296875,-0.12510864843424485,0.425531914893617,0.7025630643527302,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
27,01,rh-lingual,0.4969618055555555,0.0,0.5,0.6946727881431288,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
