fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-pericalcarine,0.43098958333333337,-0.10418927964135326,0.4421052631578947,0.7101181296340107,None + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,27,26
2,01,rh-pericalcarine,0.5542534722222222,0.06251356778481196,0.5263157894736842,0.6879140349901044,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,23,22
3,01,rh-pericalcarine,0.6458333333333334,0.20833333333333334,0.6041666666666666,0.6863225177389897,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,19,19
4,01,rh-pericalcarine,0.5690104166666666,0.12510864843424485,0.5531914893617021,0.6896435687495375,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,22,20
5,01,rh-pericalcarine,0.6111111111111112,0.22921641521097716,0.6105263157894737,0.6830037932864785,None + Linear-SVM,glimpse,glimpse,False,Image,False,30,29,19,18
6,01,rh-pericalcarine,0.5633680555555556,0.10418927964135326,0.5473684210526316,0.6873294087107293,None + Linear-SVM,glimpse,glimpse,False,Image,False,27,26,22,21
7,01,rh-pericalcarine,0.6223958333333334,0.08333333333333333,0.5416666666666666,0.6823452462269612,None + Linear-SVM,glimpse,glimpse,False,Image,False,26,26,22,22
8,01,rh-pericalcarine,0.5143229166666667,0.02083785592827065,0.5052631578947369,0.695190311341603,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,24,23
9,01,rh-pericalcarine,0.5755208333333335,0.20833333333333334,0.6041666666666666,0.6898797686172906,None + Linear-SVM,glimpse,glimpse,False,Image,False,29,29,19,19
10,01,rh-pericalcarine,0.5789930555555556,0.18786728732554484,0.5806451612903225,0.6858502376972023,None + Linear-SVM,glimpse,glimpse,False,Image,False,30,27,21,18
11,01,rh-pericalcarine,0.5052083333333333,0.10437071518085823,0.5376344086021506,0.6998425954575498,None + Linear-SVM,glimpse,glimpse,False,Image,False,28,25,23,20
12,01,rh-pericalcarine,0.556423611111111,0.02083785592827065,0.5154639175257733,0.6884554656673577,None + Linear-SVM,glimpse,glimpse,False,Image,False,24,25,23,24
13,01,rh-pericalcarine,0.4891493055555556,0.0,0.48936170212765956,0.7156046444351053,None + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,25,23
