fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh-superiorfrontal,0.44140624999999994,-0.06251356778481196,0.46315789473684216,0.6971564666978178,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
2,01,rh-superiorfrontal,0.546875,0.02083785592827065,0.5052631578947369,0.6906812064774813,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
3,01,rh-superiorfrontal,0.4292534722222222,-0.10418927964135326,0.4421052631578947,0.6975826406536277,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
4,01,rh-superiorfrontal,0.5881076388888888,0.14586499149789456,0.5684210526315789,0.6900109054198076,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
5,01,rh-superiorfrontal,0.46484375,-0.125,0.4375,0.6954596926978551,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
6,01,rh-superiorfrontal,0.5607638888888888,0.08333333333333333,0.5416666666666666,0.6914259980540182,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
7,01,rh-superiorfrontal,0.5763888888888888,0.02083785592827065,0.5052631578947369,0.6877229996444688,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
8,01,rh-superiorfrontal,0.4787326388888889,0.04170288281141495,0.5106382978723404,0.6990212991638861,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
9,01,rh-superiorfrontal,0.4123263888888889,-0.14586499149789456,0.42105263157894735,0.7033312896785988,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
10,01,rh-superiorfrontal,0.47222222222222227,0.0,0.5,0.6972319995395438,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
11,01,rh-superiorfrontal,0.4908854166666667,-0.041666666666666664,0.4791666666666667,0.6930872984299222,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
12,01,rh-superiorfrontal,0.5190972222222223,-0.06251356778481196,0.4742268041237114,0.6927076127023812,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,23,25,26
13,01,rh-superiorfrontal,0.4761284722222222,-0.020874143036171647,0.4731182795698925,0.6946820349655246,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,22,26,23
14,01,rh-superiorfrontal,0.5047743055555556,0.14586499149789456,0.5684210526315789,0.6941892162209665,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
15,01,rh-superiorfrontal,0.43532986111111105,-0.10418927964135326,0.4421052631578947,0.7007780592092093,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
16,01,rh-superiorfrontal,0.5594618055555555,0.14586499149789456,0.5684210526315789,0.6917008519021614,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
17,01,rh-superiorfrontal,0.49479166666666663,-0.04170288281141495,0.4680851063829787,0.6959999888001684,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
18,01,rh-superiorfrontal,0.43793402777777773,-0.14586499149789456,0.42105263157894735,0.6955291527882516,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
19,01,rh-superiorfrontal,0.4878472222222222,-0.06251356778481196,0.46315789473684216,0.6934913356304956,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
20,01,rh-superiorfrontal,0.5924479166666667,0.0834057656228299,0.5319148936170214,0.6895746387977072,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
21,01,rh-superiorfrontal,0.4730902777777778,-0.02083785592827065,0.4842105263157895,0.6941798451125223,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
22,01,rh-superiorfrontal,0.5716145833333333,0.14586499149789456,0.5684210526315789,0.6899124960509088,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
23,01,rh-superiorfrontal,0.6315104166666667,0.14586499149789456,0.5684210526315789,0.6880587097776836,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
24,01,rh-superiorfrontal,0.47395833333333326,0.02083785592827065,0.5052631578947369,0.69372903452585,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
25,01,rh-superiorfrontal,0.4296875,-0.041666666666666664,0.4791666666666667,0.7060227305452632,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
26,01,rh-superiorfrontal,0.572482638888889,0.08333333333333333,0.5416666666666666,0.690571260234308,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
27,01,rh-superiorfrontal,0.3893229166666667,-0.10418927964135326,0.4421052631578947,0.7028593647630039,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
28,01,rh-superiorfrontal,0.5069444444444444,0.08362420100070908,0.5217391304347826,0.6973918009801502,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,24,24,20
29,01,rh-superiorfrontal,0.5078125,0.02083785592827065,0.5052631578947369,0.6938442601486449,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
30,01,rh-superiorfrontal,0.3728298611111111,-0.2708921270675185,0.35789473684210527,0.7015972187319274,None + Linear-SVM,unconscious,unconscious,False,Image,False,18,17,31,30
31,01,rh-superiorfrontal,0.40842013888888884,-0.12510864843424485,0.425531914893617,0.7033140429946682,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
32,01,rh-superiorfrontal,0.4817708333333333,-0.02083785592827065,0.4842105263157895,0.6941645075507846,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
33,01,rh-superiorfrontal,0.5125868055555556,0.041666666666666664,0.5208333333333334,0.694707462604298,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
34,01,rh-superiorfrontal,0.4539930555555555,-0.10418927964135326,0.4421052631578947,0.6963220459946583,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
35,01,rh-superiorfrontal,0.45703124999999994,-0.04170288281141495,0.4680851063829787,0.6946658503424387,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
36,01,rh-superiorfrontal,0.43229166666666663,-0.14586499149789456,0.42105263157894735,0.6962244845135565,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
37,01,rh-superiorfrontal,0.34765625,-0.22921641521097716,0.37894736842105264,0.707667470218733,None + Linear-SVM,unconscious,unconscious,False,Image,False,19,18,30,29
38,01,rh-superiorfrontal,0.39583333333333337,-0.08333333333333333,0.4583333333333333,0.6997456802882692,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,22,26,26
39,01,rh-superiorfrontal,0.4522569444444445,-0.02083785592827065,0.4842105263157895,0.696901100709188,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
40,01,rh-superiorfrontal,0.4665798611111111,-0.125,0.4375,0.6939489634206432,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
41,01,rh-superiorfrontal,0.44661458333333337,-0.12510864843424485,0.425531914893617,0.7053303164033281,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,20,28,26
42,01,rh-superiorfrontal,0.5060763888888888,0.02083785592827065,0.5154639175257733,0.6937522606630276,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,25,23,24
43,01,rh-superiorfrontal,0.45616319444444436,-0.04170288281141495,0.4680851063829787,0.6997084411818245,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
44,01,rh-superiorfrontal,0.4058159722222222,-0.2090605025017727,0.3695652173913044,0.6991721903984143,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,17,31,27
45,01,rh-superiorfrontal,0.4236111111111111,-0.06262242910851494,0.45161290322580644,0.6951593686357923,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,21,27,24
46,01,rh-superiorfrontal,0.4848090277777778,0.02083785592827065,0.5052631578947369,0.6936152958419671,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
47,01,rh-superiorfrontal,0.4752604166666667,-0.04170288281141495,0.4680851063829787,0.6954411991318225,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,22,26,24
48,01,rh-superiorfrontal,0.39800347222222227,-0.14586499149789456,0.42105263157894735,0.7028025845804821,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
49,01,rh-superiorfrontal,0.55859375,0.125,0.5625,0.6891746231165786,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
50,01,rh-superiorfrontal,0.46527777777777773,-0.02083785592827065,0.4842105263157895,0.6971345384370462,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
51,01,rh-superiorfrontal,0.4657118055555555,-0.02083785592827065,0.4842105263157895,0.6953137628963488,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
52,01,rh-superiorfrontal,0.5225694444444444,0.0,0.5,0.6928448276478513,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
53,01,rh-superiorfrontal,0.4509548611111111,-0.14586499149789456,0.42105263157894735,0.6944280395618856,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,20,28,27
54,01,rh-superiorfrontal,0.4991319444444445,-0.02083785592827065,0.4842105263157895,0.6970889169839394,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
55,01,rh-superiorfrontal,0.4092881944444444,-0.10418927964135326,0.4421052631578947,0.7022223342063052,None + Linear-SVM,unconscious,unconscious,False,Image,False,22,21,27,26
56,01,rh-superiorfrontal,0.4826388888888889,-0.041666666666666664,0.4791666666666667,0.6981062206863298,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
57,01,rh-superiorfrontal,0.5247395833333334,0.04170288281141495,0.5106382978723404,0.691692559166483,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
58,01,rh-superiorfrontal,0.4921875,0.041666666666666664,0.5208333333333334,0.6947217496441422,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
59,01,rh-superiorfrontal,0.5013020833333333,0.06251356778481196,0.5263157894736842,0.6940349453093262,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
60,01,rh-superiorfrontal,0.39973958333333337,-0.18786728732554484,0.38709677419354843,0.7141253337273653,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,18,30,27
61,01,rh-superiorfrontal,0.5008680555555556,0.06251356778481196,0.5263157894736842,0.6931206195646998,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
62,01,rh-superiorfrontal,0.4644097222222222,-0.0834057656228299,0.44680851063829785,0.6966524711158201,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
63,01,rh-superiorfrontal,0.4353298611111111,-0.18754070335443587,0.39999999999999997,0.6953107576700811,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
64,01,rh-superiorfrontal,0.5147569444444445,0.02083785592827065,0.5052631578947369,0.6947880776705205,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
65,01,rh-superiorfrontal,0.5234375,-0.02083785592827065,0.4842105263157895,0.6915719948000415,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
66,01,rh-superiorfrontal,0.517795138888889,0.02083785592827065,0.5052631578947369,0.6919782735381027,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
67,01,rh-superiorfrontal,0.4848090277777778,0.14586499149789456,0.5684210526315789,0.6948650961044608,None + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
68,01,rh-superiorfrontal,0.5377604166666666,0.10418927964135326,0.5473684210526316,0.6918332334756098,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
69,01,rh-superiorfrontal,0.45963541666666663,0.02083785592827065,0.5052631578947369,0.6988561093638967,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
70,01,rh-superiorfrontal,0.5581597222222223,0.08333333333333333,0.5416666666666666,0.6900710406354928,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
71,01,rh-superiorfrontal,0.5629340277777778,0.10418927964135326,0.5473684210526316,0.6902013805886634,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
72,01,rh-superiorfrontal,0.4956597222222222,0.041666666666666664,0.5208333333333334,0.6978524865933476,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
73,01,rh-superiorfrontal,0.4921875,-0.02083785592827065,0.4842105263157895,0.6935409116528103,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
74,01,rh-superiorfrontal,0.4631076388888889,0.0,0.48936170212765956,0.6941325163865839,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
75,01,rh-superiorfrontal,0.47916666666666663,-0.06251356778481196,0.46315789473684216,0.7033584000842916,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
76,01,rh-superiorfrontal,0.5108506944444444,0.125,0.5625,0.6953324465179914,None + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
77,01,rh-superiorfrontal,0.4796006944444444,0.0,0.48936170212765956,0.6940716897248033,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
