fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh_fusif,0.8142292490118577,0.42292490118577075,0.711111111111111,0.5355484652605934,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
2,01,lh_fusif,0.799407114624506,0.444554224474387,0.7252747252747253,0.5415549188719876,None + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,12
3,01,lh_fusif,0.7791501976284585,0.42292490118577075,0.711111111111111,0.578793047166129,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
4,01,lh_fusif,0.7905138339920948,0.4000988020269483,0.7032967032967032,0.549867708159096,None + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
5,01,lh_fusif,0.8374505928853755,0.5553359683794467,0.782608695652174,0.513068623927564,None + Linear-SVM,conscious,conscious,False,Image,False,34,36,10,10
6,01,lh_fusif,0.8626482213438735,0.5330038548723448,0.7741935483870968,0.4761531266103923,None + Linear-SVM,conscious,conscious,False,Image,False,33,36,10,11
7,01,lh_fusif,0.841403162055336,0.4904822115337347,0.7415730337078652,0.510657188870735,None + Linear-SVM,conscious,conscious,False,Image,False,34,33,13,10
8,01,lh_fusif,0.7949604743083004,0.42193675889328064,0.717391304347826,0.5510302851516657,None + Linear-SVM,conscious,conscious,False,Image,False,31,33,13,13
9,01,lh_fusif,0.8354743083003953,0.5108695652173914,0.7608695652173914,0.5170318951793005,None + Linear-SVM,conscious,conscious,False,Image,False,33,35,11,11
10,01,lh_fusif,0.8142292490118577,0.4673913043478261,0.7333333333333332,0.5347405518799125,None + Linear-SVM,conscious,conscious,False,Image,False,33,33,13,11
11,01,lh_fusif,0.783596837944664,0.42292490118577075,0.711111111111111,0.5757063050539697,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
12,01,lh_fusif,0.8468379446640316,0.4673913043478261,0.7333333333333332,0.5023170175508229,None + Linear-SVM,conscious,conscious,False,Image,False,33,33,13,11
13,01,lh_fusif,0.8557312252964427,0.6007905138339921,0.8,0.4994994531595586,None + Linear-SVM,conscious,conscious,False,Image,False,36,36,10,8
14,01,lh_fusif,0.8083003952569169,0.48900964692182575,0.7472527472527473,0.5298710969896766,None + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,11
15,01,lh_fusif,0.8043478260869565,0.42292490118577075,0.711111111111111,0.5502604753239676,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
16,01,lh_fusif,0.8063241106719368,0.5779204918167031,0.7912087912087912,0.5652378940859802,None + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,9
17,01,lh_fusif,0.83399209486166,0.48900964692182575,0.7472527472527473,0.5013282726683119,None + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,11
18,01,lh_fusif,0.8290513833992095,0.3784584980237154,0.688888888888889,0.5182187161789777,None + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
19,01,lh_fusif,0.7603754940711462,0.3339920948616601,0.6666666666666666,0.5899641270274355,None + Linear-SVM,conscious,conscious,False,Image,False,30,30,16,14
20,01,lh_fusif,0.8176877470355731,0.5118577075098815,0.7555555555555555,0.5321737451959778,None + Linear-SVM,conscious,conscious,False,Image,False,34,34,12,10
21,01,lh_fusif,0.8038537549407114,0.42292490118577075,0.711111111111111,0.5531854391258281,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
22,01,lh_fusif,0.8349802371541502,0.5334650693692644,0.7692307692307693,0.5107680357529399,None + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
23,01,lh_fusif,0.7737154150197628,0.42292490118577075,0.711111111111111,0.5745672926920897,None + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
24,01,lh_fusif,0.799407114624506,0.35564337957950964,0.6813186813186812,0.5227356111643057,None + Linear-SVM,conscious,conscious,False,Image,False,30,31,15,14
25,01,lh_fusif,0.8616600790513833,0.48900964692182575,0.7472527472527473,0.48380957139943614,None + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,11
26,01,lh_fusif,0.8468379446640316,0.5563241106719368,0.7777777777777778,0.5017569158593289,None + Linear-SVM,conscious,conscious,False,Image,False,35,35,11,9
27,01,lh_fusif,0.8404150197628458,0.5118577075098815,0.7555555555555555,0.5217042026839481,None + Linear-SVM,conscious,conscious,False,Image,False,34,34,12,10
28,01,lh_fusif,0.7929841897233202,0.4000988020269483,0.7032967032967032,0.5501926364015296,None + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
29,01,lh_fusif,0.8330039525691699,0.5334650693692644,0.7692307692307693,0.5122427026649936,None + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
30,01,lh_fusif,0.841897233201581,0.5779204918167031,0.7912087912087912,0.518289548256073,None + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,9
31,01,lh_fusif,0.849802371541502,0.5563241106719368,0.7777777777777778,0.4985779333266943,None + Linear-SVM,conscious,conscious,False,Image,False,35,35,11,9
32,01,lh_fusif,0.8641304347826086,0.6007905138339921,0.8,0.48489188564228886,None + Linear-SVM,conscious,conscious,False,Image,False,36,36,10,8
33,01,lh_fusif,0.7776679841897233,0.380198765217406,0.6818181818181819,0.5632924317070132,None + Linear-SVM,conscious,conscious,False,Image,False,32,30,16,12
