fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh_infpar,0.7425889328063241,0.4000988020269483,0.7032967032967032,0.5907286868871175,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
2,01,lh_infpar,0.7490118577075099,0.42193675889328064,0.717391304347826,0.597603350077036,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,33,13,13
3,01,lh_infpar,0.7238142292490118,0.3339920948616601,0.6666666666666666,0.6109155593481843,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,30,16,14
4,01,lh_infpar,0.7450592885375494,0.4014834231505974,0.6966292134831461,0.6138490514662073,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,31,15,12
5,01,lh_infpar,0.6818181818181819,0.3784584980237154,0.688888888888889,0.670277146448896,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
6,01,lh_infpar,0.7504940711462451,0.4014834231505974,0.6966292134831461,0.6060153881586914,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,31,15,12
7,01,lh_infpar,0.7050395256916996,0.28952569169960474,0.6444444444444444,0.6295453958459521,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
8,01,lh_infpar,0.7154150197628458,0.33564422241849123,0.6590909090909092,0.628550443684372,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,29,17,13
9,01,lh_infpar,0.6837944664031621,0.178986452192754,0.5842696629213482,0.6420460471905751,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,27,26,20,17
10,01,lh_infpar,0.7267786561264822,0.35564337957950964,0.6813186813186812,0.6184174091781485,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,31,15,14
11,01,lh_infpar,0.6798418972332017,0.314408323929784,0.6436781609195402,0.6485693592554054,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,28,18,13
12,01,lh_infpar,0.7094861660079052,0.2450592885375494,0.6222222222222223,0.6288480538261395,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
13,01,lh_infpar,0.7855731225296442,0.466403162055336,0.7391304347826085,0.5665568474015614,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,34,12,12
14,01,lh_infpar,0.75,0.3784584980237154,0.688888888888889,0.6104579085122398,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
15,01,lh_infpar,0.6744071146245059,0.26798524057589135,0.6292134831460675,0.6371828278551448,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,28,18,15
16,01,lh_infpar,0.6926877470355731,0.2450592885375494,0.6222222222222223,0.6347191278161717,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
17,01,lh_infpar,0.6195652173913044,0.2450592885375494,0.6222222222222223,0.6789846314526643,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
18,01,lh_infpar,0.616600790513834,0.15612648221343872,0.5777777777777778,0.7237417122161572,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
19,01,lh_infpar,0.7292490118577076,0.4014834231505974,0.6966292134831461,0.6132499731625585,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,31,15,12
20,01,lh_infpar,0.7124505928853755,0.3784584980237154,0.688888888888889,0.630568270450542,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
21,01,lh_infpar,0.7198616600790514,0.3774703557312253,0.6956521739130435,0.6252714346013233,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,32,14,14
22,01,lh_infpar,0.691205533596838,0.2450592885375494,0.6222222222222223,0.6329225014711793,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
23,01,lh_infpar,0.7020750988142292,0.28952569169960474,0.6444444444444444,0.6212484920127127,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
24,01,lh_infpar,0.7751976284584979,0.42292490118577075,0.711111111111111,0.5849420597695608,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
25,01,lh_infpar,0.7539525691699605,0.3784584980237154,0.688888888888889,0.5918803733143284,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
26,01,lh_infpar,0.7445652173913043,0.4014834231505974,0.6966292134831461,0.6007738419440409,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,31,15,12
27,01,lh_infpar,0.7208498023715415,0.35564337957950964,0.6813186813186812,0.6270841919022002,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,31,15,14
28,01,lh_infpar,0.7099802371541502,0.28952569169960474,0.6444444444444444,0.6233518424395735,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
29,01,lh_infpar,0.7425889328063241,0.3995056722976388,0.7096774193548387,0.6101952416556623,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,33,13,14
30,01,lh_infpar,0.6590909090909091,0.28952569169960474,0.6444444444444444,0.6769982480500442,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
31,01,lh_infpar,0.6986166007905139,0.28952569169960474,0.6444444444444444,0.663051951665558,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
32,01,lh_infpar,0.7322134387351779,0.3774703557312253,0.6956521739130435,0.5958918023292931,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,32,14,14
33,01,lh_infpar,0.6842885375494071,0.28952569169960474,0.6444444444444444,0.6530407670506643,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
34,01,lh_infpar,0.7317193675889329,0.444554224474387,0.7252747252747253,0.6197278999362217,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,12
35,01,lh_infpar,0.6877470355731226,0.2450592885375494,0.6222222222222223,0.6307999987565576,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,28,28,18,16
36,01,lh_infpar,0.7455533596837944,0.2667325346846322,0.6373626373626373,0.5962112234631751,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,28,29,17,16
37,01,lh_infpar,0.7648221343873518,0.3784584980237154,0.688888888888889,0.5819096305718703,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
38,01,lh_infpar,0.6798418972332015,0.26798524057589135,0.6292134831460675,0.6588708386212886,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,28,18,15
39,01,lh_infpar,0.6729249011857706,0.20059288537549408,0.6,0.6517852811657422,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
40,01,lh_infpar,0.7910079051383399,0.4673913043478261,0.7333333333333332,0.5672837378029493,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,33,33,13,11
41,01,lh_infpar,0.5800395256916997,0.11166007905138339,0.5555555555555556,0.7859639228114664,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
42,01,lh_infpar,0.7277667984189724,0.42292490118577075,0.711111111111111,0.6069296110905333,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
43,01,lh_infpar,0.6842885375494071,0.28952569169960474,0.6444444444444444,0.6493761337349565,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
44,01,lh_infpar,0.7396245059288538,0.42292490118577075,0.711111111111111,0.5996280189745451,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
45,01,lh_infpar,0.783596837944664,0.42292490118577075,0.711111111111111,0.5733864326602985,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
46,01,lh_infpar,0.8191699604743082,0.42292490118577075,0.711111111111111,0.5306409244750139,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,32,14,12
47,01,lh_infpar,0.7470355731225296,0.3339920948616601,0.6666666666666666,0.5911430775597231,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,30,16,14
48,01,lh_infpar,0.682806324110672,0.28952569169960474,0.6444444444444444,0.6413031817864775,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,29,17,15
49,01,lh_infpar,0.6788537549407115,0.17782168978975482,0.5934065934065934,0.6455041388227527,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,18
50,01,lh_infpar,0.7139328063241107,0.3339920948616601,0.6666666666666666,0.6268332134875376,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,30,16,14
51,01,lh_infpar,0.7924901185770751,0.444554224474387,0.7252747252747253,0.570587838679848,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,33,13,12
52,01,lh_infpar,0.7208498023715414,0.2885375494071146,0.6521739130434783,0.6183422330754443,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,28,30,16,16
53,01,lh_infpar,0.7524703557312253,0.4000988020269483,0.7032967032967032,0.5990056511775078,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
54,01,lh_infpar,0.6640316205533597,0.17782168978975482,0.5934065934065934,0.6680616246564515,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,27,19,18
55,01,lh_infpar,0.6921936758893281,0.2465351368206617,0.6136363636363638,0.6438881948465134,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,27,19,15
56,01,lh_infpar,0.799407114624506,0.561640208069328,0.7674418604651162,0.5698220904161578,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,37,33,13,7
57,01,lh_infpar,0.8028656126482213,0.49293670975742165,0.7356321839080461,0.5445272683463839,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,35,32,14,9
58,01,lh_infpar,0.6161067193675889,0.15612648221343872,0.5777777777777778,0.6824264374061562,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
59,01,lh_infpar,0.7682806324110673,0.44598281734216605,0.7191011235955057,0.5873787431567726,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,33,32,14,11
60,01,lh_infpar,0.7692687747035573,0.35564337957950964,0.6813186813186812,0.580943755721171,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,31,15,14
61,01,lh_infpar,0.7401185770750989,0.3784584980237154,0.688888888888889,0.6092783733475997,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
62,01,lh_infpar,0.70899209486166,0.3111879571320709,0.6593406593406593,0.6395620933459961,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,29,30,16,15
63,01,lh_infpar,0.8102766798418972,0.5118577075098815,0.7555555555555555,0.5416337650280563,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,34,34,12,10
64,01,lh_infpar,0.6492094861660079,0.20059288537549408,0.6,0.6855355898640515,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,27,27,19,17
65,01,lh_infpar,0.7514822134387352,0.3784584980237154,0.688888888888889,0.5972821154834286,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
66,01,lh_infpar,0.7292490118577076,0.35564337957950964,0.6813186813186812,0.6032543149156006,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,30,31,15,14
