fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh_middlefrontal,0.5234375,0.0,0.48936170212765956,0.6923872409165049,None + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
2,01,lh_middlefrontal,0.5416666666666667,0.06251356778481196,0.5263157894736842,0.6906810612932097,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
3,01,lh_middlefrontal,0.3732638888888889,-0.18754070335443587,0.39999999999999997,0.6964965567905405,None + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
4,01,lh_middlefrontal,0.4969618055555556,-0.02083785592827065,0.4842105263157895,0.7016367222088308,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
5,01,lh_middlefrontal,0.4509548611111111,-0.06251356778481196,0.46315789473684216,0.7014655879562545,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
6,01,lh_middlefrontal,0.5078125,0.06251356778481196,0.5263157894736842,0.6934914475000366,None + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
7,01,lh_middlefrontal,0.4448784722222222,-0.02083785592827065,0.4842105263157895,0.7047816785718699,None + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
8,01,lh_middlefrontal,0.4461805555555556,-0.0834057656228299,0.44680851063829785,0.6945566858322998,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,21,27,25
9,01,lh_middlefrontal,0.61328125,0.1668115312456598,0.5744680851063831,0.6868429487332962,None + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
10,01,lh_middlefrontal,0.45442708333333337,-0.125,0.4375,0.7115219146227858,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
11,01,lh_middlefrontal,0.4440104166666667,-0.125,0.4375,0.6996319771568668,None + Linear-SVM,unconscious,unconscious,False,Image,False,21,21,27,27
12,01,lh_middlefrontal,0.5008680555555556,-0.06251356778481196,0.46315789473684216,0.6934700435209424,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
13,01,lh_middlefrontal,0.4809027777777778,-0.02083785592827065,0.4948453608247423,0.6990170116742892,None + Linear-SVM,unconscious,unconscious,False,Image,False,23,24,24,25
