fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh_sfrontal,0.4839409722222222,-0.041666666666666664,0.4791666666666667,0.7031251925749911,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
2,01,lh_sfrontal,0.5772569444444445,0.10418927964135326,0.5473684210526316,0.6892977006760598,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
3,01,lh_sfrontal,0.5529513888888888,0.06251356778481196,0.5263157894736842,0.6899928373545662,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
4,01,lh_sfrontal,0.5173611111111112,0.06262242910851494,0.5454545454545455,0.690129581413748,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,27,21,24
5,01,lh_sfrontal,0.5911458333333334,0.02083785592827065,0.5154639175257733,0.6865982017145734,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,25,23,24
6,01,lh_sfrontal,0.48828125000000006,0.0,0.5,0.6986826709409112,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
7,01,lh_sfrontal,0.5308159722222222,0.041666666666666664,0.5208333333333334,0.692354636236726,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,25,23,23
8,01,lh_sfrontal,0.618923611111111,0.18754070335443587,0.5894736842105263,0.6895085435281008,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
9,01,lh_sfrontal,0.5104166666666666,0.06251356778481196,0.5263157894736842,0.6921377658872485,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
10,01,lh_sfrontal,0.5190972222222222,0.02083785592827065,0.5052631578947369,0.6958010533372079,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
11,01,lh_sfrontal,0.4535590277777778,-0.06251356778481196,0.46315789473684216,0.6944856541327237,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
12,01,lh_sfrontal,0.5212673611111112,0.06251356778481196,0.5263157894736842,0.691729656432349,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
13,01,lh_sfrontal,0.48307291666666663,0.020874143036171647,0.4946236559139785,0.7000038260543633,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,23,25,22
14,01,lh_sfrontal,0.634982638888889,0.2502172968684897,0.6170212765957447,0.6892335569771215,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,31,29,19,17
15,01,lh_sfrontal,0.42013888888888884,-0.1668115312456598,0.4042553191489362,0.6976607591795204,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,21,19,29,27
16,01,lh_sfrontal,0.5746527777777777,0.125,0.5625,0.6879338450901539,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
17,01,lh_sfrontal,0.5737847222222222,0.10418927964135326,0.5473684210526316,0.6829562578382173,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
18,01,lh_sfrontal,0.5230034722222222,0.06251356778481196,0.5263157894736842,0.6939358222766412,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
19,01,lh_sfrontal,0.6206597222222222,0.18754070335443587,0.5894736842105263,0.678309813050309,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
20,01,lh_sfrontal,0.6306423611111112,0.10418927964135326,0.5473684210526316,0.6822307369958267,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
21,01,lh_sfrontal,0.6046006944444444,0.10418927964135326,0.5473684210526316,0.6854683657626439,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
22,01,lh_sfrontal,0.5295138888888888,0.02083785592827065,0.5052631578947369,0.6927569020308185,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
23,01,lh_sfrontal,0.5928819444444444,0.20851441405707477,0.6122448979591836,0.6880502320248171,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,30,18,20
24,01,lh_sfrontal,0.5442708333333334,0.10418927964135326,0.5473684210526316,0.6958335784934263,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
25,01,lh_sfrontal,0.5551215277777778,0.0,0.5,0.6903793764212262,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
26,01,lh_sfrontal,0.6527777777777778,0.22921641521097716,0.6105263157894737,0.6852549961074349,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,30,29,19,18
27,01,lh_sfrontal,0.6106770833333333,0.14586499149789456,0.5684210526315789,0.6881977976646999,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
28,01,lh_sfrontal,0.6050347222222222,0.10418927964135326,0.5473684210526316,0.6780157541044861,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
29,01,lh_sfrontal,0.5789930555555555,0.18754070335443587,0.5894736842105263,0.6902959155780776,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
30,01,lh_sfrontal,0.47135416666666663,0.0,0.5,0.7029562226563743,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
31,01,lh_sfrontal,0.47439236111111105,0.02083785592827065,0.5052631578947369,0.7129051813324638,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
32,01,lh_sfrontal,0.5651041666666666,0.04170288281141495,0.5306122448979592,0.6861979481790857,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,26,22,24
33,01,lh_sfrontal,0.5386284722222222,0.06262242910851494,0.5161290322580646,0.6902880599053938,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,24,24,21
34,01,lh_sfrontal,0.521701388888889,0.06251356778481196,0.5263157894736842,0.6914136979734816,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
35,01,lh_sfrontal,0.4991319444444444,-0.06251356778481196,0.4742268041237114,0.6951884941660488,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,22,23,25,26
36,01,lh_sfrontal,0.3910590277777778,-0.18754070335443587,0.39999999999999997,0.7027380366763246,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,20,19,29,28
37,01,lh_sfrontal,0.5434027777777778,0.08333333333333333,0.5416666666666666,0.6875583072858152,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
38,01,lh_sfrontal,0.5464409722222222,0.02083785592827065,0.5052631578947369,0.688410820183599,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
39,01,lh_sfrontal,0.4995659722222222,-0.02083785592827065,0.4842105263157895,0.6930082404842707,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
40,01,lh_sfrontal,0.5776909722222222,0.125,0.5625,0.6843450875170211,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
41,01,lh_sfrontal,0.5164930555555556,-0.02083785592827065,0.4842105263157895,0.6931554282883144,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
42,01,lh_sfrontal,0.6102430555555556,0.18754070335443587,0.5894736842105263,0.6832307146013129,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
43,01,lh_sfrontal,0.5230034722222222,0.0834057656228299,0.5319148936170214,0.6965217958719933,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
44,01,lh_sfrontal,0.5355902777777778,0.125,0.5625,0.6966343208266513,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
45,01,lh_sfrontal,0.4991319444444445,0.06262242910851494,0.5161290322580646,0.6952436918648034,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,24,24,21
46,01,lh_sfrontal,0.5625000000000001,0.0834057656228299,0.5319148936170214,0.6863476270191876,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,25,23,21
47,01,lh_sfrontal,0.4969618055555555,-0.02083785592827065,0.4842105263157895,0.6947090412191477,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
48,01,lh_sfrontal,0.6184895833333334,0.18754070335443587,0.5894736842105263,0.6904964345948801,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
49,01,lh_sfrontal,0.6471354166666666,0.22921641521097716,0.6105263157894737,0.6842246701631313,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,30,29,19,18
50,01,lh_sfrontal,0.5920138888888888,0.18754070335443587,0.5894736842105263,0.6870662777787113,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,28,20,19
51,01,lh_sfrontal,0.4917534722222222,0.02083785592827065,0.5052631578947369,0.6964940140563441,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
52,01,lh_sfrontal,0.5464409722222222,0.08333333333333333,0.5416666666666666,0.6914969515892565,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
53,01,lh_sfrontal,0.5086805555555556,0.06251356778481196,0.5360824742268041,0.6964682586599186,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,26,22,23
54,01,lh_sfrontal,0.572048611111111,0.14586499149789456,0.5684210526315789,0.686951827692697,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
55,01,lh_sfrontal,0.6180555555555555,0.20833333333333334,0.6041666666666666,0.6824417578378664,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,29,19,19
56,01,lh_sfrontal,0.6024305555555555,0.16666666666666666,0.5833333333333334,0.684230531540463,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,28,20,20
57,01,lh_sfrontal,0.6011284722222222,0.125,0.5625,0.6858693684112298,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
58,01,lh_sfrontal,0.5533854166666666,0.1668115312456598,0.5744680851063831,0.6919307261270552,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
59,01,lh_sfrontal,0.5933159722222223,0.20851441405707477,0.6122448979591836,0.6870547011681397,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,30,18,20
60,01,lh_sfrontal,0.54296875,0.125,0.5625,0.6911216726622004,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,27,21,21
61,01,lh_sfrontal,0.5638020833333334,0.10418927964135326,0.5473684210526316,0.6901339602958839,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
62,01,lh_sfrontal,0.6067708333333333,0.1668115312456598,0.5744680851063831,0.6886494177874045,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
63,01,lh_sfrontal,0.5169270833333334,-0.06251356778481196,0.46315789473684216,0.6938022319290543,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,23,22,26,25
64,01,lh_sfrontal,0.4991319444444444,0.0,0.5,0.697170489470928,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,24,24,24
65,01,lh_sfrontal,0.484375,-0.041666666666666664,0.4791666666666667,0.695188315540148,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
66,01,lh_sfrontal,0.5008680555555556,-0.02083785592827065,0.4842105263157895,0.6982241154080105,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
67,01,lh_sfrontal,0.5920138888888888,0.06251356778481196,0.5263157894736842,0.6862512514742622,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
68,01,lh_sfrontal,0.5355902777777778,0.08333333333333333,0.5416666666666666,0.6912743815678093,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,26,22,22
69,01,lh_sfrontal,0.6410590277777777,0.16724840200141816,0.5652173913043478,0.6762226407953221,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,30,26,22,18
70,01,lh_sfrontal,0.4678819444444445,0.0,0.48936170212765956,0.6989676600904186,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,23,25,23
71,01,lh_sfrontal,0.5460069444444445,0.06251356778481196,0.5263157894736842,0.6901799298459091,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
72,01,lh_sfrontal,0.5959201388888888,0.14586499149789456,0.5684210526315789,0.6874697758319629,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
73,01,lh_sfrontal,0.5590277777777778,0.02083785592827065,0.5052631578947369,0.6877342644106932,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,25,24,24,23
74,01,lh_sfrontal,0.5403645833333334,0.06251356778481196,0.5263157894736842,0.6916706692136598,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
75,01,lh_sfrontal,0.6458333333333333,0.2919201796799047,0.6382978723404256,0.6739880545927871,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,32,30,18,16
76,01,lh_sfrontal,0.55078125,0.10418927964135326,0.5473684210526316,0.6895354752496122,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,27,26,22,21
77,01,lh_sfrontal,0.6089409722222222,0.20851441405707477,0.5957446808510638,0.6762074390318237,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,30,28,20,18
78,01,lh_sfrontal,0.6041666666666666,0.14586499149789456,0.5684210526315789,0.685210030321354,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
79,01,lh_sfrontal,0.6050347222222222,0.20833333333333334,0.6041666666666666,0.6902651235751914,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,29,19,19
80,01,lh_sfrontal,0.6089409722222221,0.14586499149789456,0.5684210526315789,0.6797624602828759,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,28,27,21,20
81,01,lh_sfrontal,0.484375,-0.041666666666666664,0.4791666666666667,0.6962739061085926,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,23,23,25,25
82,01,lh_sfrontal,0.5798611111111112,0.1668115312456598,0.5744680851063831,0.6894796553160778,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,29,27,21,19
83,01,lh_sfrontal,0.5347222222222222,-0.02083785592827065,0.4842105263157895,0.6910002037487208,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,24,23,25,24
84,01,lh_sfrontal,0.5355902777777778,0.06251356778481196,0.5263157894736842,0.6957014942967782,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,25,23,22
85,01,lh_sfrontal,0.56640625,0.04170288281141495,0.5106382978723404,0.683882915982728,PCA + Linear-SVM,unconscious,unconscious,False,Image,False,26,24,24,22
