fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh_fusif,0.8814229249011858,0.5334650693692644,0.7692307692307693,0.4581972145502961,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
2,01,rh_fusif,0.8819169960474309,0.5779204918167031,0.7912087912087912,0.43877268691892835,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,9
3,01,rh_fusif,0.8670948616600791,0.5779204918167031,0.7912087912087912,0.4664149284981176,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,9
4,01,rh_fusif,0.9041501976284585,0.7112867591590193,0.8571428571428571,0.42532251907092017,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,38,39,7,6
5,01,rh_fusif,0.8315217391304347,0.5349816057253034,0.7640449438202247,0.5025033274390882,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,35,34,12,9
6,01,rh_fusif,0.8873517786561266,0.6007905138339921,0.8,0.4354707574406002,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,36,36,10,8
7,01,rh_fusif,0.8562252964426877,0.48900964692182575,0.7472527472527473,0.4611693318980736,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,11
8,01,rh_fusif,0.866600790513834,0.6223759142641418,0.8131868131868132,0.46854542985413716,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,36,37,9,8
9,01,rh_fusif,0.8661067193675889,0.5334650693692644,0.7692307692307693,0.4713903560707107,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
10,01,rh_fusif,0.8567193675889329,0.48900964692182575,0.7472527472527473,0.48040205173632555,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,33,34,12,11
11,01,rh_fusif,0.8078063241106719,0.3784584980237154,0.688888888888889,0.5419450243900299,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,31,15,13
12,01,rh_fusif,0.8404150197628458,0.5563241106719368,0.7777777777777778,0.5067707450056718,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,35,35,11,9
13,01,rh_fusif,0.8507905138339922,0.4673913043478261,0.7333333333333332,0.4827373835542859,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,33,33,13,11
14,01,rh_fusif,0.8547430830039526,0.6007905138339921,0.8,0.4912416992328945,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,36,36,10,8
15,01,rh_fusif,0.8641304347826088,0.5349816057253034,0.7640449438202247,0.45645614178729194,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,35,34,12,9
16,01,rh_fusif,0.7663043478260869,0.4014834231505974,0.6966292134831461,0.5683037837499557,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,32,31,15,12
17,01,rh_fusif,0.8438735177865613,0.5334650693692644,0.7692307692307693,0.48685821199744905,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
18,01,rh_fusif,0.8705533596837944,0.5779204918167031,0.7912087912087912,0.4593426830015471,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,35,36,10,9
19,01,rh_fusif,0.8043478260869565,0.4000988020269483,0.7032967032967032,0.5215240245057889,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,31,32,14,13
20,01,rh_fusif,0.8384387351778655,0.5108695652173914,0.7608695652173914,0.4951482451879967,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,33,35,11,11
21,01,rh_fusif,0.8646245059288538,0.5334650693692644,0.7692307692307693,0.4611382001792917,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
22,01,rh_fusif,0.8690711462450593,0.5334650693692644,0.7692307692307693,0.4645392067235632,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
23,01,rh_fusif,0.8863636363636364,0.6223759142641418,0.8131868131868132,0.42240265333856974,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,36,37,9,8
24,01,rh_fusif,0.8690711462450593,0.6007905138339921,0.8,0.4572647013499444,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,36,36,10,8
25,01,rh_fusif,0.8606719367588933,0.5118577075098815,0.7555555555555555,0.4733010667366581,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,34,34,12,10
26,01,rh_fusif,0.8740118577075099,0.7110014316386195,0.8602150537634409,0.44615601602556865,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,37,40,6,7
27,01,rh_fusif,0.8601778656126482,0.5334650693692644,0.7692307692307693,0.46941486473589444,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
28,01,rh_fusif,0.8641304347826086,0.5334650693692644,0.7692307692307693,0.46099330225142393,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,34,35,11,10
29,01,rh_fusif,0.8162055335968379,0.4673913043478261,0.7333333333333332,0.5157129944490768,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,33,33,13,11
30,01,rh_fusif,0.8606719367588933,0.6452569169960475,0.8222222222222223,0.4647591401099725,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,37,37,9,7
31,01,rh_fusif,0.8878458498023716,0.6223759142641418,0.8131868131868132,0.43081040039063634,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,36,37,9,8
32,01,rh_fusif,0.9125494071146244,0.733201581027668,0.8695652173913043,0.41554060551477956,RandomForest + Linear-SVM,conscious,conscious,False,Image,False,38,40,6,6
