fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh_pericalc,0.491600790513834,-0.021739130434782608,0.4888888888888889,0.6935212309243248,None + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
2,01,rh_pericalc,0.491600790513834,0.022727272727272728,0.5111111111111111,0.6957203140637039,None + Linear-SVM,conscious,conscious,False,Image,False,23,23,23,21
3,01,rh_pericalc,0.45503952569169953,-0.08800991295665804,0.449438202247191,0.695337886269292,None + Linear-SVM,conscious,conscious,False,Image,False,21,20,26,23
4,01,rh_pericalc,0.5424901185770752,0.06620553359683795,0.5434782608695652,0.6918032374195514,None + Linear-SVM,conscious,conscious,False,Image,False,23,25,21,21
5,01,rh_pericalc,0.44762845849802374,-0.06534666277174166,0.4545454545454545,0.6983829731541034,None + Linear-SVM,conscious,conscious,False,Image,False,22,20,26,22
6,01,rh_pericalc,0.47677865612648224,-0.08728054418240061,0.4367816091954023,0.6985252131911188,None + Linear-SVM,conscious,conscious,False,Image,False,22,19,27,22
7,01,rh_pericalc,0.5765810276679841,0.08998766380961665,0.5393258426966292,0.6877211563062576,None + Linear-SVM,conscious,conscious,False,Image,False,25,24,22,19
8,01,rh_pericalc,0.5632411067193676,0.11166007905138339,0.5555555555555556,0.6877973191675738,None + Linear-SVM,conscious,conscious,False,Image,False,25,25,21,19
9,01,rh_pericalc,0.45998023715415026,-0.11067193675889328,0.4444444444444445,0.6964577843303624,None + Linear-SVM,conscious,conscious,False,Image,False,20,20,26,24
10,01,rh_pericalc,0.4313241106719367,-0.04351051876508937,0.47191011235955055,0.6954131520723358,None + Linear-SVM,conscious,conscious,False,Image,False,22,21,25,22
11,01,rh_pericalc,0.5721343873517786,0.15612648221343872,0.5777777777777778,0.6889831955593662,None + Linear-SVM,conscious,conscious,False,Image,False,26,26,20,18
12,01,rh_pericalc,0.4397233201581028,-0.13250930714822673,0.4269662921348315,0.7041188635484364,None + Linear-SVM,conscious,conscious,False,Image,False,20,19,27,24
13,01,rh_pericalc,0.5222332015810276,0.08891084489487741,0.5494505494505495,0.6935788975435808,None + Linear-SVM,conscious,conscious,False,Image,False,24,25,21,20
14,01,rh_pericalc,0.541501976284585,-0.021739130434782608,0.4888888888888889,0.6907889801308186,None + Linear-SVM,conscious,conscious,False,Image,False,22,22,24,22
