fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh_pericalc,0.424645390070922,-0.1583148714426064,0.4086021505376344,0.7235805658531121,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,21,19,28,27
2,01,rh_pericalc,0.6041666666666666,0.1999113475177305,0.5957446808510638,0.6761568169527207,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,29,28,19,19
3,01,rh_pericalc,0.5314716312056738,-0.05274822695035461,0.46808510638297873,0.6861016381158159,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
4,01,rh_pericalc,0.4835992907801419,0.031471631205673756,0.5106382978723404,0.6964826779514705,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
5,01,rh_pericalc,0.5150709219858156,-0.07358156028368794,0.46315789473684216,0.6939487965476472,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,22,22,25,26
6,01,rh_pericalc,0.4898049645390071,-0.010638297872340425,0.48936170212765956,0.6950490655016917,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
7,01,rh_pericalc,0.5589539007092199,0.010199557543921422,0.4946236559139785,0.6882644387353125,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
8,01,rh_pericalc,0.5301418439716312,0.09445677203718533,0.5376344086021505,0.6898575850982646,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
9,01,rh_pericalc,0.44725177304964536,-0.09485815602836879,0.44680851063829785,0.7305496869519402,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
10,01,rh_pericalc,0.49645390070921985,-0.05274822695035461,0.46808510638297873,0.6936802812744524,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
11,01,rh_pericalc,0.49379432624113473,-0.010638297872340425,0.48936170212765956,0.7007368169989296,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
12,01,rh_pericalc,0.487145390070922,-0.011096325860235571,0.47826086956521735,0.7132301533212748,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,22,25,23
13,01,rh_pericalc,0.5598404255319149,0.09422255723635466,0.5274725274725275,0.6824908879241621,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,24,23,20
14,01,rh_pericalc,0.5217198581560284,-0.09485815602836879,0.44680851063829785,0.6876139962024602,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
15,01,rh_pericalc,0.4796099290780142,0.010199557543921422,0.4946236559139785,0.7316006063896826,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,23,24,23
16,01,rh_pericalc,0.5181737588652482,0.052328164790553376,0.5161290322580645,0.6918742396325036,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
17,01,rh_pericalc,0.41755319148936176,-0.052328164790553376,0.47916666666666663,0.7024701314296468,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,22,23,24,26
18,01,rh_pericalc,0.5890957446808511,0.13658537928381728,0.5591397849462365,0.6822928661819184,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
19,01,rh_pericalc,0.5416666666666666,0.0310697124086596,0.5,0.6901436974611195,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,23,24,22
20,01,rh_pericalc,0.5589539007092199,0.052328164790553376,0.5161290322580645,0.6882208613932167,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
21,01,rh_pericalc,0.43129432624113473,0.031471631205673756,0.5106382978723404,0.7014589983018131,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
22,01,rh_pericalc,0.572695035460993,0.13658537928381728,0.5591397849462365,0.6881142350285913,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
23,01,rh_pericalc,0.4516843971631206,-0.05274822695035461,0.46808510638297873,0.6983642844889429,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
24,01,rh_pericalc,0.5429964539007093,-0.010199557543921422,0.5,0.6865648662978312,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,23,24,23,25
25,01,rh_pericalc,0.5886524822695036,0.13658537928381728,0.5591397849462365,0.6842130037766833,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
26,01,rh_pericalc,0.6028368794326241,0.09445677203718533,0.5376344086021505,0.6857726931450563,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
