fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh_precun,0.5314716312056738,0.052328164790553376,0.5161290322580645,0.6920943068180972,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
2,01,rh_precun,0.47606382978723405,-0.09485815602836879,0.44680851063829785,0.7086107684923203,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
3,01,rh_precun,0.500886524822695,-0.07405765694934249,0.45161290322580644,0.6948090851944513,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,23,21,26,25
4,01,rh_precun,0.5150709219858156,0.052328164790553376,0.5161290322580645,0.6934233098673468,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
5,01,rh_precun,0.5678191489361702,0.07323575067755476,0.5217391304347825,0.6867877083217282,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,23,21
6,01,rh_precun,0.5084219858156028,-0.052328164790553376,0.47916666666666663,0.6952055401865485,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,22,23,24,26
7,01,rh_precun,0.5505319148936171,0.07323575067755476,0.5217391304347825,0.689706508488158,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,23,21
8,01,rh_precun,0.5895390070921985,0.13658537928381728,0.5591397849462365,0.6826811489805037,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
9,01,rh_precun,0.4525709219858156,-0.09485815602836879,0.44680851063829785,0.7051992175456755,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
10,01,rh_precun,0.5429964539007093,0.07323575067755476,0.5217391304347825,0.6894526358068607,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,23,21
11,01,rh_precun,0.5270390070921986,-0.05274822695035461,0.46808510638297873,0.6915423187651113,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
12,01,rh_precun,0.5478723404255319,0.07358156028368794,0.5319148936170213,0.6877253815523094,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,22,22
13,01,rh_precun,0.5700354609929078,0.07358156028368794,0.5319148936170213,0.6827027807896813,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,22,22
14,01,rh_precun,0.5598404255319149,0.031471631205673756,0.5106382978723404,0.6886871289232862,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
15,01,rh_precun,0.47118794326241137,-0.09542840239802591,0.4347826086956522,0.7118869593872429,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,23,20,27,25
16,01,rh_precun,0.5718085106382979,0.052328164790553376,0.5161290322580645,0.6833885331113186,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
17,01,rh_precun,0.4193262411347518,-0.20044347868923837,0.3870967741935484,0.7020606375350447,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,20,18,29,28
18,01,rh_precun,0.5886524822695036,0.09445677203718533,0.5376344086021505,0.6824385165491091,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
19,01,rh_precun,0.5899822695035462,0.13696808510638298,0.5684210526315789,0.6882981909734601,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,27,27,20,21
20,01,rh_precun,0.5509751773049646,-0.010638297872340425,0.48936170212765956,0.6874284637729051,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,24,23,24,24
21,01,rh_precun,0.5824468085106382,0.07358156028368794,0.5319148936170213,0.690535486236403,PCA + Linear-SVM,glimpse,glimpse,False,Image,False,26,25,22,22
