fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh_ventrollateralPFC,0.44991134751773043,-0.13696808510638298,0.42553191489361697,0.7471646785023318,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,21,20,27,27
2,01,rh_ventrollateralPFC,0.48226950354609927,-0.05274822695035461,0.46808510638297873,0.7529841192710798,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,23,22,25,25
3,01,rh_ventrollateralPFC,0.4955673758865249,0.052328164790553376,0.5161290322580645,0.743059378850817,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
4,01,rh_ventrollateralPFC,0.5523049645390071,0.052328164790553376,0.5161290322580645,0.6964484923256469,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
5,01,rh_ventrollateralPFC,0.6059397163120568,0.2208425937770812,0.6021505376344086,0.6810796854711151,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,30,28,19,18
6,01,rh_ventrollateralPFC,0.6015070921985816,0.15780141843971632,0.574468085106383,0.6887222803204182,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,20,20
7,01,rh_ventrollateralPFC,0.5509751773049646,0.0310697124086596,0.5,0.6982672189260097,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,23,24,22
8,01,rh_ventrollateralPFC,0.5598404255319149,0.15780141843971632,0.574468085106383,0.7197949197390627,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,20,20
9,01,rh_ventrollateralPFC,0.5354609929078015,0.09422255723635466,0.5274725274725275,0.7011172215606016,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,24,23,20
10,01,rh_ventrollateralPFC,0.6431737588652483,0.17871398653044923,0.5806451612903226,0.6648168390891883,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,29,27,20,19
11,01,rh_ventrollateralPFC,0.5199468085106382,0.031471631205673756,0.5106382978723404,0.7260596440071212,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
12,01,rh_ventrollateralPFC,0.6418439716312058,0.2631120466222734,0.6153846153846154,0.6634077043799669,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,32,28,19,16
13,01,rh_ventrollateralPFC,0.5687056737588653,0.13658537928381728,0.5591397849462365,0.72402378646762,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,26,21,20
14,01,rh_ventrollateralPFC,0.5806737588652483,0.07323575067755476,0.5217391304347825,0.6833112859530982,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,23,21
15,01,rh_ventrollateralPFC,0.5345744680851064,0.05274822695035461,0.5263157894736842,0.7228934338339348,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,25,22,23
16,01,rh_ventrollateralPFC,0.5833333333333334,0.07323575067755476,0.5217391304347825,0.6787312476608108,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,24,23,21
17,01,rh_ventrollateralPFC,0.6108156028368793,0.03192904970271054,0.5208333333333334,0.6790702902312458,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,24,25,22,24
18,01,rh_ventrollateralPFC,0.5731382978723404,0.09445677203718533,0.5376344086021505,0.6922388662336616,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,27,25,22,21
19,01,rh_ventrollateralPFC,0.5687056737588653,0.052328164790553376,0.5161290322580645,0.7097211674625673,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,26,24,23,22
20,01,rh_ventrollateralPFC,0.552304964539007,0.031471631205673756,0.5106382978723404,0.7577059528723281,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
21,01,rh_ventrollateralPFC,0.5226063829787234,0.031471631205673756,0.5106382978723404,0.7143028663142549,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,25,24,23,23
22,01,rh_ventrollateralPFC,0.637854609929078,0.15780141843971632,0.574468085106383,0.6605679184616986,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,28,27,20,20
23,01,rh_ventrollateralPFC,0.46631205673758863,-0.09485815602836879,0.44680851063829785,0.7330093845459542,RandomForest + Linear-SVM,glimpse,glimpse,False,Image,False,22,21,26,26
