fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh_fusif,0.75,0.2182178902359924,0.4,0.6325502123450003,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,6,1,1,2
2,01,lh_fusif,0.59375,0.2581988897471611,0.5714285714285715,0.6949130689761517,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,6,4,4,2
3,01,lh_fusif,0.40384615384615385,-0.11322770341445958,0.4545454545454546,0.7601450920725052,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,8,4
4,01,lh_fusif,0.26388888888888884,-0.408491223118783,0.25,0.8002763068905601,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,7,5
5,01,lh_fusif,0.4375,-0.3273268353539886,0.0,0.6750659338602614,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,0,2,3
6,01,lh_fusif,0.55,0.21957751641341997,0.5454545454545454,0.6904158395737758,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,2,3
7,01,lh_fusif,0.21875,-0.2581988897471611,0.28571428571428575,0.8196718070144912,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,6,4
8,01,lh_fusif,0.7,0.025,0.4000000000000001,0.6290739735882037,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
9,01,lh_fusif,0.28125,-0.3779644730092272,0.26666666666666666,0.7856371973545829,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,6,5
10,01,lh_fusif,0.4444444444444444,-0.2916666666666667,0.35294117647058826,0.7170028332929776,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,3,6,5
11,01,lh_fusif,0.42857142857142855,-0.07142857142857142,0.42857142857142855,0.7415613499775454,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,4,4
12,01,lh_fusif,0.6458333333333333,0.0,0.4615384615384615,0.6577253255465145,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,3,4
13,01,lh_fusif,0.45454545454545453,-0.13636363636363635,0.4210526315789474,0.7509458153034645,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,4,7,4
14,01,lh_fusif,0.8,0.5006939628599933,0.6666666666666665,0.631912884264431,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,7,3,2,1
15,01,lh_fusif,0.5833333333333333,0.07042952122737638,0.5,0.6873721072923772,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,5,3
