fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh_infpar,0.4571428571428571,-0.02857142857142857,0.4000000000000001,0.6950478796030826,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
2,01,lh_infpar,0.5476190476190476,0.21957751641341997,0.5454545454545454,0.6938924092155675,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,2
3,01,lh_infpar,0.4642857142857143,-0.21428571428571427,0.36363636363636365,0.695801035925307,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,2,5
4,01,lh_infpar,0.14285714285714285,-0.5976143046671968,0.0,0.6970994086203456,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,2,5
5,01,lh_infpar,0.4489795918367347,0.0,0.4615384615384615,0.6945425313569575,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,4,3
6,01,lh_infpar,0.2380952380952381,-0.3563483225498992,0.2222222222222222,0.6991868318512943,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,5
7,01,lh_infpar,0.5428571428571429,-0.02857142857142857,0.4000000000000001,0.6915028953938559,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
8,01,lh_infpar,0.2857142857142857,-0.5238095238095238,0.2,0.6950078941520543,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,6
9,01,lh_infpar,0.2857142857142857,-0.5238095238095238,0.2,0.7059210188631777,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,6
10,01,lh_infpar,0.2,-0.6571428571428571,0.16666666666666666,0.6972462645332668,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,4,6
11,01,lh_infpar,0.5,0.4605661864718383,0.5,0.6914576148993985,None + Linear-SVM,glimpse,glimpse,False,Image,False,7,2,4,0
12,01,lh_infpar,0.33333333333333337,-0.23809523809523808,0.3333333333333333,0.6956275853460685,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,4
13,01,lh_infpar,0.6428571428571429,0.38095238095238093,0.6666666666666666,0.6911478577709643,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,2,2
14,01,lh_infpar,0.0,-0.6546536707079772,0.0,0.7015097489578105,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,6
15,01,lh_infpar,0.39285714285714285,-0.05455447255899809,0.42857142857142855,0.6982988015542689,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,5,3
16,01,lh_infpar,0.37142857142857144,-0.3142857142857143,0.3333333333333333,0.6927198543527234,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,5
17,01,lh_infpar,0.30612244897959184,-0.4472135954999579,0.16666666666666666,0.7042902917929172,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,6,4
18,01,lh_infpar,0.5238095238095237,-0.0890870806374748,0.28571428571428575,0.6931577066391006,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
19,01,lh_infpar,0.4642857142857143,-0.17857142857142858,0.25,0.6920277255197765,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,3,3
20,01,lh_infpar,0.38095238095238093,-0.0890870806374748,0.28571428571428575,0.6941184546730491,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
21,01,lh_infpar,0.35714285714285715,-0.2857142857142857,0.0,0.6962902214354202,None + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,2,2
22,01,lh_infpar,0.10204081632653061,-0.5773502691896257,0.15384615384615383,0.7070078090507479,None + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,6,5
23,01,lh_infpar,0.3714285714285715,-0.47809144373375745,0.3076923076923077,0.6963211666210527,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,3,6
24,01,lh_infpar,0.4642857142857143,0.1336306209562122,0.3333333333333333,0.6910600608803507,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,1,3,1
25,01,lh_infpar,0.8571428571428572,0.5238095238095238,0.6666666666666666,0.6894154904073452,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,2,1,1
26,01,lh_infpar,0.4285714285714286,-0.1889822365046136,0.0,0.693788965367645,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,0,2,1
27,01,lh_infpar,0.7551020408163266,0.5773502691896257,0.7692307692307692,0.68838662913241,None + Linear-SVM,glimpse,glimpse,False,Image,False,6,5,2,1
28,01,lh_infpar,0.34285714285714286,-0.23904572186687872,0.22222222222222224,0.6932574837126727,None + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,4,3
29,01,lh_infpar,0.0,-0.6546536707079772,0.0,0.6979097724474205,None + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,6
30,01,lh_infpar,0.4693877551020408,-0.14285714285714285,0.42857142857142855,0.6953038492375703,None + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,4,4
