fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,lh_sfrontal,0.125,-0.5,0.0,0.6920674232021424,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,0,2,5
2,01,lh_sfrontal,0.640625,0.1259881576697424,0.5333333333333333,0.6837893621309648,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,4,3
3,01,lh_sfrontal,0.46153846153846156,-0.11322770341445958,0.4545454545454546,0.7348586802241771,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,8,4
4,01,lh_sfrontal,0.4305555555555555,0.05555555555555555,0.5555555555555556,0.7135390055308333,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,4,4
5,01,lh_sfrontal,0.5625,-0.2182178902359924,0.22222222222222224,0.5990918147573466,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,1,6
6,01,lh_sfrontal,0.17500000000000002,-0.4147575310031266,0.1818181818181818,0.7051591420555844,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,4,5
7,01,lh_sfrontal,0.59375,0.3779644730092272,0.7058823529411765,0.6903707046609437,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,2,3
8,01,lh_sfrontal,0.275,-0.4147575310031266,0.1818181818181818,0.7086184726981273,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,1,4,5
9,01,lh_sfrontal,0.28125,-0.3779644730092272,0.26666666666666666,0.7424067553974114,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,6,5
10,01,lh_sfrontal,0.48611111111111105,0.05555555555555555,0.5555555555555556,0.7142990027129019,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,4,4
11,01,lh_sfrontal,0.625,0.19642857142857142,0.5714285714285714,0.6747188862889932,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,3,3
12,01,lh_sfrontal,0.4375,-0.16666666666666666,0.3333333333333333,0.7011387666842097,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,4,4
13,01,lh_sfrontal,0.7840909090909091,0.3820465887291705,0.7000000000000001,0.6729912250734668,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,6,7,4,2
14,01,lh_sfrontal,0.35,-0.3,0.20000000000000004,0.7086942425059625,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,4,1,4,4
15,01,lh_sfrontal,0.6944444444444445,0.4166666666666667,0.7058823529411765,0.6986393432751823,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,6,6,3,2
16,01,lh_sfrontal,0.6041666666666666,0.125,0.5,0.6802483808351987,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,3,3
17,01,lh_sfrontal,0.41666666666666663,-0.28867513459481287,0.30769230769230765,0.6877368031719374,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,5
18,01,lh_sfrontal,0.5666666666666667,0.21452908258025827,0.6666666666666665,0.7379117035722855,RandomForest + Linear-SVM,unconscious,unconscious,False,Image,False,5,9,6,3
