fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh_latoccip,0.6,-0.09759000729485331,0.25,0.6814564533822755,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,4,2
2,01,rh_latoccip,0.5714285714285714,0.38575837490522974,0.6,0.6911157641525774,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,3,1
3,01,rh_latoccip,0.5,-0.06900655593423542,0.4,0.6948666503405202,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,2,4
4,01,rh_latoccip,0.4285714285714286,-0.3779644730092272,0.0,0.6933693041910076,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,2,3
5,01,rh_latoccip,0.5510204081632653,0.0,0.4615384615384615,0.6816924131416,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,4,3
6,01,rh_latoccip,0.8095238095238095,0.2182178902359924,0.5,0.6433434118270637,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,1,3
7,01,rh_latoccip,0.7142857142857143,0.3142857142857143,0.6,0.6741621393914934,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,2,2
8,01,rh_latoccip,0.6666666666666667,0.047619047619047616,0.3333333333333333,0.6742714068557631,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
9,01,rh_latoccip,0.42857142857142855,-0.2182178902359924,0.25,0.6974172858143777,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,4
10,01,rh_latoccip,0.5142857142857143,-0.02857142857142857,0.4000000000000001,0.6985338185683506,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,3,3
11,01,rh_latoccip,0.4285714285714286,-0.09759000729485333,0.3636363636363636,0.7096878721961677,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,3
12,01,rh_latoccip,0.8095238095238095,0.38575837490522974,0.6,0.6743852690231272,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,6,3,3,1
13,01,rh_latoccip,0.6190476190476191,0.07142857142857142,0.5,0.6742239500740652,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,3
14,01,rh_latoccip,0.5714285714285714,-0.29277002188455997,0.0,0.6964106704627882,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,0,1,3
15,01,rh_latoccip,0.5714285714285714,-0.07142857142857142,0.5,0.6857070101224534,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,4,4
16,01,rh_latoccip,0.6571428571428573,0.11952286093343936,0.4444444444444445,0.6898617184797474,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
17,01,rh_latoccip,0.32653061224489793,-0.28867513459481287,0.30769230769230765,0.7041793811477284,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,5,4
18,01,rh_latoccip,0.8095238095238095,0.3563483225498992,0.5714285714285715,0.6683967107895799,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,1,2
19,01,rh_latoccip,0.6428571428571428,0.21428571428571427,0.5,0.6881079208211779,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,2
20,01,rh_latoccip,0.6666666666666666,0.047619047619047616,0.3333333333333333,0.7013764944998652,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
21,01,rh_latoccip,0.7142857142857142,0.1889822365046136,0.4,0.6754774197215693,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,1,2
22,01,rh_latoccip,0.5510204081632653,0.14285714285714285,0.5714285714285714,0.6923890275720737,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,3,3
23,01,rh_latoccip,0.2857142857142857,-0.1690308509457033,0.3636363636363636,0.7111640701531775,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,4
24,01,rh_latoccip,0.4642857142857143,-0.3105295017040594,0.22222222222222224,0.6934996113473836,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,4
25,01,rh_latoccip,0.2857142857142857,-0.2182178902359924,0.25,0.7263245162828549,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,4
26,01,rh_latoccip,0.5714285714285714,-0.1889822365046136,0.25,0.6667893005038326,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,5
27,01,rh_latoccip,0.6530612244897959,0.28867513459481287,0.6153846153846153,0.6890555060376631,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
28,01,rh_latoccip,0.6857142857142857,0.11952286093343936,0.4444444444444445,0.655553188996238,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
29,01,rh_latoccip,0.7142857142857143,-0.2182178902359924,0.0,0.6489297381867378,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,0,1,2
30,01,rh_latoccip,0.673469387755102,0.28867513459481287,0.6153846153846153,0.6628662293142945,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
31,01,rh_latoccip,0.7142857142857142,0.21428571428571427,0.5,0.6734955615029555,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,2,2
32,01,rh_latoccip,0.5714285714285714,0.11952286093343936,0.4444444444444445,0.6886902721249034,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,3,2
33,01,rh_latoccip,0.6326530612244898,0.28867513459481287,0.6153846153846153,0.6736193084362119,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
34,01,rh_latoccip,0.6904761904761905,0.21957751641341997,0.5454545454545454,0.6727879974966025,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,3,3,2
35,01,rh_latoccip,0.33928571428571425,-0.19642857142857142,0.39999999999999997,0.7212293485434107,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,5,4
36,01,rh_latoccip,0.4285714285714286,-0.14285714285714285,0.42857142857142855,0.6980465441468434,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,4,4
37,01,rh_latoccip,0.5238095238095238,0.23809523809523808,0.6153846153846153,0.6925757130944904,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,2,3
38,01,rh_latoccip,0.7551020408163265,0.28867513459481287,0.6153846153846153,0.6613051511547924,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,3,2
39,01,rh_latoccip,0.5952380952380953,0.05143444998736397,0.4,0.6817213217954928,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,2,4,2
40,01,rh_latoccip,0.2142857142857143,-0.47809144373375745,0.0,0.7035817077783578,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,2,4
41,01,rh_latoccip,0.7346938775510203,0.42857142857142855,0.7142857142857143,0.6715232762753593,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,5,2,2
42,01,rh_latoccip,0.5952380952380952,0.07142857142857142,0.5,0.6886246413827356,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,3,3
43,01,rh_latoccip,0.5285714285714286,-0.02857142857142857,0.47058823529411764,0.6797904885577605,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,4,6,3
44,01,rh_latoccip,1.0,0.0,0.0,0.6752493478768594,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,7,0,1,0
45,01,rh_latoccip,0.6666666666666667,-0.0890870806374748,0.28571428571428575,0.6779315367993486,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,1,2,3
46,01,rh_latoccip,0.7714285714285715,0.50709255283711,0.7272727272727272,0.6684779864184738,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,4,1,2
47,01,rh_latoccip,0.6666666666666666,0.047619047619047616,0.3333333333333333,0.6767780677920812,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,5,1,2,2
48,01,rh_latoccip,0.6,0.4,0.5714285714285715,0.6991671815768349,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,0
49,01,rh_latoccip,0.75,0.4472135954999579,0.6666666666666666,0.6423031725833417,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,0
50,01,rh_latoccip,0.5,0.31622776601683794,0.4,0.6881085151884822,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,0
51,01,rh_latoccip,0.75,0.5773502691896258,0.6666666666666666,0.682108776050857,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,0
52,01,rh_latoccip,0.2857142857142857,-0.1889822365046136,0.4,0.7500195236535775,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,5,1
53,01,rh_latoccip,1.0,0.6666666666666666,0.8,0.6398508641222929,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
54,01,rh_latoccip,0.7,0.4,0.5714285714285715,0.6669243511819614,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,0
55,01,rh_latoccip,1.0,0.6666666666666666,0.8,0.6669877679071632,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
56,01,rh_latoccip,0.3333333333333333,-0.16666666666666666,0.4,0.7154290984141738,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,1
57,01,rh_latoccip,0.8,0.5477225575051661,0.7499999999999999,0.6772976318463754,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,2,0
58,01,rh_latoccip,0.5833333333333334,0.3333333333333333,0.5,0.7076658171699337,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,4,0
59,01,rh_latoccip,0.8333333333333334,0.5773502691896258,0.8,0.6651604952408434,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,2,0
60,01,rh_latoccip,0.3333333333333333,-0.14907119849998599,0.4444444444444444,0.7259654289391431,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,4,1
61,01,rh_latoccip,1.0,0.0,0.0,0.6462027129278584,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,0
62,01,rh_latoccip,0.5625,0.25,0.4,0.7212553694976555,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,6,0
63,01,rh_latoccip,0.5,0.2581988897471611,0.33333333333333337,0.6842235950413115,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,0
64,01,rh_latoccip,0.5,0.1889822365046136,0.7692307692307692,0.7192525962230483,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,5,2,1
65,01,rh_latoccip,0.8333333333333333,0.6666666666666666,0.8,0.6514465632612999,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
66,01,rh_latoccip,0.625,0.31622776601683794,0.4,0.6998761736636213,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,0
67,01,rh_latoccip,1.0,0.6666666666666666,0.8,0.668025915919469,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,1,0
68,01,rh_latoccip,0.75,0.5773502691896258,0.6666666666666666,0.6573803647043895,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,0
69,01,rh_latoccip,0.7142857142857143,0.47809144373375745,0.7272727272727273,0.6944393738374096,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,3,0
70,01,rh_latoccip,0.7,0.4,0.5714285714285715,0.6902799286544238,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,0
71,01,rh_latoccip,0.625,0.31622776601683794,0.4,0.6955428990337906,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,0
72,01,rh_latoccip,0.3333333333333333,-0.16666666666666666,0.4,0.7308448771567274,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,1
73,01,rh_latoccip,0.75,0.5773502691896258,0.6666666666666666,0.6497539940850463,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,1,0
74,01,rh_latoccip,1.0,0.7559289460184544,0.923076923076923,0.688521459313999,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,6,1,0
75,01,rh_latoccip,0.5,0.2581988897471611,0.33333333333333337,0.6942554382321251,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,0
76,01,rh_latoccip,0.5,0.0,0.0,0.6859359777304346,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,0
77,01,rh_latoccip,0.5,-0.05976143046671968,0.5454545454545454,0.702438357424396,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,4,1
78,01,rh_latoccip,0.125,-0.6324555320336759,0.0,0.7041593625329301,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,4,1
79,01,rh_latoccip,0.9,0.5477225575051661,0.7499999999999999,0.6656678422865053,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,2,0
80,01,rh_latoccip,0.42857142857142855,-0.05976143046671968,0.5454545454545454,0.7228869390906487,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,4,1
81,01,rh_latoccip,0.3333333333333333,-0.14907119849998599,0.4444444444444444,0.7258117449311718,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,4,1
82,01,rh_latoccip,0.875,0.5,0.7692307692307693,0.7007447799903781,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,3,0
83,01,rh_latoccip,0.5,0.2857142857142857,0.4444444444444445,0.7104937812953733,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,5,0
84,01,rh_latoccip,0.16666666666666666,-0.3333333333333333,0.25,0.7412597570122974,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,5,1
85,01,rh_latoccip,0.42857142857142855,-0.05976143046671968,0.5454545454545454,0.6678245884585424,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,4,1
86,01,rh_latoccip,0.8333333333333334,0.5773502691896258,0.8,0.6294641753437076,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,4,2,0
87,01,rh_latoccip,0.25,-0.5773502691896258,0.0,0.7709629197234044,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,1
88,01,rh_latoccip,0.8571428571428572,0.5976143046671968,0.8333333333333333,0.659832096179338,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,2,0
89,01,rh_latoccip,0.5833333333333333,0.4472135954999579,0.6666666666666666,0.6966847240676471,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,3,0
90,01,rh_latoccip,0.7,0.37796447300922725,0.6666666666666666,0.7065312560333213,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,5,5,0
91,01,rh_latoccip,1.0,0.0,0.0,0.6538911049556543,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,0
92,01,rh_latoccip,0.16666666666666666,-0.6123724356957946,0.0,0.7119189989448711,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,3,1
93,01,rh_latoccip,0.8,0.5477225575051661,0.7499999999999999,0.6789499985032761,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,2,0
94,01,rh_latoccip,0.5,-0.16666666666666666,0.4,0.692174666500479,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,1
95,01,rh_latoccip,1.0,0.6324555320336759,0.888888888888889,0.6542852836954057,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,4,1,0
96,01,rh_latoccip,1.0,0.6454972243679028,0.9090909090909091,0.6654765326617204,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,5,1,0
97,01,rh_latoccip,0.5,0.25,0.4,0.687750597285322,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,3,0
98,01,rh_latoccip,1.0,0.5,0.6666666666666666,0.6773226969823929,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,1,0
99,01,rh_latoccip,1.0,0.6546536707079772,0.923076923076923,0.7071469829968511,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,6,1,0
100,01,rh_latoccip,1.0,0.5773502691896258,0.8,0.6514821370307299,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,1,0
101,01,rh_latoccip,1.0,0.6324555320336759,0.888888888888889,0.6682440374535531,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,4,1,0
102,01,rh_latoccip,1.0,0.5773502691896258,0.8,0.6629006238898723,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,1,0
103,01,rh_latoccip,0.6666666666666666,0.3333333333333333,0.5,0.725202456680186,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,0
104,01,rh_latoccip,1.0,0.6324555320336759,0.888888888888889,0.6714625685862758,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,4,1,0
105,01,rh_latoccip,0.8333333333333334,0.47140452079103173,0.8,0.7254845398647694,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,4,2,0
106,01,rh_latoccip,1.0,0.6454972243679028,0.9090909090909091,0.6564407226301697,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,5,1,0
107,01,rh_latoccip,0.6666666666666666,0.3535533905932738,0.6666666666666666,0.7169640545417144,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,3,0
108,01,rh_latoccip,1.0,0.0,0.0,0.6625244812219004,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,0
109,01,rh_latoccip,0.375,0.25,0.5454545454545454,0.719693200164161,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,5,0
110,01,rh_latoccip,1.0,0.6324555320336759,0.888888888888889,0.6667362808455893,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,4,1,0
111,01,rh_latoccip,0.5714285714285714,0.29277002188455997,0.6,0.7181706397851408,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,4,0
112,01,rh_latoccip,0.6666666666666666,0.3333333333333333,0.5,0.6359544260707742,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,0
113,01,rh_latoccip,0.25,0.25,0.4,0.7275964076587362,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,3,0
114,01,rh_latoccip,1.0,0.5773502691896258,0.8,0.6553928034940165,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,1,0
115,01,rh_latoccip,0.5,0.0,0.0,0.6875612144216007,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,0
116,01,rh_latoccip,0.2857142857142857,0.2182178902359924,0.4444444444444445,0.7566132080667127,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,5,0
117,01,rh_latoccip,0.2,0.2,0.33333333333333337,0.7040719093694355,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,4,0
118,01,rh_latoccip,1.0,0.6123724356957946,0.8571428571428571,0.6814302178414875,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,1,0
119,01,rh_latoccip,0.6666666666666666,0.3333333333333333,0.5,0.7378375567849667,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,0
120,01,rh_latoccip,0.5,0.0,0.0,0.6983203874998184,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,0
121,01,rh_latoccip,0.7142857142857143,0.3779644730092272,0.7272727272727273,0.6918784251450043,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,4,3,0
122,01,rh_latoccip,1.0,0.6324555320336759,0.888888888888889,0.6640896532979537,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,4,1,0
123,01,rh_latoccip,1.0,0.0,0.0,0.6408240320582753,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,0
124,01,rh_latoccip,0.5714285714285714,0.29277002188455997,0.6,0.722312202610302,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,4,0
125,01,rh_latoccip,0.75,0.4082482904638631,0.6666666666666666,0.7035365796723597,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,2,0
126,01,rh_latoccip,0.6,0.31622776601683794,0.5714285714285715,0.6799158041674636,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,3,0
127,01,rh_latoccip,1.0,0.6546536707079772,0.923076923076923,0.683062172680768,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,6,1,0
128,01,rh_latoccip,0.5,0.2581988897471611,0.5,0.6879402414244723,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,4,0
129,01,rh_latoccip,0.5,0.25,0.5454545454545454,0.7269469567341328,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,5,0
130,01,rh_latoccip,0.42857142857142855,0.29277002188455997,0.6,0.7260441232600197,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,4,0
131,01,rh_latoccip,0.3333333333333333,0.2581988897471611,0.5,0.7521125309392179,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,4,0
132,01,rh_latoccip,1.0,0.6546536707079772,0.923076923076923,0.6442978054413194,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,6,1,0
133,01,rh_latoccip,0.6666666666666666,0.3535533905932738,0.6666666666666666,0.650445203924798,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,3,0
134,01,rh_latoccip,0.5,0.0,0.0,0.711445274512393,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,2,0
135,01,rh_latoccip,0.8571428571428571,0.4879500364742666,0.8333333333333333,0.6744979598767293,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,5,2,0
136,01,rh_latoccip,0.6666666666666666,0.3535533905932738,0.6666666666666666,0.7110408233384062,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,3,3,0
137,01,rh_latoccip,0.4,0.23904572186687872,0.5714285714285715,0.7091279916841167,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,4,6,0
138,01,rh_latoccip,1.0,0.0,0.0,0.6509970544865888,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,0,1,0
139,01,rh_latoccip,0.3333333333333333,0.3333333333333333,0.5,0.7192546188559829,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,0
140,01,rh_latoccip,0.6,0.31622776601683794,0.5714285714285715,0.6827826692202833,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,2,3,0
141,01,rh_latoccip,0.6666666666666666,0.3333333333333333,0.5,0.6743540263201717,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,0
142,01,rh_latoccip,0.55,0.15811388300841897,0.5,0.6944652567078243,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
143,01,rh_latoccip,0.75,0.408248290463863,0.7272727272727272,0.6628048104062259,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,2,1
144,01,rh_latoccip,0.4375,-0.2581988897471611,0.28571428571428575,0.7064616720905389,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
145,01,rh_latoccip,0.25,-0.5,0.0,0.7134535101777976,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,2,2
146,01,rh_latoccip,0.17857142857142855,-0.38575837490522974,0.2,0.7372295353315562,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,6,2
147,01,rh_latoccip,0.8333333333333333,0.4166666666666667,0.6666666666666666,0.6680292266306614,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,1,1
148,01,rh_latoccip,0.35000000000000003,-0.31622776601683794,0.25,0.7011184914936026,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,4,2
149,01,rh_latoccip,0.6666666666666666,0.09128709291752768,0.4,0.684981271336253,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,2,1
150,01,rh_latoccip,0.25,-0.16666666666666666,0.3333333333333333,0.725599129740204,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
151,01,rh_latoccip,0.55,-0.1,0.4444444444444445,0.6869355285895223,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,2,3,2
152,01,rh_latoccip,0.5,0.4082482904638631,0.5,0.7002701026261933,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,2,4,0
153,01,rh_latoccip,0.6666666666666666,0.25,0.6,0.6781351324609074,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,3,3,1
154,01,rh_latoccip,0.45833333333333337,0.0890870806374748,0.4444444444444444,0.6990156791793571,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,4,1
155,01,rh_latoccip,0.25,-0.4082482904638631,0.0,0.6935238777544559,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,1,2
156,01,rh_latoccip,0.625,0.23904572186687872,0.6153846153846154,0.6879777984438592,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,4,1
157,01,rh_latoccip,0.9,0.6324555320336759,0.7499999999999999,0.6426464195869243,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,4,3,2,0
158,01,rh_latoccip,0.14285714285714285,-0.6236095644623235,0.0,0.7225552428638626,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,0,7,2
159,01,rh_latoccip,0.8333333333333333,0.4166666666666667,0.6666666666666666,0.625000646871529,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,1,1
160,01,rh_latoccip,0.5,0.0,0.3333333333333333,0.6976536868589587,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,3,1
161,01,rh_latoccip,0.5,-0.16666666666666666,0.3333333333333333,0.684438568064281,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,2,2
162,01,rh_latoccip,0.625,0.25,0.5,0.681768133345808,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,1,1,1
163,01,rh_latoccip,0.5357142857142857,-0.06900655593423542,0.5,0.6986153207369095,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,3,4,2
164,01,rh_latoccip,0.4,0.15811388300841897,0.5,0.7121564084722883,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,2,3,1
165,01,rh_latoccip,0.25,-0.2581988897471611,0.28571428571428575,0.7233092185896366,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,2,1,3,2
166,01,rh_latoccip,0.25,-0.4166666666666667,0.28571428571428575,0.7407159114067579,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,1,1,2,3
167,01,rh_latoccip,0.5,-0.31622776601683794,0.0,0.687793532439276,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,0,2,1
168,01,rh_latoccip,0.5714285714285714,0.3105295017040594,0.6666666666666666,0.6903063505435904,Mutual + Linear-SVM,glimpse,glimpse,False,Image,False,3,4,3,1
