fold,sub,roi,roc_auc,mattews_correcoef,f1_score,log_loss,model,condition_target,condition_source,flip,language,transfer,tn,tp,fn,fp
1,01,rh_sfrontal,0.5625,0.10206207261596577,0.3333333333333333,0.634086140593489,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,1,1,3
2,01,rh_sfrontal,0.390625,-0.1259881576697424,0.39999999999999997,0.7079356902363925,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
3,01,rh_sfrontal,0.6730769230769231,0.1589409883014377,0.608695652173913,0.7273714819815555,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,7,6,3
4,01,rh_sfrontal,0.6666666666666666,0.3098898934004561,0.6250000000000001,0.7005603464841316,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,5,4,2
5,01,rh_sfrontal,0.5625,-0.2182178902359924,0.22222222222222224,0.6311914150654283,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,1,1,6
6,01,rh_sfrontal,0.625,0.025,0.4000000000000001,0.6682598791110099,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
7,01,rh_sfrontal,0.359375,-0.1259881576697424,0.39999999999999997,0.7051974057277125,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,5,4
8,01,rh_sfrontal,0.625,0.21957751641341997,0.5454545454545454,0.6701957185759855,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,2,3
9,01,rh_sfrontal,0.21875,-0.5,0.25,0.7246898943850694,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,2,6,6
10,01,rh_sfrontal,0.29166666666666663,-0.1690308509457033,0.375,0.7184219962589969,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,6,4
11,01,rh_sfrontal,0.5892857142857142,0.19642857142857142,0.5714285714285714,0.6796193901944529,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,3,3
12,01,rh_sfrontal,0.4375,0.0,0.4615384615384615,0.6937303943887922,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,3,4
13,01,rh_sfrontal,0.5,-0.044946657497549475,0.5,0.7218168190099942,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,5,6,4
14,01,rh_sfrontal,0.65,0.025,0.4000000000000001,0.6724795073434731,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,3,3
15,01,rh_sfrontal,0.6111111111111112,0.18055555555555555,0.5882352941176471,0.7030679598459497,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,5,4,3
16,01,rh_sfrontal,0.5208333333333333,0.125,0.5,0.6843795578772699,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,3,3,3
17,01,rh_sfrontal,0.5,-0.16666666666666666,0.3333333333333333,0.6819505918459176,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,2,4,4
18,01,rh_sfrontal,0.5166666666666667,-0.09607689228305229,0.48,0.7433295650056699,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,6,9,4
19,01,rh_sfrontal,0.3625,-0.20385887657505022,0.3529411764705882,0.7256926193318096,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,7,4
20,01,rh_sfrontal,0.625,0.11952286093343936,0.4444444444444445,0.6572385649786164,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,2,2,3
21,01,rh_sfrontal,0.05,-0.7319250547113999,0.0,0.6965355365938393,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,0,5,6
22,01,rh_sfrontal,0.41666666666666663,-0.28867513459481287,0.30769230769230765,0.6842117561446823,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,3,2,4,5
23,01,rh_sfrontal,0.640625,0.1259881576697424,0.5333333333333333,0.695406171707647,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,4,4,3
24,01,rh_sfrontal,0.575,0.02439750182371333,0.5,0.7371546130789501,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,5,6,9,3
25,01,rh_sfrontal,0.5416666666666666,0.25819888974716115,0.5454545454545454,0.6844737316829276,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,6,3,3,2
26,01,rh_sfrontal,0.2875,-0.4472135954999579,0.3157894736842105,0.745049007887741,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,2,3,7,6
27,01,rh_sfrontal,0.21875,-0.629940788348712,0.23529411764705882,0.7061975075196945,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,1,2,6,7
28,01,rh_sfrontal,0.4375,0.0,0.4615384615384615,0.6863557138418097,Mutual + Linear-SVM,unconscious,unconscious,False,Image,False,4,3,3,4
